Idiom,Meaning,Meaning_ar
أبا ً عن جد,"Handed down from father to son, as something inherited from forefathers",مُتَوارَث من الأب إلى الابن، كشيء موروث من الأجداد
أباطيل,"Vanities, falsehoods",الأباطيل، الأكاذيب
. . . ً ابتدرها قائال,"Before she could say a word, he exclaimed...",قبل أن تتمكن من قول كلمة، صاح...
ابتذل نفسَه,"To degrade oneself, demean oneself",إذلال النفس، تحقير النفس
ابتز ّ أموالَ الن َّ اس,"To rob, fleece someone, to lift money out of people’s pocket, relieve people of their money",لسرقة، خداع شخص، سلب المال من جيوب الناس، تخفيف الناس من أموالهم
ابتسامة قهرية,Forced smile,ابتسامة مُصطنعة
ابتغى الوسيلةَ (إلى بِـ),To try to ingratiate someone,لِمُحاوَلة استِمالة شَخص ما
ابتغى من فضل هللا,To strive for God’s grace,السعي لنيل رضا الله
أبد األبدين,Forever and ever,إلى الأبد
أبدى رأيه في,To express one’s opinion about,لإبداء الرأي حول
ًأبدى رغبة,To express a wish or desire,للتعبير عن أمنية أو رغبة
أبدى عن نواجذه لِـ,"To display a hostile, threatening attitude",لإظهار موقف عدائي ومهدد
أبرأ ذمَّتَه,"To clear oneself from guilt, exonerate",تبرئة النفس من الذنب
أبرز ُ المظاهر,The most outstanding or conspicuous phenomenon,الظاهرة الأكثر بروزًا أو لفتًا للانتباه
أبطأ من غراب نوح,"Tardier than Noah’s raven, i.e. slower than a ten-year itch",أبطأ من غراب نوح، أي أبطأ من حكة تستمر عشر سنوات.
أبق العبد من سيده,"To escape, run away (abscond)",للهروب، الفرار (الهروب)
إبقاء الحالة على ما كانت عليه,Maintenance of the status quo,الحفاظ على الوضع الراهن
أبلَّ من مرض,To recover from an illness,التَعافي من مَرَض
أبلغ الشرطةَ بِـ,To report something to the police,الإبلاغ عن شيء للشرطة
أبلغ نفسَه عُذرَها,"He did his utmost, but without success",بَذَل قُصارى جُهده، لكن دون نجاح.
ابن آدم,Human being,إنسان
ابن األيام,"A man of the world, a sophisticated man, product of his time",رَجُل عالَمي، رَجُل مُتَحَضِّر، نَتاج زَمانِه
ابن البلد,Native,أَصلي
ابن السبيل,"Vagabond, tramp, wayfarer, traveller",متشرد، متسكع، عابر سبيل، مسافر
ابنُ بُجْدَتِهَا,"He knows the job from the ground up, inside out, he is the right man for it",هو يعرف الوظيفة من الألف إلى الياء، ويُلم بها تمامًا، فهو الشخص المناسب لها.
ابن جال,"A famous, well-known man, a celebrity",رَجُل مَشهور، مَعروف، شَخصية مَشهورة
ابن جِل ْ دَتِنا,"Our countryman, our fellow tribesman",ابن بلدنا، ابن قبيلتنا
ابن حرام,Illegitimate son,ابن غير شرعي
ابن حالل,"Legitimate son, decent fellow",ابن شرعي، رجل محترم
ابن صُلبِه,"His own son, his offspring",ابنه الخاص، ذريته
ابن يومه,"Short lived, ephemeral",قصير الأمد، زائل
أبو شوارب,"Moustached, sporting a moustache",مُشَارِب
. . . أبو عُذر,"Responsible for, answerable for...",مَسؤول عن
أبو ق ُ نبُور,Hunchback,أحدب
األبوان,"The parents, father and mother",الوالدان، الأب والأم
أبى إال أن يفعله,He insisted on doing it,أصرّ على القيام بذلك
. . . أبى هللا إال أن,God willed that...,شاء الله أن...
ابيض وجهه,"To enjoy an excellent reputation, stand in good repute",لِيَتَمَتَّع بِسُمعة مُمَيَّزة، يَحظى بِسُمعة جَيِّدة
اتأد في مشيته,"To walk slowly, unhurriedly",المشي ببطء وبدون عجلة
ات ّ باعا ً لِـ,"In observance of, according to",تَماشِيًا مع، وَفْقًا لـ
ات ّ بع سياسة,To pursue a policy,لِاتِّباع سياسة
ًاتّبع مذهباً فقهيّا,To follow a school of Islamic law,اتِّباع مَذهب فِقهي إسلامي
ات ّ بع يمينَه,To keep to the right,الالتزام باليمين
اتحاد اآلراء,"Unanimity, uniting of views",الإجماع، توحيد الآراء
اتحاد الكلمة,"Concord, agreement, harmony",تَوافُق، اتِّفاق، انسِجام
ات ّ خذ التدابير الالزمة,To take the necessary measures,اتخاذ التدابير اللازمة
ات ّ خذ المعلول علة,To mistake cause and effect,الخَلط بين السَبب والنَتيجة
َات ّ خذ المُن َ اسِب,To act in a suitable or appropriate manner,التصرف بطريقة مناسبة أو ملائمة
ات ّ خذ المواقع الجديدة,To take up new positions (troops),لشغل مواقع جديدة (القوات)
ات ّ خذ خطوةً حاسمة,To take a decisive step,اتخاذ خطوة حاسمة
ًاتّخذ شكال,To take a form or shape,يَتَّخِذ شَكلاً أو هَيئة
ًاتّخذ قرارا,To pass or adopt a resolution,لِتمرير أو تَبَنّي قرار
