Idiom,Meaning,Meaning_trans
أبا ً عن جد,"Handed down from father to son, as something inherited from forefathers",متوارثة من الأب إلى الابن، كشيء موروث عن الأجداد
أباطيل,"Vanities, falsehoods",الأباطيل والأكاذيب
. . . ً ابتدرها قائال,"Before she could say a word, he exclaimed...",وقبل أن تتفوه بكلمة، صرخ...
ابتذل نفسَه,"To degrade oneself, demean oneself",أن يحط من قدر نفسه، ويحط من قدر نفسهc
ابتز ّ أموالَ الن َّ اس,"To rob, fleece someone, to lift money out of people’s pocket, relieve people of their money",السرقة، الاحتيال، الاحتيال على شخص ما، إخراج المال من جيوب الناس، سلب الناس أموالهم
ابتسامة قهرية,Forced smile,الابتسامة القسرية
(ابتغى الوسيلةَ )إلى بِـ,To try to ingratiate someone,لمحاولة تملق شخص ما
ابتغى من فضل هللا,To strive for God’s grace,السعي لنعمة الله
أبد األبدين,Forever and ever,إلى أبد الآبدين
أبدى رأيه في,To express one’s opinion about,للتعبير عن رأي الشخص حول
ًأبدى رغبة,To express a wish or desire,للتعبير عن رغبة أو أمنية
أبدى عن نواجذه لِـ,"To display a hostile, threatening attitude",إظهار موقف عدائي وتهديدي
أبرأ ذمَّتَه,"To clear oneself from guilt, exonerate",لتبرئة النفس من الذنب، تبرئة النفس من الذنب
أبرز ُ المظاهر,The most outstanding or conspicuous phenomenon,الظاهرة الأكثر بروزًا أو وضوحًا
أبطأ من غراب نوح,"Tardier than Noah’s raven, i.e. slower than a ten-year itch",أبطأ من غراب نوح، أي أبطأ من حكة عشر سنوات
أبق العبد من سيده,"To escape, run away (abscond)",الهروب، الهروب (الفرار)
إبقاء الحالة على ما كانت عليه,Maintenance of the status quo,الحفاظ على الوضع الراهن
أبلَّ من مرض,To recover from an illness,التعافي من المرض
أبلغ الشرطةَ بِـ,To report something to the police,إبلاغ الشرطة عن شيء ما
أبلغ نفسَه عُذرَها,"He did his utmost, but without success",لقد بذل قصارى جهده ولكن دون جدوى
ابن آدم,Human being,الإنسان
ابن األيام,"A man of the world, a sophisticated man, product of his time",رجل عالم، رجل محنك، رجل متطور ونتاج عصره
ابن البلد,Native,السكان الأصليين
ابن السبيل,"Vagabond, tramp, wayfarer, traveller",متشرد، متشرد، متشرد، عابر سبيل، مسافر
ابنُ بُجْدَتِهَا,"He knows the job from the ground up, inside out, he is the right man for it",إنه يعرف الوظيفة من الألف إلى الياء ومن الداخل والخارج، وهو الرجل المناسب لها
