Redewendung,Bedeutung,Beispiel
das A und O,"die Hauptsache, das We- sentliche, der Kernpunkt","['In vielen Berufs- sparten sind gute Fremdsprachenkennt- nisse heute das A und O für Aufstiegs- chancen.', 'Die Steuer- und Abgabenlast zu senken ist das A und O der Beschäf- tigungspolitik (Zeit 23. 2. 1996, 25).']"
"wer A sagt, muss auch B sagen","wer et- was beginnt, muss es fortsetzen","['Jetzt können Sie keinen Rückzieher mehr machen – wer A sagt, muss auch B sa- gen.', 'Eumann kann sich sogar ein wer- befinanziertes Angebot des Senders vor- stellen Werbung gehört einfach zur Kul- tur des Internets, und wer A sagt, muss auch B sagen (Zeit 5. 4. 2001, 43).']"
von A bis Z,"von Anfang bis Ende, ohne Ausnahme, vollständig","['Ich habe das Buch von A bis Z gelesen. Die Geschichte ist von A bis Z erfunden.', 'Keine Rolle, die er nicht von A bis Z umgeschrieben hätte (Hörzu 25, 1975, 18). Der komplexe, har- monische, reinsortige Wein mit Schmelz weiß von A bis Z zu begeistern und bietet viel Weingenuss für relativ wenig Geld (NZZ, 30. 5. 2004, 99).']"
Aa machen,den Darm ent- leeren,"['Du bist ja so still, musst du mal Aa machen? Mami, der Junge hat Aa in die Sandkiste gemacht!', 'Wir waren alle viel zu brav in der grauen DDR. Weil uns ständig die Stasi im Nacken saß. Weil wir in der Kita alle auf Kommando Aa ma- chen mussten (taz 9. 11. 1999, 7).']"
kein Aas,"kein Mensch, niemand","['fest steht jedenfalls, dass heute kein Aas mehr ein Nazi gewesen sein will (Kirst, 08/15, 895). Er kommt zurück und nickt. Kein Aas zu sehen (Remarque, Westen 186).']"
ein Aas/Ass auf der geige sein,"clever sein, sich in allen Tricks und Schlichen auskennen","['Mein Freund hat noch zwei Karten aufgetrie- ben, der ist ein Aas auf der Bassgeige.']"
ab und an,"manchmal, von Zeit zu Zeit","['Eine Art Handlung inmitten des Traums, in der es um einen gestohlenen Koffer geht, blitzt nur ab und an auf und entwi- ckelt sich kaum (FR 19. 2. 2001, 27). Sie ging tanzen ab und an, aber am liebsten war sie in der Freischicht für sich (Johnson, Ansichten 13).']"
ab und zu,"manchmal, von Zeit zu Zeit","['Ab und zu huschte ein Lächeln über ihr Gesicht.', 'Man verehrt den Funken Le- ben, der selbst in einem Regenwurm pulst und ihn ab und zu ans Licht treibt (Remarque, Triomphe 45).']"
ab dafür,fertig; das war alles,"['Auf in den Süden. Badesachen und Sonnencreme ins Auto, volltanken und ab dafür (SZ 21. 4. 2004, 43).']"
ab durch die Mitte!,"schnell fort!; los, vorwärts!","['Gegen den Gartenzaun und ab durch die Mitte titelt die Presse- stelle der Polizei ihren Hinweis auf einen Autofahrer (www.zvw.de, 27. 11. 1999).']"
ab die Post!,"schnell fort!; los, vor- wärts!","['Ab die Post, befahl Tante Lucy, bring das Gör ma’ schleunigst ins Bett- chen (Erne´, Fahrgäste 272). Sie ent- schied nach kurzem Zögern In einer Stunde nischt wie ab die Post! (Fallada, Jeder 58).']"
ab nach Kassel!,schnell fort!,"['Hier, nimm noch deine Sachen, und dann ab nach Kassel!']"
sich einen abasten,sich mit etwas Schwerem abplagen,['Ich habe mir mit der Kiste ganz schön einen abgeastet.']
einen abbeißen,ein Glas Alkohol trinken,"['Lass uns noch einen abbeißen, bevor die Kneipe zu- macht. Er ist mit einem alten Kumpel or- dentlich einen abbeißen gegangen.']"
Abbitte leisten/tun,um Verzeihung bitten,"['Ich muss dir Abbitte leisten; ich hatte nicht ge- glaubt, dass du es ehrlich meinst. Er sah seinen Fehler ein und tat Abbitte.', 'Die Meisterin leistete mit dem zweiten Ei wohl Abbitte für die Ohrfeige (Strittmat- ter, Wundertäter 91).']"
sich keinen abbrechen,1. sich bei einer Tätigkeit nicht übermäßig anstrengen,"['Der Österreicher Marque, Sänger und Musiker mit Wahl- heimat Stuttgart, muss sich keinen ab- brechen, um adrette Songs alter Schule zu schreiben .']"
sich keinen abbrechen,2. sich zie- ren,"['Zumindest waren wir also jetzt so gute Kumpel, die sich keinen abbrechen, wenn sie sich mal nackt sehen .']"
einer Sache keinen Ab- bruch tun,"etw. nicht beeinträchtigen, nicht mindern","[' wurde es später beim Zug durch die Innenstadt mit starkem Schneetreiben bitterkalt. Doch der guten Stimmung tat das keinen Abbruch, viele feierten kräftig schunkelnd mit (FR 26. 2. 2001). Ihrem Aufstieg tat es auch keinen Abbruch, als sich die Musikerin Auszei- ten nahm und zwei Kinder zur Welt brachte (SZ 20. 3. 2001).']"
das tut der Liebe keinen Abbruch,das schadet nichts,"['Wenn er auch unseren Wagen kaputt gefahren hat, das tut der Liebe keinen Abbruch.', 'Ihr Mann war ein Stück kleiner als sie, aber das hat der Liebe keinen Abbruch getan, erzählt die Stuttgarterin (Leipziger Volkszeitung 28. 5. 2014, 23).']"
auf Abbruch heiraten,"jmdn., mit dessen baldigem Ableben zu rechnen ist, heiraten, um ihn oder sie zu beerben",['Ihren zwanzig Jahre älteren Mann hat sie wohl auf Abbruch geheira- tet.']
etw. auf Abbruch verkaufen,etw. zum Abriss verkaufen,"['Die beiden Häu- serblocks konnten nicht mehr saniert werden und wurden deshalb auf Abbruch verkauft.', 'Viele Kirchen wurden samt Einrichtung auf Abbruch verkauft oder in Tabaklager und Fabrikationshallen um- gewandelt (taz 27. 12. 2004, 4).']"
bunter Abend,"Abend- veranstaltung mit heiterem, abwechs- lungsreichem Programm","['Zum Abschluss der diesjährigen Feriensaison veranstal- tet die Kurverwaltung einen bunten Abend im Bürgerhaus.', 'Bald wurden die Tanzabende durch bunte Abende er- gänzt (Leonhard, Revolution 178).']"
