Variants,Redewendung,Bedeutung,Beispiele
['das A und O'],das A und O,"die Hauptsache, das Wesentliche, der Kernpunkt","['In vielen Berufssparten sind gute Fremdsprachenkenntnisse heute das A und O für Aufstiegschancen.', 'Die Steuerund Abgabenlast zu senken ist das A und O der Beschäftigungspolitik.']"
"['wer A sagt, muss auch B sagen']","wer A sagt, muss auch B sagen","wer etwas beginnt, muss es fortsetzen","['Jetzt können Sie keinen Rückzieher mehr machen – wer A sagt, muss auch B sagen.', 'Eumann kann sich sogar ein werbefinanziertes Angebot des Senders vorstellen Werbung gehört einfach zur Kultur des Internets, und wer A sagt, muss auch B sagen.']"
['von A bis Z'],von A bis Z,"von Anfang bis Ende, ohne Ausnahme, vollständig","['Ich habe das Buch von A bis Z gelesen. Die Geschichte ist von A bis Z erfunden.', 'Keine R olle, die er nicht von A bis Z umgeschrieben hätte', 'Der komplexe, harmonische, reinsortige Wein mit Schmelz weiß von A bis Z zu begeistern und bietet viel Weingenuss für relativ wenig Geld']"
['Aa machen'],Aa machen,den Darm entleeren,"['Du bist ja so still, musst du mal Aa machen? Mami, der Junge hat Aa in die Sandkiste gemacht!', 'Wir waren alle viel zu brav in der grauen DDR. Weil uns ständig die Stasi im Nacken saß. Weil wir in der Kita alle auf Kommando Aa machen mussten.']"
['kein Aas'],kein Aas,"kein Mensch, niemand","['fest steht jedenfalls, dass heute kein Aas mehr ein Nazi gewesen sein will', 'Er kommt zurück und nickt. Kein Aas zu sehen']"
"['ein Aas auf der geige sein', 'Ass auf der geige sein']",ein Aas/Ass auf der geige sein,"clever sein, sich in allen Tricks und Schlichen auskennen","['Mein Freund hat noch zwei Karten aufgetrieben, der ist ein Aas auf der Bassgeige.']"
['ab und an'],ab und an,"manchmal, von Zeit zu Zeit","['Eine Art Handlung inmitten des Traums, in der es um einen gestohlenen Koffer geht, blitzt nur ab und an auf und entwickelt sich kaum', 'Sie ging tanzen ab und an, aber am liebsten war sie in der Freischicht für sich']"
['ab und zu'],ab und zu,"manchmal, von Zeit zu Zeit","['Ab und zu huschte ein Lächeln über ihr Gesicht.', 'Man verehrt den Funken Leben, der selbst in einem Regenwurm pulst und ihn ab und zu ans Licht treibt.']"
['ab dafür'],ab dafür,fertig; das war alles,"['Auf in den Süden. Badesachen und Sonnencreme ins Auto, volltanken und ab dafür.']"
['ab durch die Mitte!'],ab durch die Mitte!,"schnell fort!; los, vorwärts!",['Gegen den Gartenzaun und ab durch die Mitte titelt die Pressestelle der Polizei ihren Hinweis auf einen Autofahrer.']
['ab die Post!'],ab die Post!,"schnell fort!; los, vorwärts!","['Ab die Post, befahl Tante Lucy, bring das Gör ma’ schleunigst ins Bettchen', 'Sie entschied nach kurzem Zögern In einer Stunde nischt wie ab die Post!']"
['ab nach Kassel!'],ab nach Kassel!,schnell fort!,"['Hier, nimm noch deine Sachen, und dann ab nach Kassel!']"
['sich einen abasten'],sich einen abasten,sich mit etwas Schwerem abplagen,['Ich habe mir mit der Kiste ganz schön einen abgeastet.']
['einen abbeißen'],einen abbeißen,ein Glas Alkohol trinken,"['Lass uns noch einen abbeißen, bevor die Kneipe zumacht. Er ist mit einem alten Kumpel ordentlich einen abbeißen gegangen.']"
"['Abbitte leisten', 'Abbitte tun']",Abbitte leisten/tun,um Verzeihung bitten,"['Ich muss dir Abbitte leisten; ich hatte nicht geglaubt, dass du es ehrlich meinst. Er sah seinen Fehler ein und tat Abbitte.', 'Die Meisterin leistete mit dem zweiten Ei wohl Abbitte für die Ohrfeige.']"
['sich keinen abbrechen'],sich keinen abbrechen,sich bei einer Tätigkeit nicht übermäßig anstrengen,"['Der Österreicher Marque, Sänger und Musiker mit Wahlheimat Stuttgart, muss sich keinen abbrechen, um adrette Songs alter Schule zu schreiben.']"
['sich keinen abbrechen'],sich keinen abbrechen,sich zieren,"['Zumindest waren wir also jetzt so gute Kumpel, die sich keinen abbrechen, wenn sie sich mal nackt sehen.']"
['einer Sache keinen Abbruch tun'],einer Sache keinen Abbruch tun,"etwas nicht beeinträchtigen, nicht mindern","['wurde es später beim Zug durch die Innenstadt mit starkem Schneetreiben bitterkalt. Doch der guten Stimmung tat das keinen Abbruch, viele feierten kräftig schunkelnd mit', 'Ihrem Aufstieg tat es auch keinen Abbruch, als sich die Musikerin Auszeiten nahm und zwei Kinder zur Welt brachte']"
['das tut der Liebe keinen Abbruch'],das tut der Liebe keinen Abbruch,das schadet nichts,"['Wenn er auch unseren Wagen kaputt gefahren hat, das tut der Liebe keinen Abbruch.', 'Ihr Mann war ein Stück kleiner als sie, aber das hat der Liebe keinen Abbruch getan, erzählt die Stuttgarterin.']"
['auf Abbruch heiraten'],auf Abbruch heiraten,"jemanden, mit dessen baldigem Ableben zu rechnen ist, heiraten, um ihn oder sie zu beerben",['Ihren zwanzig Jahre älteren Mann hat sie wohl auf Abbruch geheiratet.']
['etwas auf Abbruch verkaufen'],etwas auf Abbruch verkaufen,etwas zum Abriss verkaufen,"['Die beiden Häuserblocks konnten nicht mehr saniert werden und wurden deshalb auf Abbruch verkauft.', 'Viele Kirchen wurden samt Einrichtung auf Abbruch verkauft oder in Tabaklager und Fabrikationshallen umgewandelt.']"
['bunter Abend'],bunter Abend,"Abendveranstaltung mit heiterem, abwechslungsreichem Programm","['Zum Abschluss der diesjährigen Feriensaison veranstaltet die Kurverwaltung einen bunten Abend im Bürgerhaus.', 'Bald wurden die Tanzabende durch bunte Abende ergänzt.']"
['Heiliger Abend'],Heiliger Abend,Abend des 2Dezember,['Am Heiligen Abend gab es erst ein gutes Essen und dann die Bescherung für die Kleinen. Ein Heiliger Abend ohne Besuch der Christmette war für Großmutter undenkbar.']
['es ist noch nicht aller Tage Abend'],es ist noch nicht aller Tage Abend,es kann sich noch vielerlei ändern,['Noch ist nicht aller Tage Abend. Noch ist er ja nicht verurteilt.']
['guten Abend'],guten Abend,Grußformel am Abend,"['Guten Abend, liebe Hörerinnen und Hörer, wir begrüßen Sie zu unserer Sendung Musik bis Mitternacht.']"
['er kann mich am Abend besuchen'],er kann mich am Abend besuchen,mit ihm will ich nichts zu tun haben,"['Meine Freundin hat mich jetzt schon das dritte Mal versetzt, die kann mich mal am Abend besuchen.']"
