Variants,Redewendung,Bedeutung,Beispiele
"['ein Aas auf der geige sein', 'ein Ass auf der geige sein']",ein Aas/Ass auf der geige sein,"clever sein, sich in allen Tricks und Schlichen auskennen","['Mein Freund hat noch zwei Karten aufgetrieben, der ist ein Aas auf der Bassgeige.']"
"['Abbitte leisten', 'Abbitte tun']",Abbitte leisten/tun,um Verzeihung bitten,"['Ich muss dir Abbitte leisten; ich hatte nicht geglaubt, dass du es ehrlich meinst. Er sah seinen Fehler ein und tat Abbitte.', 'Die Meisterin leistete mit dem zweiten Ei wohl Abbitte für die Ohrfeige.']"
"['den Abflug machen', 'einen Abflug machen']",den/einen Abflug machen,"fortgehen, verschwinden","['Sei so gut und mach ’nen Abflug. Die Einführung war so schlecht, dass wir sofort wieder einen Abflug gemacht haben.', 'Entweder läuft die Suche zu schleppend, oder die Verantwortlichen haben Angst, die Modenschau könne wieder den Abflug machen, wenn man zu sehr auf einen anderen Standort drängt.']"
"['einen Abgang machen', 'den Abgang machen']",einen/den Abgang machen,"fortgehen, verschwinden","['Mensch, mach ’n Abgang, du bist hier nicht erwünscht!']"
"['abgehen wie ein Zäpfchen', 'abgehen wie Schmidts Katze']",abgehen wie ein Zäpfchen/wie Schmidts Katze,"sehr schnell und reibungslos, ohne große Anstrengung vorankommen, ablaufen ","['Das Auto meines Nachbarn hat über 200 PS und geht ab wie ein Zäpfchen.', 'Nun begann er, alte Häuser abzutragen und die Teile zu verkaufen. Das ging ab wie Schmidts Katze, erinnert er sich. Die Leute rissen ihm das Material fast aus der Hand.']"
"['abgehen wie ein Zäpfchen', 'abgehen wie Schmidts Katze']",abgehen wie ein Zäpfchen/wie Schmidts Katze,äußerst mitreißend sein,"['Die neuen Songs auf der CD gehen ab wie ’n Zäpfchen.', 'Doch was seinerzeit in der dampfenden Urlaubsstimmung in Discos und Bars der Iberischen Halbinsel abging wie Schmidts Katze, führte nicht zwangsläufig zum gewünschten Erfolg in Rendsburg, Bielefeld oder Chemnitz.']"
"['jemandem nichts abgucken', 'jemandem nichts weggucken']",jemandem nichts abgucken/weggucken,"in Aufforderungen, sich nackt vor vertrauten Personen nicht zu genieren","['Nun zieh dich schon aus, Paulchen, wir gucken dir nichts ab.']"
"['an jemandem ablaufen wie das Wasser am Entenflügel', 'an jemandem ablaufen wie das Wasser an der Gans', 'an jemandem ablaufen wie das Wasser am Pudel']",an jemandem ablaufen wie das Wasser am Entenflügel/an der Gans/am Pudel,"jemanden unbeeindruckt, gleichgültig lassen","['Kritik nimmt sie nicht ernst, alle Angriffe laufen an ihr ab wie das Wasser an der Gans. Man beschuldigte ihn, machte ihm Vorwürfe, aber er ließ das alles an sich ablaufen wie das Wasser am Entenflügel.']"
"['sich auf dem Absatz umdrehen', 'sich auf dem Absatz umwenden', 'auf dem Absatz kehrtmachen']",sich auf dem Absatz umdrehen/umwenden; auf dem Absatz kehrtmachen,spontan umkehren,"['Als er unter den Gästen seine frühere Frau entdeckte, drehte er sich auf dem Absatz um. Dumont hatte auf dem Absatz kehrtgemacht und winkte schon im Gehen.']"
"['zum Abschießen aussehen', 'zum Abschießen sein']",zum Abschießen aussehen/sein,"überaus komisch, grotesk aussehen","['Mit dem Hut sieht seine Frau zum Abschießen aus.']"
"['dreimal abgeschnitten und immer noch zu kurz', 'dreimal abgesägt und immer noch zu kurz', 'zweimal abgeschnitten und immer noch zu kurz', 'zweimal abgesägt und immer noch zu kurz']",dreimal/zweimal abgeschnitten/abgesägt und immer noch zu kurz,Kommentar beim Zusägen oder Zuschneiden von Werkstücken,['Nur leider sind die Schnitte auch oft verlaufen oder ich habe mich beim Messen vertan Ergebnis also Dreimal abgeschnitten und immer noch zu kurz!']
"['es setzt etwas ab', 'es setzt was ab']",es setzt etwas/was ab,es erfolgt eine körperliche Bestrafung,"['Wenn die Kinder nicht spurten, setzte es Prügel ab. Sei still, sonst setzt es was ab!', 'Dabei setzte es auch ein paar kritische Worte ab.']"
"['da spielt sich nichts ab', 'hier spielt sich nichts ab']",da/hier spielt sich nichts ab,"das kommt nicht infrage, daraus wird nichts","['Vor den Ausfahrten darf nicht geparkt werden, da spielt sich nichts ab. Hier spielt sich gar nichts ab, für ein Picknick ist es viel zu kalt!']"
"['mit vielem Ach und Weh; mit Weh und Ach', 'mit vielem Ach und Weh; unter Weh und Ach']",mit vielem Ach und Weh; mit/unter Weh und Ach,"mit vielem Klagen, Stöhnen; höchst ungern",['Mit vielem Ach und Weh hatte sie endlich die zwanzig Euro aus ihrem Portemonnaie gekramt. Dach.']
"['die Achsel, mit den Achseln zucken', 'die Achsel, mit der Achsel zucken']","die Achsel, mit den Achseln/der Achsel zucken","mit einem Hochziehen der Schultern zu verstehen geben, dass man etwas nicht weiß, nicht versteht, dass einem etwas gleichgültig ist","['Beamte in allen Instanzen zucken hilflos die Achseln, wenn man sie fragt, was denn nun genau für diesen Fall an Gesetzen gilt oder nicht', 'Was sollen wir machen, zuckt ein Uniformierter die Achsel']"
"['jemanden in Acht und Bann tun', 'jemanden in Acht und Bann erklären']",jemanden in Acht und Bann tun/erklären,über jemanden die Reichsacht und den Kirchenbann verhängen,['Der König ließ ihn und seine Familie in Acht und Bann erklären.']
"['jemanden in Acht und Bann tun', 'jemanden in Acht und Bann erklären']",jemanden in Acht und Bann tun/erklären,"jemanden aus einer Gemeinschaft ausschließen, aufs Schärfste verurteilen",['Eine Reihe von anderen nicht ganz unbekannten Kompatrioten wurde zusammen mit mir in Acht und Bann getan.']
"['etwas außer Acht lassen', 'etwas aus der Acht lassen', 'etwas aus aller Acht lassen']",etwas außer Acht lassen; etwas aus der/aus aller Acht lassen,etwas nicht beachten,"['Bei der Entscheidung hatte man wichtige Aspekte außer aller Acht gelassen.', 'Ein vor der Öffentlichkeit handelnder Verband trägt eine Verantwortung, die ein heimlich agierender oft außer Acht lässt.']"
"['jemanden achtkantig hinauswerfen', 'jemanden achtkantig rausschmeißen', 'jemanden vierkantig hinauswerfen', 'jemanden vierkantig rausschmeißen']",jemanden achtkantig/vierkantig hinauswerfen/rausschmeißen,"jemanden ausgesprochen grob aus dem Haus, dem Raum weisen, entlassen","['Mein Meister hätte mich achtkantig rausgeschmissen, wenn ich mich so lässig benommen hätte wie die jungen Leute heutzutage.']"
"['auf achtzig sein', 'auf achtzig kommen']",auf achtzig sein/kommen,"vor Wut rasen, rasend werden","['Seine Frau ist auf achtzig, weil das Essen im Ofen verbrutzelt und er wieder nicht angerufen hat, dass er später nach Hause kommt.', 'Mein Zittern wurde zu einem Zittern der Wut Ich kam auf achtzig und stürzte mich auf den Jungen.']"
"['seit Adams Zeiten', 'seit Adams Tagen']",seit Adams Zeiten/Tagen,"seit je, solange man denken kann",['Das ist doch schon seit Adams Zeiten bekannt. Nach diesem Verfahren arbeiten wir seit Adams Tagen.']
"['einer Sache Ade sagen', 'einer Sache Adieu sagen']",einer Sache Ade/Adieu sagen,"Abstand von etwas nehmen, etwas aufgeben","['Schon lange hat der Bürgermeister von Beverungen der Kernkraft Ade gesagt, schweren Herzens', 'Der Wissenschaftler gehört zu den Tausenden hoch qualifizierter Deutscher, die der Heimat Adieu sagen und sich in das Abenteuer Ausland stürzen']"
"['an die richtige Adresse geraten', 'an die richtige Adresse kommen']",an die richtige Adresse geraten/kommen,an die passende Stelle kommen.,x
"['an die falsche Adresse kommen', 'an die falsche Adresse geraten', 'an die unrechte Adresse kommen', 'an die unrechte Adresse geraten', 'an die verkehrte Adresse kommen', 'an die verkehrte Adresse geraten', 'an der falschen Adresse sein', 'an der unrechten Adresse sein', 'an der verkehrten Adresse sein']",an die falsche/unrechte/verkehrte Adresse kommen/geraten; an der falschen/unrechten/verkehrten Adresse sein,bei jemandem auf eine den positiven Erwartungen entgegengesetzte Reaktion stoßen; scharf abgewiesen werden,"['Dass eins klar ist, Herr Schenk. Wenn Sie ’n Denunzianten brauchen, sind Sie bei mir an der verkehrten Adresse.']"
"['sich einen Affen kaufen', 'sich einen Affen antrinken']",sich einen Affen kaufen/antrinken,sich betrinken,['Mir stinkts! Ich geh mir ’nen Affen kaufen!']
"['seinem Affen Zucker geben', 'dem Affen Zucker geben']",seinem/dem Affen Zucker geben,"seiner Schwäche, Marotte nachgeben","['Der durch zahlreiche TV-Serien auf den Typ des schweren Jungen festgelegte Schauspieler darf seinem Affen Zucker geben und das Brutalo-Klischee herrlich parodieren', 'Offensichtlich wollte Penker mal so richtig seinem Affen Zucker geben und produzierte im Alleingang eine regelrechte Sommer-EP']"
"['Aftersausen bekommen', 'Aftersausen kriegen', 'Muffensausen bekommen', 'Muffensausen kriegen']",Aftersausen/Muffensausen bekommen/kriegen,Angst bekommen,"['Bleib lieber unten, sonst bekommst du Aftersausen.']"
"['Aftersausen haben', 'Muffensausen haben']",Aftersausen/Muffensausen haben,Angst haben,"['Als er oben auf dem Gerüst stand, hatte er ein leichtes Muffensausen.']"
"['keine Ahnung haben', 'keine blasse Ahnung haben', 'nicht die leiseste Ahnung haben']",keine/keine blasse/nicht die leiseste Ahnung haben,"nicht informiert, unterrichtet sein","['Die Polizisten hatten keine Ahnung, wen sie da verhaftet hatten.', 'So weht ein Hauch von Untergrund durch die Hotline-Gemeinde – Eingeweihten eröffnen sich Welten, von denen der kommune Surfer keine blasse Ahnung hat', 'Okay, ich besorg dir welche, versprach ich, dabei hatte ich nicht die leiseste Ahnung, wo ich die Dinger herkriegen sollte']"
"['von Ackerbau und Viehzucht keine Ahnung haben', 'von Tuten und Blasen keine Ahnung haben']",von Ackerbau und Viehzucht/von Tuten und Blasen keine Ahnung haben,von einer Sache nicht das Geringste verstehen,"['Mein Eindruck Der junge Mann hatte keine Ahnung von Ackerbau und Viehzucht', 'Ich habe das Gefühl, hier will sich wer dicktun, der von Tuten und Blasen keine Ahnung hat']"
"['das ist, um auf die Akazien zu klettern!', 'es ist, um auf die Akazien zu klettern!']","das/es ist, um auf die Akazien zu klettern!",es ist zum Verzweifeln!,"['Ausgerechnet jetzt streikt der Fernsehapparat. Es ist, um auf die Akazien zu klettern!']"
"['jemandes Aktien steigen', 'jemandes Aktien fallen']",jemandes Aktien steigen/fallen,jemandes Aussichten auf Erfolg werden besser/schlechter,"['Seit er einen Sportwagen besitzt, sind seine Aktien bei ihr wieder gestiegen.']"
"['etwas in Alkohol ertränken', 'etwas im Alkohol ertränken']",etwas in/im Alkohol ertränken,etwas durch übermäßigen Genuss von alkoholischen Getränken zu vergessen suchen,['Er wollte seinen Liebeskummer im Alkohol ertränken.']
"['jemanden alle machen', 'jemanden allemachen']",jemanden alle machen/allemachen,jemanden umbringen,"['Wenn du mich verpfeifst, mache ich dich alle, warnte der Straßenräuber. dumm.']"
"['da nicht alt werden', 'hier nicht alt werden']",da/hier nicht alt werden,"da/hier nicht lange bleiben, es nicht lange aushalten","['Hier ist ja heute gar nichts los, hier werden wir nicht alt. Dieser Kerl war mir gleich verdächtig Wenn einer schon so heißt. Der wird hier nicht alt.']"
"['jemanden, etwas auf dem Altar der Freundschaft opfern', 'jemanden, etwas auf dem Altar der Liebe opfern', 'jemanden, etwas auf dem Altar des Vaterlandes opfern']","jemanden, etwas auf dem Altar der Freundschaft/der Liebe/des Vaterlandes opfern","jemanden, etwas für die Freundschaft/die Liebe/das Vaterland preisgeben",['Sie hat ihren Traum von einer großen Karriere auf dem Altar der Liebe geopfert.']
