Redewendung,Bedeutung,Beispiel
von A bis Z,"von Anfang bis Ende, ohne Ausnahme, vollständig","Ich habe das Buch von A bis Z gelesen. Die Geschichte ist von A bis Z erfunden. Keine Rolle, die er nicht von A bis Z umgeschrieben hätte. Der komplexe, harmonische, reinsortige Wein mit Schmelz weiß von A bis Z zu begeistern und bietet viel Weingenuss für relativ wenig Geld."
Aa machen,den Darm entleeren,"Du bist ja so still, musst du mal Aa machen? Mami, der Junge hat Aa in die Sandkiste gemacht! Wir waren alle viel zu brav in der grauen DDR. Weil uns ständig die Stasi im Nacken saß. Weil wir in der Kita alle auf Kommando Aa machen mussten."
ein Aas/Ass auf der geige sein,"clever sein, sich in allen Tricks und Schlichen auskennen","Mein Freund hat noch zwei Karten aufgetrieben, der ist ein Aas auf der Bassgeige."
ab und zu,"manchmal, von Zeit zu Zeit","Ab und zu huschte ein Lächeln über ihr Gesicht. Man verehrt den Funken Leben, der selbst in einem Regenwurm pulst und ihn ab und zu ans Licht treibt."
ab dafür,fertig; das war alles,"Auf in den Süden. Badesachen und Sonnencreme ins Auto, volltanken und ab dafür."
ab nach Kassel!,schnell fort!,"Hier, nimm noch deine Sachen, und dann ab nach Kassel!"
sich einen abasten,sich mit etwas Schwerem abplagen,Ich habe mir mit der Kiste ganz schön einen abgeastet.
einen abbeißen,ein Glas Alkohol trinken,"Lass uns noch einen abbeißen, bevor die Kneipe zumacht. Er ist mit einem alten Kumpel ordentlich einen abbeißen gegangen."
Abbitte leisten/tun,um Verzeihung bitten,"Ich muss dir Abbitte leisten; ich hatte nicht geglaubt, dass du es ehrlich meinst. Er sah seinen Fehler ein und tat Abbitte. Die Meisterin leistete mit dem zweiten Ei wohl Abbitte für die Ohrfeige."
sich keinen abbrechen,1. sich bei einer Tätigkeit nicht übermäßig anstrengen,"Der Österreicher Marque, Sänger und Musiker mit Wahlheimat Stuttgart, muss sich keinen abbrechen, um adrette Songs alter Schule zu schreiben."
sich keinen abbrechen,2. sich zieren,"Zumindest waren wir also jetzt so gute Kumpel, die sich keinen abbrechen, wenn sie sich mal nackt sehen."
auf Abbruch heiraten,"jemanden, mit dessen baldigem Ableben zu rechnen ist, heiraten, um ihn oder sie zu beerben",Ihren zwanzig Jahre älteren Mann hat sie wohl auf Abbruch geheiratet.
