kr_idiom,predicted_en_idiom,actual_en_idiom
겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다,It is easier to marry a daughter of a rich man than to marry a daughter of a poor man.,a piece of cake
엎드러지면 코 닿을 데,A place so close to the ground that you could touch it with your nose if you were lying down.,a stone's throw
혀가 내둘리다,to stick out like a sore thumb,at a loss for words
잔치날에 큰상 받는 기분,The feeling of receiving a big gift on a special occasion,be on cloud nine
화가 머리끝까지 나다,to be so angry that your hair stands on end,blow your top
한 줌 재가 되다,a grain of sand in an hourglass,breathe one's last
두 눈이 꿀단지 같다,Two eyes like a honeycomb,bug-eyed
한 줌 재가 되다,a grain of sand in an hourglass,buy the farm
삼대 구 년 만에,Once in a blue moon,coon's age
무릎 꿇다,To get down on one's knees,cry uncle
삼대 구 년 만에,Once in a blue moon,dog's age
삼대 구 년 만에,"A long time ago, in a galaxy far, far away...",donkey's years
겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다,It is easier to marry a daughter of a rich man than to marry a daughter of a poor man.,duck soup
주먹으로 물 찧기,To hit the nail on the head,easy-peasy
골 오르다,To be on top of the world,fit of anger
잔치날에 큰상 받는 기분,The feeling of receiving a big gift on a special occasion,full of the joys of spring
혼뜨검 만나다,to meet one's match,get it in the neck
닭 쫓던 개 울타리 넘겨다보듯,The dog that chases the chicken looks over the fence.,go down the pan
한 줌 재가 되다,a grain of sand in an hourglass,go home in a box
한 줌 재가 되다,a grain of sand in an hourglass,go west
급히 먹는 밥이 목이 멘다,You can't eat fast enough to keep up with your mouth.,haste makes waste
이 갈리다,to be at sixes and sevens,hit the ceiling
뒤웅박 신고 얼음판에 선 것 같다,It's like writing on ice with a feather.,hit the panic button
고슴도치 외 따 지듯,Like a hedgehog and a porcupine,in the hole
쓸 줄 모르는 것이 책부터 나무란다,You can't teach an old dog new tricks.,it is a poor workman who blames his tools
