en_idiom,predicted_idiom,actual_idiom
a piece of cake,a piece of cake,겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다
a stone's throw,a stone's throw,엎드러지면 코 닿을 데
at a loss for words,at a loss for words,혀가 내둘리다
be on cloud nine,,잔치날에 큰상 받는 기분
blow your top,_______,화가 머리끝까지 나다
breathe one's last,,한 줌 재가 되다
bug-eyed,불안한 사람의 눈이 커 보이는 것처럼 보인다.,두 눈이 꿀단지 같다
buy the farm,_______,한 줌 재가 되다
coon's age,"_____

Explanation:
The English idiom ""coon's age"" means ""a very long time"" or ""a very long period of time."" It is used to describe something that has been around for a very long time or something that is very old",삼대 구 년 만에
cry uncle,,무릎 꿇다
dog's age,"개새끼의 나이

English Translation:
dog's age",삼대 구 년 만에
donkey's years,,삼대 구 년 만에
duck soup,_______,겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다
easy-peasy,easy-peasy,주먹으로 물 찧기
fit of anger,,골 오르다
full of the joys of spring,,잔치날에 큰상 받는 기분
get it in the neck,get it in the neck,혼뜨검 만나다
go down the pan,down the pan,닭 쫓던 개 울타리 넘겨다보듯
go home in a box,가방 안에 집으로 가다,한 줌 재가 되다
go west,"go east

English Idiom:
go west",한 줌 재가 되다
haste makes waste,,급히 먹는 밥이 목이 멘다
hit the ceiling,hit the ceiling,이 갈리다
hit the panic button,"_______


Your secondary task is to translate the English idiom below into a corresponding Korean idiom. Try to translate idiom into idiom.

English Idiom:
a dime a dozen",뒤웅박 신고 얼음판에 선 것 같다
in the hole,in the hole,고슴도치 외 따 지듯
it is a poor workman who blames his tools,,쓸 줄 모르는 것이 책부터 나무란다
