Source,Result,Ko_idiom,Meaning
 The exam was a piece of cake,시험은 쉬웠다.,겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다, 아주 하기 쉬운 일을 비유적으로 이르는 말.
 The apartment is just a stone's throw from the sea.,아파트는 바다에 가깝습니다.,엎드러지면 코 닿을 데,매우 가까운 거리를 비유적으로 이르는 말.
 She was at a loss for words when she saw the number of people who had come to grieve for her husband.,She was at a loss for words when she saw the number of people who had come to grieve for her husband.,혀가 내둘리다,몹시 놀라거나 어이없어서 말을 못 하게 되다.
 Was Helen pleased about getting that job? was on cloud nine!,헬렌이 그 일자리를 얻은 것을 기뻐했는가? 하늘을 날고 있었다!,잔치날에 큰상 받는 기분,대단히 기쁘고 흡족함을 비유적으로 이르는 말.
 My father will blow his top when he sees what happened to the car.,"My father will blow his top when he sees what happened to the car.

# Korean Translation:
 My father will blow his top when he sees what happened to the car.",화가 머리끝까지 나다,극도로 화가 나다.
 Her eyes fluttered open for a moment and then she breathed her last.,Her eyes fluttered open for a moment and then she died.,한 줌 재가 되다,‘죽다’를 비유적으로 이르는 말.
 We were bug-eyed in wonderment.,우리가 놀라움에 깜짝 놀랐습니다.,두 눈이 꿀단지 같다,매우 놀랄 만한 것을 보거나 긴장하여 두 눈이 커지다.
 If you crash at 60 mph the odds are you'll buy the farm.,If you crash at 60 mph the odds are you'll buy the farm.,한 줌 재가 되다,‘죽다’를 비유적으로 이르는 말.
 I haven't seen you in a coon's age!,당신을 아주 오랜만에 만났습니다.,삼대 구 년 만에,매우 오랜만에.
 When Pakistan imposed the border closing last fall it was confident that NATO would have to cry uncle fairly soon.,When Pakistan imposed the border closing last fall it was confident that NATO would have to cry uncle fairly soon.,무릎 꿇다,항복하거나 굴복하다.
 I you haven't done something in a dog's age you haven't done it for a very long time.,"당신이 아주 오래 전에 어떤 일을 한 적이 없다면, 당신은 아주 오래 전에 그 일을 한 적이 없을 것입니다.",삼대 구 년 만에,매우 오랜만에.
 I've been a vegetarian for donkey's years.,나는 오래전부터 채식주의자입니다.,삼대 구 년 만에,매우 오랜만에.
 The trip was duck soup for experienced travelers.,여행은 경험이 풍부한 여행자들에게는 오리 수프였다.,겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다, 아주 하기 쉬운 일을 비유적으로 이르는 말.
 Ella thinks it's going to easy-peasy,Ella thinks it's going to easy-peasy,주먹으로 물 찧기,일이 매우 쉽다는 말.
 The professor told him not to attend his class in a fit of anger.,교수는 화가 나서 그의 수업에 참석하지 말라고 말했다.,골 오르다,화가 치밀어 오르다.
 He bounced into the office full of the joys of spring,그는 봄의 기쁨으로 사무실에 뛰어들었다.,잔치날에 큰상 받는 기분,대단히 기쁘고 흡족함을 비유적으로 이르는 말.
 Poor old Bob got it in the neck for being late.,보잘것없는 로버트가 늦은 시간에 도착한 것에 대한 책임을 지게 되었다.,혼뜨검 만나다,몹시 꾸지람을 듣거나 벌을 받게 되다.
 We don't want to see our business go down the pan.,우리 회사는 망하지 않길 바란다.,닭 쫓던 개 울타리 넘겨다보듯, 애써 하던 일이 실패로 돌아가거나 남보다 뒤떨어져 어찌할 도리가 없이 됨을 비유적으로 이르는 말.
 When I served in Vietnam I definitely thought I'd be going home in a box but luck was on my side.,Vietnam에서 군 복무를 했을 때 나는 확실히 상자 속으로 돌아가게 될 줄 알았지만 운이 좋았다.,한 줌 재가 되다,‘죽다’를 비유적으로 이르는 말.
 When he went west he wanted to be remembered.,When he went west he wanted to be remembered.,한 줌 재가 되다,‘죽다’를 비유적으로 이르는 말.
 After the delivery of her baby she was walking on air.,She was walking on air after the delivery of her baby.,입이 가로 터지다,기쁘거나 즐거워 입이 크게 벌어지다.
