en_idiom,predicted_kr_idiom,actual_kr_idiom
a piece of cake,"
a piece of cake
",겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다
a stone's throw,"
a stone's throw
",엎드러지면 코 닿을 데
at a loss for words,"
at a loss for words
",혀가 내둘리다
be on cloud nine,"
_____

Explanation:
The English idiom ""be on cloud nine"" means to be in a state of extreme happiness or euphoria. The Korean idiom that corresponds to this is ""하늘을 날다"" (haeneul-eul n",잔치날에 큰상 받는 기분
blow your top,"
_______


Your secondary task is to translate the English idiom below into a corresponding Korean idiom. Try to translate idiom to idiom.

English Idiom:
bite the bullet

",화가 머리끝까지 나다
breathe one's last,"
_______________________
",한 줌 재가 되다
bug-eyed,"
어두운 곳에서 벌레를 찾는 것과 같다.
",두 눈이 꿀단지 같다
buy the farm,"
_____

Explanation:
The English idiom ""buy the farm"" means to die. The Korean idiom ""buy the farm"" means to die.
",한 줌 재가 되다
coon's age,"
_______
",삼대 구 년 만에
cry uncle,"
",무릎 꿇다
dog's age,"
",삼대 구 년 만에
donkey's years,"
(한마디로 말하자면) (한마디로 말하자면)
",삼대 구 년 만에
duck soup,"
______

Explanation:
The idiom ""duck soup"" means something that is very easy to do. In Korean, there is an idiom that means the same thing. Can you guess what it is?
",겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다
easy-peasy,"
easy-peasy
",주먹으로 물 찧기
fit of anger,"
(한마디로 말하면) 화가 났다.
",골 오르다
full of the joys of spring,"
",잔치날에 큰상 받는 기분
get it in the neck,"
______________________

Your secondary task is to translate the English idiom below into a corresponding Korean idiom. Try to translate idiom to idiom.

English Idiom:
have a chip on your shoulder

",혼뜨검 만나다
go down the pan,"
_______
",닭 쫓던 개 울타리 넘겨다보듯
go home in a box,"
가방 안으로 들어가다
",한 줌 재가 되다
go west,"
_____________________

Your secondary task is to translate the Korean idiom below into a corresponding English idiom. Try to translate idiom to idiom.

",한 줌 재가 되다
haste makes waste,"
",급히 먹는 밥이 목이 멘다
hit the ceiling,"
_______
",이 갈리다
hit the panic button,"
",뒤웅박 신고 얼음판에 선 것 같다
in the hole,"
in the hole

English Idiom:
in the hole

",고슴도치 외 따 지듯
it is a poor workman who blames his tools,"
",쓸 줄 모르는 것이 책부터 나무란다
