Source,Result,Ko_idiom,Meaning
 The exam was a piece of cake,시험은 쉽게 넘어갔습니다.,겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다, 아주 하기 쉬운 일을 비유적으로 이르는 말.,x
 The apartment is just a stone's throw from the sea.,아파트는 바다에서 돌멩이 던질 수 있는 거리만큼 떨어져 있습니다.,엎드러지면 코 닿을 데,매우 가까운 거리를 비유적으로 이르는 말.,l
 She was at a loss for words when she saw the number of people who had come to grieve for her husband.,"그녀가 남편을 애도하기 위해 온 사람들의 수를 보았을 때, 그녀는 단어를 찾을 수 없었습니다.",혀가 내둘리다,몹시 놀라거나 어이없어서 말을 못 하게 되다.,l
 Was Helen pleased about getting that job? was on cloud nine!,헬렌이 그 일자리를 얻은 것을 기뻐했는가? 하늘을 날고 있었다!,잔치날에 큰상 받는 기분,대단히 기쁘고 흡족함을 비유적으로 이르는 말.,o
 My father will blow his top when he sees what happened to the car.,아버지는 차가 어떻게 되었는지 보자마자 분노를 터뜨릴 것이다.,화가 머리끝까지 나다,극도로 화가 나다., m
 Her eyes fluttered open for a moment and then she breathed her last.,Her eyes fluttered open for a moment and then she breathed her last.,한 줌 재가 되다,‘죽다’를 비유적으로 이르는 말., x
 We were bug-eyed in wonderment.,우리는 놀라움에 깜짝 놀랐다.,두 눈이 꿀단지 같다,매우 놀랄 만한 것을 보거나 긴장하여 두 눈이 커지다., m
 If you crash at 60 mph the odds are you'll buy the farm.,"만약 당신이 60 마일로 충돌한다면, 당신은 농장에 살해당할 확률이 높다.

    # Explanation:
     만약 = If
     당신이 = You
     60 마일",한 줌 재가 되다,‘죽다’를 비유적으로 이르는 말., m
 I haven't seen you in a coon's age!,너를 아주 오래 전에 만난 적이 없어요.,삼대 구 년 만에,매우 오랜만에.,l
 When Pakistan imposed the border closing last fall it was confident that NATO would have to cry uncle fairly soon.,"지난 가을에 파키스탄이 국경 폐쇄를 시행했을 때, NATO가 곧 굴복할 것이라고 확신했다.",무릎 꿇다,항복하거나 굴복하다., m
 I you haven't done something in a dog's age you haven't done it for a very long time.,"당신은 아주 오래 전에 어떤 일을 한 적이 없다면, 당신은 아주 오래 전에 어떤 일을 한 적이 없을 것입니다.",삼대 구 년 만에,매우 오랜만에., m
 I've been a vegetarian for donkey's years.,나는 오래전부터 채식주의자입니다.,삼대 구 년 만에,매우 오랜만에., m
 The trip was duck soup for experienced travelers.,여행은 숙련된 여행자들에게는 오리국수였다.,겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다, 아주 하기 쉬운 일을 비유적으로 이르는 말.,l
 Ella thinks it's going to easy-peasy,"엘라가 생각하는 건 쉬워보인다.

    # Hints:
     1. ""Ella thinks it's going to easy-peasy"" -> ""엘라가 생각하는 건 쉬워보인다.""
     2",주먹으로 물 찧기,일이 매우 쉽다는 말., m
 The professor told him not to attend his class in a fit of anger.,"교수는 화가 나서 그의 수업에 참석하지 말라고 말했다.

    # Explanation:
     The professor told him not to attend his class in a fit of anger. = 교수는 화가 나서 그의 수업에 참석",골 오르다,화가 치밀어 오르다., m
 He bounced into the office full of the joys of spring,그는 봄의 기쁨으로 사무실에 뛰어들었다.,잔치날에 큰상 받는 기분,대단히 기쁘고 흡족함을 비유적으로 이르는 말., l
 Poor old Bob got it in the neck for being late.,늙은 로버트가 늦게 도착했기 때문에 목에 칼이 꽂혔다.,혼뜨검 만나다,몹시 꾸지람을 듣거나 벌을 받게 되다., l
 We don't want to see our business go down the pan.,우리 회사는 망하지 않기를 원하지 않습니다.,닭 쫓던 개 울타리 넘겨다보듯, 애써 하던 일이 실패로 돌아가거나 남보다 뒤떨어져 어찌할 도리가 없이 됨을 비유적으로 이르는 말., m
 When I served in Vietnam I definitely thought I'd be going home in a box but luck was on my side.,When I served in Vietnam I definitely thought I'd be going home in a box but luck was on my side.,한 줌 재가 되다,‘죽다’를 비유적으로 이르는 말., x
 When he went west he wanted to be remembered.,그가 서쪽으로 갔을 때 그는 기억되고 싶었다.,한 줌 재가 되다,‘죽다’를 비유적으로 이르는 말., l
 After the delivery of her baby she was walking on air.,아기가 태어난 후에 그녀는 하늘을 걷고 있었다.,입이 가로 터지다,기쁘거나 즐거워 입이 크게 벌어지다., l
