Sentence,KR_Idiom,Translated_Korean
 The exam was a piece of cake,겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다,"Translate the following sentence into Korean:'The exam was a piece of cake'시험은 아주 쉽다는 말.오래 살아 매우 늙을 때까지를 이르는 말.,항복하거나 굴복하다.무릎 꿇다.어렵고 나쁜 일이 겹치어서 일어나다.엎친 데 덮치다.한 가지 일을 하여 두 갈리게 됨을 비유적으로 이르는 말.일이란"
 The apartment is just a stone's throw from the sea.,엎드러지면 코 닿을 데,Translate the following sentence into Korean:'The apartment is just a stone's throw from the sea.'아파트가 바다에 면한 채로 설계되었습니다Designed with beachfront living in mind.
 She was at a loss for words when she saw the number of people who had come to grieve for her husband.,혀가 내둘리다,Translate the following sentence into Korean:'She was at a loss for words when she saw the number of people who had come to grieve for her husband.'어떤 말도 못하는 지경에 이르다.마음 놓고 편히 자다.‘죽다’를 비유적으로 이르는말.한 가지 일을 하여 두 가지 이상의 benefit을 보게 됨을 비유적 관용구로 번역해 주세요.일이 매우
 Was Helen pleased about getting that job? She was on cloud nine!,잔치날에 큰상 받는 기분,Translate the following sentence into Korean:'Was Helen pleased about getting that job? She was on cloud nine!'헬렌이 그工作을得到에 대해 기쁘거나 즐거워서 입가로 물 찧기.입이 가로 터지다.대단히 만족하거나 행복하여 얼굴표情이나 말투 등에서 잘 보이지 않음.항복 또는 굴의식을 비유적으로 이르는 말.'入が喉に剂ち
 My father will blow his top when he sees what happened to the car.,화가 머리끝까지 나다,"Translate the following sentence into Korean:'My father will blow his top when he sees what happened to the car.'아버지가 차를 보게 되면 화가 나다.일이 매우 쉽다는 말.,할 줄 모르면서 재료만 탓함을 비유적으로 이르는말..결혼식 날짜를 정하다.,어떤 일에 대비하여 미리 날씨 등을 확인하는 경우의 동사 형태는 무엇입니까?예약한"
 Her eyes fluttered open for a moment and then she breathed her last.,한 줌 재가 되다,Translate the following sentence into Korean:'Her eyes fluttered open for a moment and then she breathed her last.'눈동자를 굴려보세요.마우스를 이동된 개체의 원점으로 모기쫓이기Shift + click to move origin of moved object with mouse')바깥 영역 외곽선에 대해 넓은 핸들 사용Use wide handle for outline of area)컨트롤러 매핑을 로드하는
 We were bug-eyed in wonderment.,두 눈이 꿀단지 같다,"Translate the following sentence into Korean:'We were bug-eyed in wonderment.'당황하고 어이없어서 말을 못 하게 되다.unable to speak or think clearly due to shock, surprise, etc.exclaiming Oh my god!in disbelief at something astonishingly goodor successful.wonderfully happy or delighted; extremely pleased.an expression of astonishment or awe.something that fills one with astonished admiration或极度惊讶而说不出话来；目瞪"
 If you crash at 60 mph the odds are you'll buy the farm.,한 줌 재가 되다,Translate the following sentence into Korean:'If you crash at 60 mph the odds are you'll buy the farm.'충돌 시도 중에 실패했습니다Tried to collide but failedCollisions can be forced with the collision buttonForced collisions do not deal damage보드 외곽선과 맞닿은 부품자리가 잘못됨Boarder clash with component placementComponent placements may need adjusting부서진 조각을 정리할 수 없습니다Unable to clean up
 I haven't seen you in a coon's age!,삼대 구 년 만에,Translate the following sentence into Korean:'I haven't seen you in a coon's age!'코인 세기 만에 다시 만나다.meet again after a long time..
 When Pakistan imposed the border closing last fall it was confident that NATO would have to cry uncle fairly soon.,무릎 꿇다,Translate the following sentence into Korean:'When Pakistan imposed the border closing last fall it was confident that NATO would have to cry uncle fairly soon.'이번 겨울에 나토가 굴복하도록 도와주세요Help nato surrender this winter'When pakistan Imposed The Border Closing Last Fall It Was Confident That Natos Would Have To Cry Uncle Fairly Soon'.
