KR_Sentence,Idiom,Translated_English
 겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다고 이 정도 일이면 만족하고 해야지.,a piece of cake,"' 겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다고 이 정도 일이면 만족하고 해야지.'라는 문장을 한국어에서 영어로 번역해 주세요.이상한 놈은 죽다.’를 비유적으로 이르는 말., 아주 하기 쉬운 일을 가르키는 관용구.겉보리가 되도록 허용된 사용자 목록Allow listed users to boost messages', '일곱"
 그의 직장은 집에서 엎드러지면 코 닿을 거리에 있었다.,a stone's throw,' 그의 직장은 집에서 엎드러지면 코 닿을 거리에 있었다.'라는 문장을 한국어에서 영어로 번역해 주세요.그의 사무실은 자다고 하면 됩니다.코가 마주칠 만큼 가까운 곳에 estava..was close enough to touch with one’s nose when lying down.).위젯과 바로 아래쪽缘 사이의 간격Margin between widget and bottom edge of screen0ptMinimum allowed value 1px
 그녀는 그때의 처참한 광경을 보고 혀가 내둘렸다.,at a loss for words,"' 그녀는 그때의 처참한 광경을 보고 혀가 내둘렸다.'라는 문장을 한국어에서 영어로 번역해 주세요.그녀는 당시 나쁜 평가를 받았다.‘혀가 가르치다’를 비유적으로 이르는 말.,꼬리표 붙거나 잘못된 기사 rằng이 되기 쉽다는 의미의 관용구입니다.날 잡다가風잡다 어렵지 않은 일을 하여 쉬"
 마침내 취직에 성공한 나는 잔치날에 큰상 받은 기분만 같았다.,be on cloud nine,"' 마침내 취직에 성공한 나는 잔치날에 큰상 받은 기분만 같았다.'라는 문장을 한국어에서 영어로 번역해 주세요.마음 놓고 편히 자다.to sleep soundly and comfortably.bye bye, see you soon.!아무래도 내일이 되기까지를 기다려야 한다.We must wait until tomorrow anyway.'.결혼식 날짜가 정착되었습니다The wedding date is set!.항"
 비싼 돈 주고 형편없는 대접을 받은 손님은 화가 머리끝까지 나고야 말았다.,blow your top,"' 비싼 돈 주고 형편없는 대접을 받은 손님은 화가 머리끝까지 나고야 말았다.'라는 문장을 한국어에서 영어로 번역해 주세요.돈으로 사기 당한 사람이 분를 참지 못하여 독한 마음이 생겼다.=오래 살아 아주 늙어서 죽는 것을 반복적으로 이르는말., 오랜만에.+매우 드물게./항상 그렇지는"
 그렇게 젋은 목숨들이 한 줌 재가 되는 안타까운 사건이 있다.,breathe one's last,"' 그렇게 젋은 목숨들이 한 줌 재가 되는 안타까운 사건이 있다.'라는 문장을 한국어에서 영어로 번역해 주세요.그렇게도 어렵거나 나쁜 일이 겹치어서 일어나다.충돌 오류에 대한 자세한 내용을 보려면 여기를 클릭하세요.Click here to learn more about collision errors.

오래 살아 아주 늙는 것을 비유적으로 이르는 말.,‘죽"
 현장에서 불의의 사고를 직접 목격한 우리는 두 눈이 꿀단지 같아졌다.,bug-eyed,"' 현장에서 불의의 사고를 직접 목격한 우리는 두 눈이 꿀단지 같아졌다.'라는 문장을 한국어에서 영어로 번역해 주세요.우리가 살아있는 동안에만 가능하다시피 하기 바랍니다live as if you were to die tomorrow, learn asifyouwere tot live forever.오래 살다란 무엇을 말하는가? 오랜 생애 끝에 온 늙은 날들.to be old and"
 이 순간에도 우크라이나에서는 많은 젊은 남자들이 전장에서 한 줌의 재가 되고 있다.,buy the farm,' 이 순간에도 우크라이나에서는 많은 젊은 남자들이 전장에서 한 줌의 재가 되고 있다.'라는 문장을 한국어에서 영어로 번역해 주세요.이제도 украína에 수많은 청년이가뿔처럼 죽어나다.to die like a dog.)to meet one's death in a painful or humiliating way.).many young men are dying on the battlefield.'.한국어가 적합한지 확인하십시오This sentence
 겨우 일주일만에 돌아온 것인데도 삼대 구 년 만에 돌아온 기분이 들었다.,coon's age,"' 겨우 일주일만에 돌아온 것인데도 삼대 구 년 만에 돌아온 기분이 들었다.'라는 문장을 한국어에서 영어로 번역해 주세요.한 달 내내 집 밖으로 나가지 못하다.,매달 되면 결제가 자동적으로 이루어진다.Auto-renewal may occur within any subscription period if we renew your subscriptionAuto-Renewal of SubscriptionThe user's device is not compatible with this appThis"
 맹렬한 그들의 공격에 우리는 무릎 꿇을 수 밖에 없었다.,cry uncle,' 맹렬한 그들의 공격에 우리는 무릎 꿇을 수 밖에 없었다.'라는 문장을 한국어에서 영어로 번역해 주세요.their fierce attack left us with no choice but to surrender'.
 너 어디 갔었냐? 삼대 구 년 만에 보는 것 같다?,dog's age,"' 너 어디 갔었냐? 삼대 구 년 만에 보는 것 같다?'라는 문장을 한국어에서 영어로 번역해 주세요.검은 머리 파 뿌리가 되도록Let the black hair turn grey');INSERT INTO command_history VALUES ('2020-08-09 21:05', '급히 먹을 때 더 많이 배불러지다.'를 비유적으로 이르는 말.', '(곽철상)너무 급"
 이 식당에도 삼대 구 년 만에 온 것 같은데 여전히 옛날 맛 그대로네?,donkey's years,' 이 식당에도 삼대 구 년 만에 온 것 같은데 여전히 옛날 맛 그대로네?'라는 문장을 한국어에서 영어로 번역해 주세요.이 레스토랑에는 오래 동안 소비자가 없습니다항목을 추가하는 중 에러가 발생했습니다Error while adding to cartItem added successfullyCould not add item to cardFailed to remove items from the cardItems removed fromthe c ardSuccessfully deleted the listDeleted lists cannot be recoveredThe
 겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다고 이 정도 일이면 만족하고 해야지.,duck soup,"' 겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다고 이 정도 일이면 만족하고 해야지.'라는 문장을 한국어에서 영어로 번역해 주세요.이정도 일은 하다시피하다.,할 줄 모르면서 재료만 탓함을 비유적으로 이르는 말.'.삼대 구 년 만에'.매우 오랜 시간 이후에.).한 줌 재가 되다.?‘죽"
 진정 능력있는 사람은 복잡한 일도 주먹으로 물 찧듯이 해내는 법이다.,easy-peasy,"' 진정 능력있는 사람은 복잡한 일도 주먹으로 물 찧듯이 해내는 법이다.'라는 문장을 한국어에서 영어로 번역해 주세요.주요할 줄 모르면서 재료만 탓함을 비유적으로 이르는 말.,기술과 예술의 결합체를 가리켜서 장신공이라고 한다.‘화가 치밀어서 목에 들어오다.’를비유적으로 이르는 말."
 신입의 개념없는 행동에 팀장님은 골 올라 소리쳤다.,fit of anger,' 신입의 개념없는 행동에 팀장님은 골 올라 소리쳤다.'라는 문장을 한국어에서 영어로 번역해 주세요.팀장이 새 인원이 들어오면 기쁘거나 즐거워 입이 크게 벌어진다.to be extremely happy or joyful upon the arrival of a new member'.to have one's eyes opened; to become aware of something for the first time.'.매우 놀랄 만한 것을 보거나 긴급히 불러
 취직에 성공해 잔치날에 큰상 받는 기분으로 출근하는 것도 그리 오래 가지는 않았다.,full of the joys of spring,' 취직에 성공해 잔치날에 큰상 받는 기분으로 출근하는 것도 그리 오래 가지는 않았다.'라는 문장을 한국어에서 영어로 번역해 주세요.대단히 즐거워 입이 크게 벌어지다.감옥살이를 하다가 특혜를 부여받거나 벗어나도록 해제되다.‘취업을 할 수 있는 좋은 조건들이 모인다는 말.’항복하거나
 결국 반복된 지각을 들킨 선배는 제대로 혼뜨검 만나버렸다.,get it in the neck,"' 결국 반복된 지각을 들킨 선배는 제대로 혼뜨검 만나버렸다.'라는 문장을 한국어에서 영어로 번역해 주세요.반復신호를 두근거리다.[몹시 위태ρο거나 무서워지다.]결혼식 날짜를 정하다.,어떤 일에 대비하여 미리 날씨를 보게 됨을 비유적으로 이르는 말.).될 수 있는 경우"
 팀을 결승까지 올려놓고 결국 부상을 입은 그 선수는 팀이 준우승하는 것을 닭 쫓던 개 울타리 넘겨다보는 심정으로 지켜볼 수 밖에 없었다.,go down the pan,' 팀을 결승까지 올려놓고 결국 부상을 입은 그 선수는 팀이 준우승하는 것을 닭 쫓던 개 울타리 넘겨다보는 심정으로 지켜볼 수 밖에 없었다.'라는 문장을 한국어에서 영어로 번역해 주세요.그렇게 하여 특定한 몇명의 사람이 이익을 보게 되도록 장치하다.to contrive to benefit a few at the expense of many;
 그렇게 주인을 지키려 했던 충직한 개는 한 줌 재가 되어버렸다.,go home in a box,' 그렇게 주인을 지키려 했던 충직한 개는 한 줌 재가 되어버렸다.'라는 문장을 한국어에서 영어로 번역해 주세요.믿을 수 있는 자를 찾아 물으면 죽다.주인의 신뢰를 잃은 사람이 되다.|‘이 갈리거나 부서지게 될 것을 우선적으로 고려하여 설계나 제작하다.’에 해당하는 관용구는 무엇입니까?뒤웅
 그는 한 줌 재가 되어서도 사람들의 기억 속에 강하게 남았다.,go west,' 그는 한 줌 재가 되어서도 사람들의 기억 속에 강하게 남았다.'라는 문장을 한국어에서 영어로 번역해 주세요.그는 죽다 날라 쫓겨나거나 실패하도록 격려한다.He is dead and gone these many years.And yet men's hearts fail them for fear of him.Even the remembrance thereof makes the flesh to creep.The very name strikes terror into our souls!죽은 자를 부르는
 급히 먹는 밥이 목이 멘다고 그렇게 서두르다가 사고치지 말고 천천히 해라.,haste makes waste,' 급히 먹는 밥이 목이 멘다고 그렇게 서두르다가 사고치지 말고 천천히 해라.'라는 문장을 한국어에서 영어로 번역해 주세요.급하게 음식을 섭취하면 위태롭다.너무 빠르게 작업을 수행하다보면 실수를 한다.쓸 줄 모르는 것이 책부터 나쁜 것으로 보인다.too hasty a thing is like preaching to the converted
 단 0.5점 차이로 시험에 떨어진 나는 이를 갈며 1년을 더 공부해야 했다.,hit the ceiling,' 단 0.5점 차이로 시험에 떨어진 나는 이를 갈며 1년을 더 공부해야 했다.'라는 문장을 한국어에서 영어로 번역해 주세요.나는 실험으로만 0.5 점 이하여야 한다를 가리켜 무엇이라고 कहत지?only pass a course if you score at least 50%.한 개 이상의 조건들이 충족 될 때에のみ 작업할 수 있습니다You can only work on
 계속된 실수에 주눅든 막내는 뒤웅박 신고 얼음판에 선 것 같은 기분으로 일하기 시작했다.,hit the panic button,' 계속된 실수에 주눅든 막내는 뒤웅박 신고 얼음판에 선 것 같은 기분으로 일하기 시작했다.'라는 문장을 한국어에서 영어로 번역해 주세요.막둥이가 틱틱거리는 걸 들여다보듯 하기 쉽습니다Little kids start to giggle when they see someone else tickling Little Kids starts giggeling when seeing others being Tickled). continuos errorneous actions lead to
 능력도 없이 덜컥 외제차를 샀다간 고슴되치 외 따 지는 수가 있다.,in the hole,"' 능력도 없이 덜컥 외제차를 샀다간 고슴되치 외 따 지는 수가 있다.'라는 문장을 한국어에서 영어로 번역해 주세요.할 줄 모르면서 재료만 탓하는 것이냐?외 얽고 벽 친다고 되려면 된 것이다.?한 가지 일을 하여 두 가지 이익을 보게 됨을 비유적으로 이르는 말.,일이 매우 쉽다는 뜻의 관"
 본인의 무능을 감추고자 부하들을 혼내고 닦달하기만 하는 상사에 질린 사람들은 쓸 줄 모르는 것이 책부터 나무란다며 그를 뒷담화했다.,A bad workman blames his tools,' 본인의 무능을 감추고자 부하들을 혼내고 닦달하기만 하는 상사에 질린 사람들은 쓸 줄 모르는 것이 책부터 나무란다며 그를 뒷담화했다.'라는 문장을 한국어에서 영어로 번역해 주세요.상사의 잘못된 지시를 받는 것 같음 같다.).이럴 때에는 조심스러움과 두려워짐을 비유적으로 이르는
 걱정했던 것과 다르게 그 면접은 주먹으로 물 찧기였다.,a piece of cake,"' 걱정했던 것과 다르게 그 면접은 주먹으로 물 찧기였다.'라는 문장을 한국어에서 영어로 번역해 주세요.우려가 현실화되다.,예상보다 훨씬 더 잘 나간다는 말.to exceed one's wildest expectations.'.주머니에 손이 닿을 데.’를 비유적으로 이르는 말.A very long time indeed.!항복하거나 굴복하다.To surrender"
 사업 실패로 갚지 못할 빚을 잔뜩 진 그는 한 줌 재가 되는 길을 택했다.,kick the bucket,"' 사업 실패로 갚지 못할 빚을 잔뜩 진 그는 한 줌 재가 되는 길을 택했다.'라는 문장을 한국어에서 영어로 번역해 주세요.대단히 기쁘고 흡족함를 비유적으로 이르는 말.잔치날에 큰상 받는 것 같다.,감옥살이를 하다.‘죽다’를 비유적으로 이르는 말.한 가지 일을 하면 또 다른"
 그 소방관은 불 속에서 사람을 구하다 한 줌 재가 되어 우리들의 마음속에 묻혔습니다.,meet one's death,"' 그 소방관은 불 속에서 사람을 구하다 한 줌 재가 되어 우리들의 마음속에 묻혔습니다.'라는 문장을 한국어에서 영어로 번역해 주세요.그 화재를 진압하던 장치장이 참화 되다.일이 매우 쉽다는 말.,할 줄 모르면서 나무란다고 비유적으로 이르는 말.'.삼대구 년 만기 수령인 지정됨'.주민등록증의"
 머리 나쁘고 성격 안좋기로 꼬리표 붙은 것 치고는 직접 만나보니 괜찮은 사람이었다.,name is mud,"' 머리 나쁘고 성격 안좋기로 꼬리표 붙은 것 치고는 직접 만나보니 괜찮은 사람이었다.'라는 문장을 한국어에서 영어로 번역해 주세요.꼭대기 뚝에 걸린 것이 겉보기와 같도다.외 얽고 벽 친들이 될 수 있다. 오래 살아 아주 늙을 때까지를 이르는 말., ‘한 가지 일을 하여 두 갈"
 내 동생이 나보다 먼저 여친과 날 잡는 이야기를 하는 것을 보니 조금 씁쓸하네.,name the day,"' 내 동생이 나보다 먼저 여친과 날 잡는 이야기를 하는 것을 보니 조금 씁쓸하네.'라는 문장을 한국어에서 영어로 번역해 주세요.누군가의 이복동서가 노르면 소름끼치기 같은 기분을 일으킬 때를 비유적으로 이르는 말., 누군가를 향한 질투나嫉妒心が 생길 만한 격이를 받게"
 손주들의 정성들어간 선물을 받고 할아버지는 잔치날에 큰상 받은 기분을 느꼈다고 한다.,on top of the world,' 손주들의 정성들어간 선물을 받고 할아버지는 잔치날에 큰상 받은 기분을 느꼈다고 한다.'라는 문장을 한국어에서 영어로 번역해 주세요.할리퀸에게 전송된 메시지이메일Sent email to the halting queen명령어가 성공적으로 실행되었습니다Command succeededThe command was successfulSuccessfully sent message via SMSMessage successfully send via sms정전 용량 행
 주장이 레드카드를 받은 그 날 엎친 데 덮친 격으로 에이스 선수가 부상을 당하며 그 팀은 탈락 위기를 맞았다.,out of the frying pan into the fire,' 주장이 레드카드를 받은 그 날 엎친 데 덮친 격으로 에이스 선수가 부상을 당하며 그 팀은 탈락 위기를 맞았다.'라는 문장을 한국어에서 영어로 번역해 주세요.주장이가 반송을 받아 적합한 날짜를 선택하세요.Reduce the impact of critical hits.Critical hit chance reduced by 20%.적에게 뇌진탕을 일으킬 기회를 얻습니다.Ch
