KR_Meaning,KR_Idiom,Found_KR_Idiom
 아주 하기 쉬운 일을 비유적으로 이르는 말.,겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다,"다음 뜻을 가진 관용구를 찾아보세요:'아주 하기 쉬운 일을 비유적으로 이르는 말.'.겉 보리 돈 사기가 수양딸로 며느리가 되지.''

한 가지 일로부터 다른 것이 생긴다는 것을 비유적으로 이르는 말.어떤 사람에게 나쁜 평가나 평판이 내려지고 넓은 의미에서 그 사람이 실패하거나 망하기까지의 과정이나 기간을 가르"
매우 가까운 거리를 비유적으로 이르는 말.,엎드러지면 코 닿을 데,"다음 뜻을 가진 관용구를 찾아보세요: '매우 가까운 거리를 비유적으로 이르는 말.'.엎드러지면 코 닿은 데.very close; almost touching.
'항복하거나 굴복하다.'에 해당하는 구는 무엇입니까?무릎 꿇기/to admit defeat or surrender.

주먹으로 물 찧기를 하여 우유와 가루가 분리되는 것을 비유ically admitting"
몹시 놀라거나 어이없어서 말을 못 하게 되다.,혀가 내둘리다,"다음 뜻을 가진 관용구를 찾아보세요: '몹시 놀라거나 어이없어서 말을 못 하게 되다.'.혀가 내둘리다.일이 매우 쉽다는 말.주먹으로 물 찧기.할 줄 모르면서 재료만 탓함을 비유적으로 이르는 말.'한 줌 재가 될 것 같다'.‘죽다’를비유적으로 이르러 사용되는 표현.,너무 급히"
대단히 기쁘고 흡족함을 비유적으로 이르는 말.,잔치날에 큰상 받는 기분,다음 뜻을 가진 관용구를 찾아보세요: '대단히 기쁘고 흡족함을 비유적으로 이르는 말.'.잔치날에 큰상 받는 기분.엎드러지면 코 닿은 데로 가까운 거리를비유적으로 이르고 싶어하는 마음 등을 가리킨 표현..입이 무릅쓸 만큼 놀라거나 어이가 오그라들다.‘무�
극도로 화가 나다.,화가 머리끝까지 나다,"다음 뜻을 가진 관용구를 찾아보세요: '극도로 화가 나다.'.화가 머리끝까지 나다.이 갈리로 물 찧기하다.한 가지 일을 하여 두가지 이상의 이익을 보게 됨을 비유적으로 이르는 말.,할 줄 모르면서 재료만 부르듯ी.일이가 났거나 불에 타고 심하게 꾸지람을 듣는 것을 비유적으로 이르는"
‘죽다’를 비유적으로 이르는 말.,한 줌 재가 되다,"다음 뜻을 가진 관용구를 찾아보세요: '‘죽다’를 비유적으로 이르는 말.'.한 줌 재가 되다. 아주 하기 쉬운 일을 비율어 일삼는 경우를 가리켜서 कहत습니다.뒤웅박 신고 얼음을 맞는다.몹시 꾸지람을 듣거나 벌을 받게 될 것을 경계하도록 격려하는 속말., ‘화가 치"
매우 놀랄 만한 것을 보거나 긴장하여 두 눈이 커지다.,두 눈이 꿀단지 같다,다음 뜻을 가진 관용구를 찾아보세요: '매우 놀랄 만한 것을 보거나 긴장하여 두 눈이 커지다.'.두 눈을 뜨고 죽다.일이 매우 쉽다는 말.'주먹으로 물 찧기'.가능성이 아주 Slim이다.‘죽다’를 비유적으로 이르는 말.’될 수 있는 대로’. 가능한 한 최대로. ‘극도로 화가 나다’를비유적으로 이
‘죽다’를 비유적으로 이르는 말.,한 줌 재가 되다,다음 뜻을 가진 관용구를 찾아보세요: '‘죽다’를 비유적으로 이르는 말.'.한 줌 재가 되고 싶지 않습니다I don't want to die.요즘은 사물을 이해하지 못함을 일러서 कहतropaesque understanding of the times). ‘도둑’이 될 수 있는 능력이나 조건을 갖추게 됨을 비유적으로 이르기 위해 사용되는 고속 인터넷
매우 오랜만에.,삼대 구 년 만에,"다음 뜻을 가진 관용구를 찾아보세요: '매우 오랜만에.'.삼대 구 년 만에.Samdae gu nyeon mane.Seldom seen in a lifetime.""Once in three years"" means ""very rarely"".三年一度의 행사 또는 기념일을 맞이하여 열린 전시회나 심포지엄 등 학술적·문화적으로 의미가 있는 모임을 개최하다.
한 가지 일을 하여 두 가지 이상의"
항복하거나 굴복하다.,무릎 꿇다,다음 뜻을 가진 관용구를 찾아보세요: '항복하거나 굴복하다.'.무릎 꿇기To admit defeat or surrender.
