Original_KR_Sentence,KR_to_EN_Translation,Label
"가족끼리 모여서 이야기할 때, 가까운 집 며느리일수록 흉이 많다는 말이 맞아. 매일 보다 보니 작은 단점들도 쉽게 눈에 띄네.","The closer you are to someone, the more you notice their flaws.",familiarity breeds contempt
시험 결과가 발표되기 전이라서 간이 졸아 밤잠을 설쳤다.,"To be extremely anxious or nervous, especially while waiting for the results of a test or exam.",shake in one's shoes
갑자기 나타난 고양이에 간이 오그라들었어.,to be frightened or intimidated by someone or something suddenly and unexpectedly,quake in _ boots
시험 결과를 기다리는 내내 간이 조마조마해서 일할 수가 없었다.,I was so nervous while waiting for the test results that I couldn't do anything.,on pins and needles
혼자서 어두운 길을 걸으니 간이 콩알만 해졌다.,It is very easy to lose one's sense of direction when walking alone in the dark.,quake in one's boots
그들은 거미 줄 따르듯 항상 함께 다니며 모든 일을 같이 해결하는 소중한 친구이다.,They are like two peas in a pod; they are always together and do everything together.,go hand in hand
우리 할머니는 검은 머리 파 뿌리 되도록 건강하게 사셨다.,Our grandmother lived a long and healthy life until her hair turned completely white.,to a ripe old age
"그 문제를 해결하기 위해 노력했지만, 결국 게 등에 소금 치기일 뿐이었다.","to make a lot of effort to solve a problem, but ultimately achieve nothing",wild goose chase
그는 고슴도치 외 따 지듯이 빚을 턱없이 많이 지고 있어 걱정이다.,He has borrowed a lot of money and is in a difficult financial situation.,in the hole
"그 친구가 다음 주에 태양 아래서 뛰어다닐 거라고 했는데, 그건 고양이가 알 낳을 노릇이다.",that will never happen; something that is highly unlikely to occur,a load of codswallop
그의 무례한 말에 골이 올라서 바로 반박하고 싶었다.,He was taken aback by his rudeness and wanted to retort immediately.,fit of anger
때론 귀한 자식에게 매 한 대 더 때리며 가르치는 것이 그 아이에게 진정한 사랑이라는 것을 잊지 말아야 해.,"Sometimes, the best way to show love and care for someone is to discipline them and teach them a lesson.",spare the rod and spoil the child
"그 프로젝트를 성공시키려면 금강산 상상봉에 물 밀어 배 띄워 평지 되거든, 불가능한 일이야.",It is impossible to succeed in that project.,when hell freezes over
"시험 때문에 너무 급히 공부하니까 급히 먹는 밥이 목이 멘다고, 잘 이해가 되지 않더라.",Studying too hard for an exam can lead to confusion and disorganization.,haste makes waste
"그 프로젝트는 기암절벽 천층석이 눈비 맞아 썩어지거든, 현실성이 없어서 도저히 성공할 것 같지 않아.",That project is doomed to fail; it's a fool's errand.,when hell freezes over
"좀 늦었다고 길 죄서 가니, 땀이 난다.","It's too late now, but if I had started earlier, I would have been successful.",leg it
그 기회는 너무 늦어서 꺼내 먹은 김치독이 되어버렸다.,The opportunity has passed and is now useless.,good for nothing
그는 항상 비정직한 일을 해왔기 때문에 이제는 꼬리표 붙는 게 불가피해 됐다.,"He has always been dishonest, so now he has to live with the consequences.",your name is mud
요즘 이 프로젝트는 너무 힘들어서 마치 꽃 없는 나비처럼 느껴진다.,This project is so difficult that it feels like a butterfly without flowers.,good for nothing
그는 프로젝트를 하면서 추가 수익을 올려 꿩 먹고 알 먹고 둥지 털어 불을 땄다.,He made a lot of money from the project by finding ways to charge extra fees.,get the best of both worlds
열심히 일하지 않는다면 나간 놈의 몫은 있어도 자는 놈의 몫은 없다는 걸 깨달아야 해.,"If you don't work hard, you'll be out of a job.","you snooze, you lose!"
우리는 다음 주에 결혼식 날을 잡기로 했다.,We have decided to get married next week.,name the day
그는 낮이고 밤이고 항상 운동을 하고 있다.,"He is always on the move, day and night.",every minute
그는 낮이나 밤이나 열심히 운동을 하여 건강을 유지하고 있다.,"He is always busy exercising, day and night, to maintain his health.",every minute
이번 프로젝트는 너 나 할 것 없이 모두가 참여해야 성공할 수 있다.,This project is a team effort; everyone has to pitch in for it to be successful.,all and sundry
이 문제는 누운 소 타기처럼 간단하니까 걱정하지 않아도 돼.,This problem is as easy as falling off a log.,a piece of cake
그녀가 내 친구를 괴롭히자 나는 눈에 불을 달고 면담을 요청했다.,I was so angry when I saw her bullying my friend that I wanted to confront her immediately.,blow one's top
그의 거짓말에 눈에 쌍심지가 나서 큰소리로 항의했다.,to express strong disapproval or outrage at someone's dishonest or deceitful behavior,blow one's top
그는 친구가 자신의 비밀을 누설하자 눈에 쌍심지를 켜고 크게 화를 냈다.,He was furious when his friend betrayed his trust by revealing his secret.,blow one's top
회의를 늦게 시작해서 팀 프로젝트는 늙은 소 흥정하듯 계속 질질 끌리고 있다.,The meeting is running late and the project is being dragged out like an old man haggling over a price.,drag your feet
그의 행복은 단 가마에 눈처럼 순식간에 사라져 버렸다.,His happiness was short-lived and disappeared quickly.,into thin air
열심히 준비한 프로젝트가 결국 실패하자 나는 마치 닭 쫓던 개 울타리 넘겨다보듯 허탈한 기분이 들었다.,"I felt a sense of disappointment and disillusionment, like a dog that had been chasing chickens all day, only to find that they were all locked up in a coop.",go down the pan
열심히 준비했던 발표가 예상치 못한 상황으로 망쳐져서 나는 닭 쫓던 개 지붕 쳐다보듯 됐다.,all one's hard work and preparation comes to nothing due to unforeseen circumstances,go down the pan
꾸준히 연습하는 것이 중요하다는 것을 알고 있어서 돌 뚫는 화살은 없어도 돌 파는 락수는 있다는 마음으로 매일 운동하고 있어.,"To emphasize the importance of consistent practice and preparation, the idiom means: to always be ready and prepared, even when there is no immediate need to do so.",slow and steady wins the race
시험 준비를 할 때는 될 수 있는 대로 많은 문제를 풀어보는 것이 좋다.,"To prepare for a test, it is a good idea to try to solve as many problems as possible.",to the nth degree
"어젯밤 영화를 보는데, 주인공이 위험한 상황에 처하자 두 눈이 꿀단지처럼 커졌다.",to be extremely scared or frightened,bug-eyed
