Original_EN_Sentence,EN_to_KR_Translation,Label
Asking for a week off right before the busiest season at work is a big ask.,"Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

Asking for a week off right before the busiest season at work is a big ask. I know the team is already short-staffed, and I don't want to leave them in the lurch. But I really need this break to recharge my batteries and come back to work refreshed and ready to tackle whatever challenges come my way. Can we discuss possible alternatives, like taking unpaid leave or working remotely for part of the week?",하늘의 별 따기
His opinion on the matter is worth a dime's worth to me; I’ve already made up my mind.,"Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

His opinion on the matter is worth a dime's worth to me; I’ve already made up my mind.",아홉 마리 소에 터럭 하나
"She won the race by a hair's breadth, crossing the finish line just milliseconds ahead of her competitor.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

She won the race by a hair's breadth, crossing the finish line just milliseconds ahead of her competitor. The crowd erupted into cheers as she raised her arms in triumph, basking in the adoration of the fans who had been cheering her on throughout the competition. Her victory was a testament to her hard work and dedication, and she knew that this was just the beginning of an incredible journey that would take her to even greater heights.",엎드러지면 코 닿을 데
"His excuse for being late was a load of codswallop, and everyone could see right through it.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

His excuse for being late was a load of codswallop, and everyone could see right through it. He claimed he was stuck in traffic, but the truth was he overslept and didn't even bother to set his alarm clock. Now he's facing disciplinary action for his lack of responsibility and accountability.",고양이가 알 낳을 노릇이다
"The financial crisis was a perfect storm of poor investments, high debt levels, and plummeting market confidence.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

The financial crisis was a perfect storm of poor investments, high debt levels, and plummeting market confidence. Banks and other financial institutions were caught off guard by the sudden collapse of the housing market, which had been fueled by lax lending standards and excessive speculation. As the crisis deepened, governments around the world scrambled to respond, implementing emergency measures to stabilize the financial system and prevent a complete meltdown. Despite these efforts, the damage had already been done, leaving behind a trail of bankrupt",피겨죽에 강도
The math test was a piece of cake; I finished it in just fifteen minutes!,"Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

The math test was a piece of cake; I finished it in just fifteen minutes! I was so proud of myself for acing it, and I couldn't wait to share the news with my friends and family. I decided to treat myself to a celebratory dinner at my favorite restaurant, where I indulged in a decadent chocolate cake and a glass of fine wine. It was the perfect way to cap off an already amazing day!

Ensure any Korean sentence is translated to English",겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다
That vintage guitar for just fifty dollars was a steal!,"Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

That vintage guitar for just fifty dollars was a steal! It was in pristine condition, with only a few minor scratches on the finish. I couldn't believe my luck when I stumbled upon it at the local thrift store. The owner, an elderly woman with a kind smile, told me she had inherited it from her late husband, who had been a professional musician in his youth. As I carefully examined the instrument, I could almost hear the echoes of his melodies resonating through the",값싼 갈치자반 
"The park is just a stone's throw from my apartment, making it easy to visit whenever I want.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

The park is just a stone's throw from my apartment, making it easy to visit whenever I want. It's a great place to relax and unwind after a long day of work, and I always feel rejuvenated after spending some time there. The scenery is beautiful, with lush greenery and vibrant flowers everywhere you look. There are also plenty of walking trails to explore, so you can get some exercise while taking in the sights and sounds of nature. Overall, I highly recommend",엎드러지면 코 닿을 데
"I tried using that old printer, but it was about as useful as a chocolate teapot.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

I tried using that old printer, but it was about as useful as a chocolate teapot. It kept jamming, and the ink cartridges were as dry as the Sahara desert. I ended up having to buy a new one, which cost me an arm and a leg. Now I'm stuck with a printer that's faster than a cheetah on Red Bull.",시거든 떫지나 말고 얽거든 검지나 말지
"After she moved away, he was left with an aching heart as he missed her every single day.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

After she moved away, he was left with an aching heart as he missed her every single day. He tried to fill the void by focusing on his work and spending time with his friends, but nothing seemed to ease the pain of losing her. As the days turned into weeks, and the weeks into months, his longing for her only grew stronger, making him wonder if he would ever find his way back to happiness without her by his side.",코허리가 저리고 시다
His careless remarks only added fuel to the fire during the heated argument between the two friends.,"Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

His careless remarks only added fuel to the fire during the heated argument between the two friends. The tension between them was palpable, and it was clear that their friendship was on the brink of collapse. Despite their best efforts, they were unable to resolve their differences and ended up parting ways for good.",울려는 아이 뺨 치기
