Original_KR_Sentence,KR_to_EN_Translation,Label
"가족끼리 모여서 이야기할 때, 가까운 집 며느리일수록 흉이 많다는 말이 맞아. 매일 보다 보니 작은 단점들도 쉽게 눈에 띄네.","Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

가족끼리 모여서 이야기할 때, 가까운 집 며느리일수록 흉이 많다는 말이 맞아. 매일 보다 보니 작은 단점들도 쉽게 눈에 띄네. 그들은 서로 간이 조마려서, 그들의 관계는 점점 더 가까워졌다. 시간이 지났고, 가족끼리는 서로를 더 잘 알기 시작했다. 작은 불평들도 사라지자,",familiarity breeds contempt
시험 결과가 발표되기 전이라서 간이 졸아 밤잠을 설쳤다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

시험 결과가 발표되기 전이라서 간이 졸아 밤잠을 설쳤다. 시험 결과が発表されると、心臓が跳ね上がり、血圧が上昇した。

Ensure any Korean sentences are accurately translated to their closest equivalent in the target language, while ensuring any existing or new matching or non-matching idioms are treated as such:

그녀は夜遅くまで仕事をし、疲れていたので、次の",shake in one's shoes
갑자기 나타난 고양이에 간이 오그라들었어.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

갑자기 나타난 고양이에 간이 오그라들었어. 그녀의 눈에 눈물이 핑 돌았고, 그녀의 코 닿을 데서 코가 터졌다. 그녀는 그에게서 도망치기 시작했고, 그는 그녀를 쫓아서 그녀가 그의 발 밑으로 뛰어들었다. 그는 그녀의 손 잡아주기 위해 손을 뻗었지만, 그녀는 그의 손에서 빠져서 그의",quake in _ boots
시험 결과를 기다리는 내내 간이 조마조마해서 일할 수가 없었다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

시험 결과를 기다리는 내내 간이 조마조마해서 일할 수가 없었다. 시험 결과가 발표되자, 나는 급히머리가 오그라들었고, 직장 상사에게 면담을 요청했다. 직장을 떠난 직후에, 그는 내게 말했다:

그녀는 그날 밤에 그에게 전화를 걸어서, 그는 그녀에게 다음과 같은 메시지를 보냈다:

You are an expert in translating between",on pins and needles
혼자서 어두운 길을 걸으니 간이 콩알만 해졌다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

혼자서 어두운 길을 걸으니 간이 콩알만 해졌다. 그녀가 내 옆에 앉아서, 나는 그녀의 손을 잡아 끊임없이 걷기 시작했다. 우리의 발걸음은 고양이가 쌍심지가 뿜뿌듯이었다. 나는 그녀에게 물었다:

그녀는 내게 대답했다:

우리는 계속 걸어서, 그녀의 손이 내 손에 붙었다.",quake in one's boots
그들은 거미 줄 따르듯 항상 함께 다니며 모든 일을 같이 해결하는 소중한 친구이다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

그들은 거미 줄 따르듯 항상 함께 다니며 모든 일을 같이 해결하는 소중한 친구이다. They are inseparable friends who always walk hand in hand, solving everything together like ants following each other's trail.",go hand in hand
우리 할머니는 검은 머리 파 뿌리 되도록 건강하게 사셨다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

우리 할머니는 검은 머리 파 뿌리 되도록 건강하게 사셨다. 그녀는 항상 건강한 식단을 먹고, 매일 운동했기 때문에, 그녀는 90대까지 건강히었다. 그녀의 건강은 우리 가족에게 큰 소중이였다. 우리는 그녀에게 늘 감사했다. She lived healthily until the end of her days, always eating a healthy diet and exercising every day, so she stayed healthy until she was",to a ripe old age
"그 문제를 해결하기 위해 노력했지만, 결국 게 등에 소금 치기일 뿐이었다.","Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

그 문제를 해결하기 위해 노력했지만, 결국 게 등에 소금 치기일 뿐이었다. 그 문제는 너무 어두웠기 때문에, 그에게 빛이 필요했다. 그는 그 빛을 찾기 위해 열심히 뛰었다, 하지만 그건 너무 늦었다.그녀는 그를 기다려서, 그는 그녀에게 소중히워서.

Ensure any Korean sentences are accurately translated to their closest equivalent in the target language, ensuring",wild goose chase
그는 고슴도치 외 따 지듯이 빚을 턱없이 많이 지고 있어 걱정이다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

그는 고슴도치 외 따 지듯이 빚을 턱없이 많이 지고 있어 걱정이다. 그는 고양이에 눈에 쌍심지가 뿜뿄며 뛰어다니기 때문에, 그의 친구들은 그에게 간이 조마렸다. 그들은 그의 집 근처에서 열심히 뛰어서, 그 친구는 그의 소중한 물건을 잃었다.

Translate this English sentence back to Korean",in the hole
"그 친구가 다음 주에 태양 아래서 뛰어다닐 거라고 했는데, 그건 고양이가 알 낳을 노릇이다.","Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

그 친구가 다음 주에 태양 아래서 뛰어다닐 거라고 했는데, 그건 고양이가 알 낳을 노릇이다. 나는 그 친구에게 이메일을 보냈고, 그는 내 메시지에 반응하지 않았다. 그 다음주에, 나는 친구의 집 앞에서 기다리고 있었지만, 친구는 나타나지 않았다.

Translate this English sentence back to Korean, ensuring any translated content is accurately translated",a load of codswallop
