Original_EN_Sentence,EN_to_KR_Translation,Label
Asking for a week off right before the busiest season at work is a big ask.,"Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

Asking for a week off right before the busiest season at work is a big ask. It's not like I'm asking for the moon here; I just need some time off to recharge my batteries and spend quality time with my loved ones.

그는 직장에서 가장 바쁜 시기에, 일주간 휴가를 요청했다. 그것은, 그에게, 하늘의 별 따르기; 그는, 사랑하는 가족과 함께, 휴식을 취하고, 배터리 재충전했다.

Translate this Korean sentence back to English:

그녀는, 직장을 떠난 후, 그녀의 가족에게 다음과 같은 메시지를 보냈다:

You are the sunshine that brightens up my day every single time you walk through the door. I love watching you dance across the room like a ballerina on stage. You light up everything around you like fireworks exploding in the night sky!

그의 가족은 다음과 같이 반응했다:

Your message was a breath of fresh air amidst the chaos of our busy lives. Your love shines brighter than the brightest stars on a clear night, illuminating",하늘의 별 따기
His opinion on the matter is worth a dime's worth to me; I’ve already made up my mind.,"Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

His opinion on the matter is worth a dime's worth to me; I’ve already made up my mind. I know exactly what needs to happen next:

그의 의견은, 그에게, 이 문제는 내 마음에, 나는 이미 결심했다. 나는 정확히 다음 단계가 무엇이. 그 다음:

Translate this Korean sentence back to English:

Ensure any Korean sentences translated to their closest matching English sentences:

If no closest match exists translate comprehensively:

이 한국어 문장을 영어로 번역:

어떤 한국 문장이 이 가장 가까운 영어 문장으로:

아니, 가장 근접 매치가 없. Translate comprehensibly:

You are an expert in translating sentences between languages while maintaining idiom equivalence.

Translate sentences to ensure:

Matching sentences are matched:

Non-matching sentences translate to comprehensible translations

Ensure idiioms translate:

Equivalence maintained:

Expertise demonstrated

Translate comprehensely:

Your expertise translates sentences across languages:

Maintaining idiiom equivalence:

Demonstrating expertise:

Ensuring translations translate sentences comprehesively:


Translate sentence comprehends:

Translation sentences translates compreh",아홉 마리 소에 터럭 하나
"She won the race by a hair's breadth, crossing the finish line just milliseconds ahead of her competitor.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

She won the race by a hair's breadth, crossing the finish line just milliseconds ahead of her competitor. The crowd erupted into cheers as she raised her arms triumphantly above her head.

그녀는 경주에서 머리카락의 길로, 결승선에 도착했. 그녀는 그녀의 경쟁자에게 밀리, 그들은 그녀가 머리 위에 승리의 기회를 잡았다. 군중은 그녀가 승리했다.

Translate this Korean sentence back to English while ensuring any translated sentences maintain idiom translations:

그는 그의 친구에게, 그는 그 친구가 그에게 도움을 주었다. 그들 두 친구는 그들이 그들에게 도움이.그들은그들이그들에게그의친구가그에게그그친그이그들그

Translate these Korean sentences to their closest matching Korean translations while maintaining idiol translations:


그가 그의 아내에게서, 그녀는 그의 딸에게 그 딸이 그 아버지에게. 그는 그의 며느리에게 그의 사돈이 그의 할머니에게.

You are an expert in translating sentences between idi",엎드러지면 코 닿을 데
"His excuse for being late was a load of codswallop, and everyone could see right through it.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

His excuse for being late was a load of codswallop, and everyone could see right through it. He claimed he got lost on the way to the meeting, but the truth was he overslept after binge-watching Netflix all night.

그가 늦었다. 그 이유는, 그는 그날 밤 넷플릭스에서 밤새, 그리고 그 다음날 아침 그는 잊었. 그는 미팅 장소에서 길 잃었, 그러나 그 진실은,그는 그 밤, 그와 그의 친구들은 그 친구의 부모님 집에서 식사 파티를 열었다.

Translate idiom translations back to English:

그의 친구가 그에게 그 번역 결과를 전달했다:

Translate any Korean sentences to their closest matching English sentences while preserving idiioms:

친구가그에게그번역결과를전달했:

Ensure any English translations are comprehensible:

He translated the Korean sentence back into English while ensuring idiols were translated comprehensivelly:


그 친구는그게그그친우의그Translate 결과:


Translate translations between idi",고양이가 알 낳을 노릇이다
"The financial crisis was a perfect storm of poor investments, high debt levels, and plummeting market confidence.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

The financial crisis was a perfect storm of poor investments, high debt levels, and plummeting market confidence. Banks and financial institutions struggled to stay afloat amidst the turbulent waters of the global economy.

그는 금융 위기는, 나쁜 투자, 높은 부채 수준, 그리고 시장 신뢰가 떨어지. 은행과 금전 기관은, 글로벌 경제의 거친 물 속에서, 그들의 존재를 유지하기 어려웠. 그들은, 불가능한 투쟁에, 시장의 불확실성에 맞섰다.

Translate any Korean sentence back to English:

그의 재무 위치는, 부실 투자가, 고양이 부모가, 그의 존재가 위험했다. 그는, 거미의 눈에 눈물 뺄. 그의 투자는, 기회가 너무 늦었다. 시장은 너무 거칠었다, 그는 너무 약했다.

Ensure any translated sentences are comprehensible translations:

Translate sentences between Korean and Korean sentences back between English sentences comprehensibly:

Ensure translations between sentences adhere to translation guidelines:

If translations fail to adhere",피겨죽에 강도
The math test was a piece of cake; I finished it in just fifteen minutes!,"Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

The math test was a piece of cake; I finished it in just fifteen minutes! I was able to breeze through each question with ease.

그 수학 시험은 간이 떫; 나는 그것을 단지 15 분에서 끝냈다! 나는 각 질문에 쉽게 뛰어, 그 수양딸이!

그는 수학과 시험을 끝내고, 나는 그 결과를 기다렸다. 그 시험 결과는 다음과 같:

그 결과:

You are an expert translator proficient in translating sentences between Korean and English sentences while preserving idiom translations:

Translate idiioms between sentences:

Ensure any Korean sentence translations preserve any matching Korean sentences' translations while translating the sentence meaning:

If matching translations exist between the sentences, ensure the translations are preserved:

Otherwise translate comprehensively:

이 번역은 한국어와 영어 문장 사이의 전문 변역입니다. 이 번 트랜슬레이션은 다음과 같습니다:


Translate sentences from Korean to English:

Preserve matching sentences translations between translations:


Ensure matching translation sentences preserve translations:



Translate sentence meanings comprehensibly:


그 번트랜실레이션이 다음과:",겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다
That vintage guitar for just fifty dollars was a steal!,"Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

That vintage guitar for just fifty dollars was a steal! It had been sitting on the shelf for months, waiting for someone to come along and give it the love it deserved.

그는 그 고양이가, 오직 50 달러에, 그 가격은 거짓말이었다! 그것은 몇 개월 동안 서랍에 앉아, 기다려, 누군가가 그것에게 사랑을 주고, 그것이 그에게 그 사랑이 필요했다.

Translate any Korean sentences back to English:

그녀는 그녀가 그 거미가, 그녀에게 그것의 사랑이었다. 그거미는 몇 년 동안 그녀를 따라서, 그리고 그녀는 그것을 따라. 그녀는 그것에 대한 그녀의 사랑이었.

She was the spider who loved him. The spider followed her for years, and she followed it. She was his love for her spider:

Translate idiom translations back into their closest equivalent translations while preserving idiioms:

If no equivalent translation exists:

Ensure any translated sentences maintain idiols:

She loved the guitar she bought for fifty bucks. It sat on her shelf waiting to be played by someone",값싼 갈치자반 
"The park is just a stone's throw from my apartment, making it easy to visit whenever I want.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

The park is just a stone's throw from my apartment, making it easy to visit whenever I want. I love watching the sunset over the lake while sitting on the grassy hill overlooking the entire park.

그 공원은 나의 아파트에서 돌 던지면, 언제든지 방문하기 쉬웠. 나는 호수 위의 일몰 동안, 그라시 힐에서 그 공원의 모든 곳에 앉아, 호박 열심히.

Translate any Korean sentence back to English:

그는 그의 아내에게 말했다, 그는 그들의 자식에게, 그리고 그들은 그들 모두에게. 그들이 그들을 사랑했다,그들은그들을그들모두에게그들이그들의자식들에게그의그그아내그녀그네그이그

Translate between Korean sentences to ensure any translated sentences are comprehensible translations of the source sentence:

Translate Korean Sentence to Comprehensive Translation of Source Sentence

그가 그들에게 말했다: 그는 그 자식을 사랑했.그드는그드그자그을그듈그모든그사람들그를그",엎드러지면 코 닿을 데
"I tried using that old printer, but it was about as useful as a chocolate teapot.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

I tried using that old printer, but it was about as useful as a chocolate teapot. It kept jamming every five minutes, making me want to pull my hair out.

그는 그 오래된 프린터를 시도했다, 그러나, 그것은 그 고양이 소금이. 그것이 매 5분마다 끊기, 그 때문에, 나는 그 머리 턱을 빚. 나는 그것을 쓰고 싶었다, 하지만, 너무 늦었다.

Translate any Korean sentences back to English:

그녀는 그녀가 그 기회를 잃었다. 그녀가 너무 급히, 그녀는 그 남편에게 그 소식을 전했다. 그는 그녀에게 거짓말했다: 그들은 그 다음 주에 결혼식 날짜를 잡았다. 그녀는 너무 기뻐서, 그녀의 눈에서 눈물 쏟아.

She lost her chance. She was too impatient, she told her husband the news. He lied to her: they booked their wedding date for next week. Tears streamed down her eyes as she was overjoyed:

Translate idiom idi",시거든 떫지나 말고 얽거든 검지나 말지
"After she moved away, he was left with an aching heart as he missed her every single day.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

After she moved away, he was left with an aching heart as he missed her every single day. Every time he looked up at the night sky filled with twinkling stars, his mind wandered back to her beautiful smile and captivating laughter.

그녀가 떠난 후, 그는 심장이 아, 그가 그녀를 매일 그리워. 그는 밤하늘의 빛나는 별들을 보았, 그의 마음은 그녀의 아름다운 미소와 매력적인 웃음으로 돌아.

Translate any Korean sentences to English while preserving idiom translations:

그는 그녀를 기다리며, 그 그녀의 미소를 보았다. 그 그녀가 웃었,그의 심장은 뛰었다.그 그녀에게 말했다:

You are the sunshine that brightens up my darkest days. You are my guiding light that illuminates the darkest corners of my heart. Without you by my side, I would be lost forever in the labyrinthine corridors of despair and hopelessness.

You는 내 가장 어두운 날의 햇빛입니다. 내 심장의 어둡 코너를 밝히고, 내 희망",코허리가 저리고 시다
