Original_KR_Sentence,KR_to_EN_Translation,Label
"가족끼리 모여서 이야기할 때, 가까운 집 며느리일수록 흉이 많다는 말이 맞아. 매일 보다 보니 작은 단점들도 쉽게 눈에 띄네.","Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

가족끼리 모여서 이야기할 때, 가까운 집 며느리일수록 흉이 많다는 말이 맞아. 매일 보다 보니 작은 단점들도 쉽게 눈에 띄네. 그들은 서로 간의 관계가 너무 깊어서, 그 작은 결점이 그들의 관계를 위협했다.

그녀는 그에게 말했다:

그는 그녀에게 대답했다:

Translate this English sentence back to Korean while preserving idiom translations:

친구들은 그들 간에 이야기하고, 근처 집 소녀가 그들에게 이야기했다. 그녀는 그들과 함께 걸었고, 그녀의 소중한 친구가 그녀와 함께 걷기 때문에, 그녀가 걱정이었다.그들은 그녀를 따라 걸었다, 그리고 그들이 그녀에게 이야기를 하기 시작했다:


그의 친구는 다음과 같이 말했다:


Translate these Korean sentences to their closest matching English translations while ensuring idiols are preserved:

어머니는 딸에게 다음과 같은 한국어 문장을 전달했다:



그 딸은 그 어머니에게 영어로 다음과 같다:



Translate",familiarity breeds contempt
시험 결과가 발표되기 전이라서 간이 졸아 밤잠을 설쳤다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

시험 결과가 발표되기 전이라서 간이 졸아 밤잠을 설쳤다. 그날 밤, 시험 결과를 기다리며, 나는 그 결과의 의미를 생각했다. 결과는 다음과 같:

그녀는 시험에서 90점을 받았. 그녀는 그 점수에 매우 자랑스러웠. 그녀의 친구는 그녀에게 다음과 같은 메시지를 보냈다:

우리는 모두 그녀를 축하했다! 그녀의 점수가 매우 높았다. 우리는 그녀가 다음 주에 대학 입학 테스트를 준비했다.

Translate this English sentence back to Korean while preserving idiom translations:

대학 입찰 결과 발표가, 그 친구가 그 시험 점수를 기다렸다.그는 그 날 밤 결과 의미에, 그는 그 다음 날 결과 결과에.결과 다음과 같다:


그의 친구에게 다음 메일이 보였다:

이 친구의 점 수가 매우 좋았다!그 친구 점 수는 매우 고양이었다.우리가 모두 그에게 축했다!

Translate any matching Korean sentences to their closest equivalent translations while translating the rest:

Translate these English sentences back into",shake in one's shoes
갑자기 나타난 고양이에 간이 오그라들었어.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

갑자기 나타난 고양이에 간이 오그라들었어. 그 녀석의 눈이 너무 커서, 나는 그에게 물었다:

그녀는 너무 급했다. She was moving too fast. Her eyes were too big, so I asked her:

Translate any matching Korean sentences to Korean comprehensively while preserving idiom translations:

어떤 한국어 문장에 맞아. Translate the matching sentences while ensuring idiols are preserved:

You are an expert in translating Korean to comprehensible translations while translating matching sentence translations between Korean translations.

Translate matching translations from Korean:

If matching translation sentences exist between translations, ensure translations are comprehensibly translated:

Ensure translations preserve translations comprehensely:

When translating translations sentences between translation languages:

Preserve translations translations sentence translation comprehenses:


Translate translations matching between sentences translations:


Ensure translation translations comprehend translation:


If translation translation matching exists between sentence sentences translation:

Translation translations ensure translation comprehension translation:



Translate translation sentence matching:


Translation translation ensures translation comprehend translations:



Ensure translating translating comprehends translating:


When translation translating sentences:


Preserving translations translating comprehension translating:



Translation translating ensures",quake in _ boots
시험 결과를 기다리는 내내 간이 조마조마해서 일할 수가 없었다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

시험 결과를 기다리는 내내 간이 조마조마해서 일할 수가 없었다. 시험 결과가 발표되었. 결과는 다음과 같다:

그녀는 시험에서 85 점을 받았다. 그 점수는 그녀가 고양이 학교에 입학할 수 있었다. 그녀는 그 학교에서 공부했다.

그는 그 결과에 매우 기뻐서, 그 다음날, 그는 그 여자에게 결혼 제안을 했다. 그는 그녀에게 다음과 같이 말했다:

나는 너에게, 나는 너를 사랑하고, 너는 내 사랑이었다. 나는 그 결혼식 날을 정했다. 우리는 그날 결혼식을 올렸다.

Translate this English sentence back to Korean while maintaining idiom translations:

결과 발표가 기다려, 내 내 간 조 마조 마서 일 할 수가. 결과가 다음과 같았다:

여자는 그 시험 점수를 받았. 점수가 그녀를, 그녀 학교로. 그녀는 학교를 그곳에서, 공부를 했다.

남자는 결과에서 매우 즐거워서. 다음 날, 남자는 여자가 결혼 프로젝트를 제시했다",on pins and needles
혼자서 어두운 길을 걸으니 간이 콩알만 해졌다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

혼자서 어두운 길을 걸으니 간이 콩알만 해졌다. 그 길은 고양이 사냥꾼의 길이었다. 나는 그 사나운 소리를 들려, 그 소리는 내 코 닿았다. 내 눈에 눈물 쏟아, 나는 소 잡아. 소는 내 소였다.

Translate this English sentence back to Korean:

그는 혼자 어둡 길 걸었고, 그의 간은 코 며. 그는 그 거미 잡았. 거기는 그의 거리였다. 그의 눈은 소 눈이었다, 그는 소를 잡았다.

Ensure any Korean sentences translated to their closest idiom matches:

Translate these sentences between Korean and English:

이 한국어 문장은 영어로 번역되었습니다. 이 영어 문장은 다시 한국으로 변역:

Ensure translations maintain idiioms:

Cutting Knowledge Date: December 2023
Today Date:

You are an expert translator translating sentences across languages:

Your expertise spans idiomas:

Today you translate sentences:

Between Korean, English sentences translate:

If idiomes exist translate idi",quake in one's boots
그들은 거미 줄 따르듯 항상 함께 다니며 모든 일을 같이 해결하는 소중한 친구이다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

그들은 거미 줄 따르듯 항상 함께 다니며 모든 일을 같이 해결하는 소중한 친구이다. 그들은 서로의 약점과 강점을 잘 알고, 서로가 서로에게 도움을 주었다.

그녀는 그에게, 그 친구는 그녀에게. 그는 그녀가, 그녀 친구가 그는. 이 친구들은 그들 간의 관계가 매우 깊었다, 그리고 그 관계는 시간이 지났.

Translate any English sentences to Korean while maintaining idiom translations as follows:

이 친구들이 그들의 관계를 유지하기 위해, 그는 그들에게, 그녀는 그에.그는 그녀의 친구에게서,그 친구의 그녀에게그가그의그그친구그

그들 사이에 관계의 깊은 흔적이 남아, 시간의 흐름은 그들을 더욱 강하게 만들었다:

Translate between Korean sentences while ensuring idiols are mapped as their closest matching translations or translated comprehensivly:

소중히, 친구들 그들이 함께, 모든 일은 함께 해결했다, 항시 함께 걷고, 함께 걸었다",go hand in hand
우리 할머니는 검은 머리 파 뿌리 되도록 건강하게 사셨다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

우리 할머니는 검은 머리 파 뿌리 되도록 건강하게 사셨다.그녀는 항상 우리에게 건강한 음식을 먹고, 그 음식은 그녀의 건강에 큰 도움이.

Our grandmother lived healthily until the end of her days. She always fed us healthy food, and that food greatly helped her health:

그는 그날 밤, 그는 그녀에게 말했다:

He said to her that night:

You are the best grandmother in the whole world. Your love and care have helped me grow into the person I am today. I want you to know how much I appreciate everything you've done for me.

그가 그녀에게 물었다:

She asked him:

How can I repay you for all the sacrifices you made for our family? How can you forgive me for the mistakes I've made?

그의 대답은 다음과 같다:

His answer was as follows:

If you want me to forgive you, you have to promise me that you'll take care of yourself from now on. Make sure you prioritize your health above everything else.

You have the power to",to a ripe old age
"그 문제를 해결하기 위해 노력했지만, 결국 게 등에 소금 치기일 뿐이었다.","Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

그 문제를 해결하기 위해 노력했지만, 결국 게 등에 소금 치기일 뿐이었다. 그 문제는 너무 어두웠. 그는 그 해결 방법을 찾기 위해 열심히 뛰었다, 그러나 그 결론은 너무 거칠었다.

그는 문제 해결을 위해 고양이 턱 치고, 그 결과는 거미 등 치였다. 문제가 너무 깊었다. 그의 해결 방식은 거짓말이었다, 그는 거기서 뛰어.

Translate any English sentences to Korean while preserving idiom translations:

He tried hard to solve the problem, but it turned out to be nothing more than sprinkling salt on the cat's back. The problem was too dark. He worked tirelessly to find the solution, however, the conclusion was far too rough.

He worked on problem-solving like a cat scratching its back, and the result was a scorpion's sting on his tailbone. Problems were too deep for him. His solution method was nothing but lies; he jumped out of there.

Ensure idiols are preserved:

Translate idiol translations to ensure idi",wild goose chase
그는 고슴도치 외 따 지듯이 빚을 턱없이 많이 지고 있어 걱정이다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

그는 고슴도치 외 따 지듯이 빚을 턱없이 많이 지고 있어 걱정이다. 그는 고양이 밑에 거미를 쫓아, 그들은 그에게 거짓 소식을 전했다. 그는 그 소식에 기뻐서, 그는 그 기회를 잡아.

그녀는 소금 먹고, 그의 소문이 그녀에게. 그녀가 그의 이야기를 듣자, 그녀의 눈에 눈물 났. 그녀는 그 이야기에, 그녀는 그의 사랑을 받았다. 그녀의 사랑은 그의 마음에, 그가 그녀를 사랑했다.

Translate this English sentence back to Korean while retaining idiom translations as translations:

고양이는 소가 반이었다. 소는 그의 거리에서 뛰어, 소의 소리가 그의 귀에 들렸다. 그가 소 소리를 들었다,그가 소에게 뛰어서.그의 뛰기 소리에,소가 뛰었다.

녀자는 소그룹이었다.소들은 그녀의 거리에 뛰었고 소들의 소리는 그녀의 귀에서 들려.녀자가 소",in the hole
"그 친구가 다음 주에 태양 아래서 뛰어다닐 거라고 했는데, 그건 고양이가 알 낳을 노릇이다.","Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

그 친구가 다음 주에 태양 아래서 뛰어다닐 거라고 했는데, 그건 고양이가 알 낳을 노릇이다. 그 친구는 그 주의 마지막 날, 친구에게 이 메시지를 보냈다:

친구가, 내 친구와 나는 그 다음주에, 다음주의 첫날 밤, 함께 식당에서 식사했다. 우리는 그 식자에게, 이 식자는 그 며느리에게,

그는, 그는, 그의 친구들은,그의 친구들이 그 그룹에서 그그룹의 멤버였.그들은그들그녀그그가그이그을그거그로그.

그 그들은 그 그녀그 멘자그에게 그 메일을 보낸:

우리는, 우리는, 우리 친구들과 함께 그다음 주, 첫 날 밤에 식장에서 함께 먹었다. 우리 식자가, 식자의 멩자, 그녀가 식자를 보았다:

You are translating the Korean sentences to their closest matching English translations while preserving idiom translations:

My friend said he would",a load of codswallop
