Original_EN_Sentence,EN_to_KR_Translation,Label
Asking for a week off right before the busiest season at work is a big ask.,직장에서 가장 바쁠 때에 일주일간의 휴가를 요구하는 것은 매우 큰 요구입니다.,하늘의 별 따기
His opinion on the matter is worth a dime's worth to me; I’ve already made up my mind.,그 사람의 의견은 한 푼도 안 가요; 이미 마음이 정해졌으니까.,아홉 마리 소에 터럭 하나
"She won the race by a hair's breadth, crossing the finish line just milliseconds ahead of her competitor.",1 밀리초 차이로 우승을 차지했다.,엎드러지면 코 닿을 데
"His excuse for being late was a load of codswallop, and everyone could see right through it.","늦게 온 그의 핑계는 전혀 믿을 수 없는 것이었고, 모두가 그 사실을 잘 알고 있었다.",고양이가 알 낳을 노릇이다
"The financial crisis was a perfect storm of poor investments, high debt levels, and plummeting market confidence.","금융 위기는 잘못된 투자와 높은 부채 수준, 그리고 시장의 신뢰가 급격히 떨어짐을 비유적으로 이르는 말.",피겨죽에 강도
The math test was a piece of cake; I finished it in just fifteen minutes!,수학 시험은 매우 쉬웠다. 15분 만에 끝냈다.,겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다
That vintage guitar for just fifty dollars was a steal!,50달러에 구입한 그 오래된 기타는 대단히 저렴한 가격이었다.,값싼 갈치자반 
"The park is just a stone's throw from my apartment, making it easy to visit whenever I want.",근처에 공원이 있어 언제나 쉽게 방문할 수 있다는 말.,엎드러지면 코 닿을 데
"I tried using that old printer, but it was about as useful as a chocolate teapot.","그 오래된 프린터를 사용하려고 시도했지만, 그만큼 쓸모가 없음을 비유적으로 이르는 말.",시거든 떫지나 말고 얽거든 검지나 말지
"After she moved away, he was left with an aching heart as he missed her every single day.",그녀가 떠난 후 그는 매일매일 그녀를 그리워하며 가슴이 아팠다.,코허리가 저리고 시다
His careless remarks only added fuel to the fire during the heated argument between the two friends.,"두 친구 사이에 뜨거운 논쟁이 벌어지던 때에, 그는 무심코 한 말만 하여도 불길한 영향을 끼친다는 것을 비유적으로 이르는 말.",울려는 아이 뺨 치기
"The invitation was sent to all and sundry, ensuring that no one was left out of the celebration.",모든 사람에게 초대장을 보냈기 때문에 누구도 축하에 참여하지 못하게 됨을 비유적으로 이르는 말.,너 나 할 것 없이
"When she said she had news about the promotion, I was all ears.",그녀가 승진에 대한 소식을 알려주겠다고 하자 나는 귀를 기울였다.,눈과 귀가 쏠리다
"I double-checked my packing, and now I’m all set for our trip tomorrow.",내 짐을 꼼꼼히 챙기고 나니 내일 떠나는 여행 준비는 다 끝났다는 말.,신들메를 조이다
Her constant lateness to work was just another nail in her coffin when it came to keeping her job.,일찍 오르지 않는 그녀의 습관은 그녀가 일자리를 잃게 된 또 다른 이유가 됨을 비유적으로 이르는 말.,엎친 데 덮치다
"The kids had ants in their pants during the long car ride, constantly asking, ""Are we there yet?""",아이들은 긴 차량여행 중에 항상 '이제 곧 도착할까요?'이라는 질문을 반복적으로 함을 이르는 말.,불알 밑이 근질근질하다
The team worked around the clock to meet the project deadline.,프로젝트 마감일을 맞추기 위하여 팀은 하루도 쉬지 않고 일했다.,사돈 밤 바래기
The math test was as easy as pie; I finished it in just fifteen minutes.,수학 시험은 매우 쉬웠다. 15분 만에 끝냈다.,주먹으로 물 찧기
"After receiving the good news about her promotion, she was as happy as a clam.",그녀가 승진 소식을 듣고 매우 기쁘게 됨을 비유적으로 이르는 말.,잔치날에 큰상 받는 기분
"When she told me the news, I was completely at a loss for words.","그녀가 그 소식을 알려주었을 때, 나는 말도 못 하게 됨을 이르는 말.",혀가 내둘리다
"During the lecture, I could tell she was away with the fairies, completely oblivious to what the professor was saying.",강의를 듣고 있으면서도 아무런 관심도 없는 사람을 비유적으로 이르는 말.,소 잡아먹을 궁리하듯 한다
"She waited with bated breath for the results of the audition, hoping to hear good news.",오래 기다리던 결과가 나올 때를 기다리는 사람의 긴장된 마음을 비유적으로 이르는 말.,간이 조마조마하다
"If you want to join us at the dinner party, you need to promise to behave yourself.",저녁 파티에 참가하려면 자제를 기르겠다고 약속해야 함을 이르는 말.,들 데 놓을 데를 안다
It took a lot of courage for her to bell the cat and confront the bully who had been terrorizing the students.,학생들을 괴롭히던 괄시꾼을 맞서서 이겨 내는 것은 매우 어려운 일임을 비유적으로 이르는 말.,칼 물고 뜀뛰기
"When she saw the mess the kids had made, she nearly blew a gasket.",아들딸이 저지른 난장판을 본 그녀는 거의 심장마비를 당할 뻔했다.,이 갈리다
"She doesn't like to blow her own horn, but everyone knows she's the best in the department.","그녀는 자랑하기를 좋아하지 않지만, 누구나 그녀가 부서에서 가장 뛰어난 사람이라는 것을 알고 있습니다.",구렁이 제 몸 추듯
He never misses an opportunity to blow his own trumpet during meetings.,회의에서 늘 자기가 하는 일에 대해 자랑함을 비유적으로 이르는 말.,구렁이 제 몸 추듯
"When he discovered that his project had been sabotaged, he blew his top and confronted the team immediately.",그가 자신의 프로젝트가 훼방을 놓고 있다는 것을 알게 되자 분을 참지 못하고 곧바로 팀원들과 마주쳤습니다.,화가 머리끝까지 나다
The old dog finally breathed his last after a long and happy life.,오랜 세월을 살아온 늙은 개가 마침내 숨을 거두었다.,한 줌 재가 되다
"After losing his job, he was completely broke and had to move back in with his parents.",그는 일자리를 잃고 전혀 돈이 없어 부모님 곁으로 돌아와 살게 됨을 이르는 말.,땡전 한 푼 없다
"When she walked in and saw the surprise party, her bug-eyed expression said it all.",그녀가 당한 놀라움을 표현하기에 '눈구멍이 벌어지다'이 적합한 관용구입니다.,두 눈이 꿀단지 같다
"After all those years of risky adventures, he finally bought the farm during a mountain climbing accident.",수년간의 위험한 모험 끝에 그가 산을 오르던 중 사고로 목숨을 잃었음을 이르는 말.,한 줌 재가 되다
"Before you cast the first stone at her, remember that we've all made mistakes in our past.","먼저 돌을 던지기 전에, 우리 모두는 과거에 잘못을 저질렀다는 것을 생각해 보아야 함을 이르는 말.",제 그른 줄 모르고 남만 그르다 한다
"When I asked him about his strange behavior, he just stared at me as if the cat had got his tongue.","그의 이상한 행동에 대해 물었을 때, 그는 아무 말도 하지 않고 나를 바라보았다.",혀가 내둘리다
The coach chewed the players out after their poor performance in the game.,감독은 팀이 저질러 놓은 실수에 대해 선수들을 꾸짖었다.,혼뜨검 만나다
The raise they offered me was nothing more than chicken feed compared to the work I do.,제게 제안된 급여 인상은 제 일에 비하여 턱없이 적다는 말.,아홉 마리 소에 터럭 하나
"After receiving the news of her promotion, she was on cloud nine for the rest of the week.",그녀가 승진 소식을 듣고 나서 한 주 동안은 하늘을 나는 것 같았다.,잔치날에 큰상 받는 기분
"When I forgot to submit the report on time, my boss came down on me like a ton of bricks.","보고서 제출을 늦추었을 때, 상사로부터 엄격한 비판을 받게 됨을 비유적으로 이르는 말.",혼뜨검 만나다
It recently came to my attention that the meeting has been rescheduled for next week.,회의 일정이 다음 주로 변경되었다는 것을 최근에 알게 됨을 이르는 말.,눈이 트이다
"After hours of arguing, he finally decided to cry uncle and accept that he was wrong.","오랫동안 논쟁을 벌인 끝에, 그는 결국 자기 잘못임을 인정하고 싸움을 그르친다.",무릎 꿇다
