Original_EN_Sentence,Label,EN_to_KR_Translation
 The exam was a piece of cake,겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다,"시험은 *물에 빠져서도 헤엄 치는 수준*이었습니다.

Note: 
- The first target sentence uses the Korean idiom """" (nu-wo-seo chim beo-gi), which literally means ""sleeping and spitting out saliva"" but is used to describe an action that is pointless or counterproductive, similar to the English ""spite one's face"".
- In the second sentence, the phrase ""joys"
 The apartment is just a stone's throw from the sea.,엎드러지면 코 닿을 데,"아파트는 바다에서 *가느다랗게* 떨어진 곳에 있습니다.

Note: The translation of ""a stone’s throw"" is a common idiomatic expression in English, which is translated to """" in Korean. This is an example of an idiom being translated into another language while keeping the idiatic expression intact. 

In the first example, the translation """" is used to convey the same meaning as the English expression ""cut"
 She was at a loss for words when she saw the number of people who had come to grieve for her husband.,혀가 내둘리다,"그녀는 남편이 돌아가신 것을 알았을 때 *어떤 말도 나오지 않을 정도로* 충격을 받았습니다. 

Note: 
1. The idiomatic expressions in the source text are:
	* cut off one's nose (to) spite (one's) face (meaning: to deliberately cause oneself harm in order to harm someone else)"
 Was Helen pleased about getting that job? She was on cloud nine!,잔치날에 큰상 받는 기분,"헬렌은 그 일자리를 얻은 것에 대해 기뻐했을까? 그녀는 *하늘을 나는 것*처럼 행복했다.

In the above examples, the idiomatic expressions are translated as follows:

1.  ""cut off one's nose"" is translated to """" (nuwa-seo chim beotgi), which literally means ""sleeping and spitting out saliva"", but is used as an idiom"
 My father will blow his top when he sees what happened to the car.,화가 머리끝까지 나다,"아버지는 차가 어떻게 되었는지 보자마자 *뒤집어 버릴 것*입니다.

Note: 
- The first target sentence uses the Korean idiom """" (nu-wo-seo chim beo-gi), which literally means ""sleeping and spitting out saliva"", but is used to describe an action that is pointless or counterproductive, similar to ""spitting into the wind"" or """
 Her eyes fluttered open for a moment and then she breathed her last.,한 줌 재가 되다,"그녀의 눈은 잠시 뜨여졌고, 그 다음에 그녀는 *마지막 한숨*을 내쉬고 말았습니다. 

Note: 
1. The idiomatic expressions in the source sentences are:
	* ""spite one's face"" (to harm oneself in order to harm someone else)
		+ The translation is ""nuwa-seo chim beo-gi"" which literally means """
 We were bug-eyed in wonderment.,두 눈이 꿀단지 같다,"우리는 *눈을 크게 뜨고* 놀라움에 빠져있었습니다.

Note: 
- The source sentence contains three idiomatic expressions: ""spite one's face"", ""cut off one’s nose"", and ""joys of Spring"".
- In the target sentence, the first idiom is translated as ""누운 채로 침을뱅기다"", which is a literal translation. However, this is not a common Korean"
 If you crash at 60 mph the odds are you'll buy the farm.,한 줌 재가 되다,"만약 100km/h로 추락한다면 *땅에 묻히게* 될 확률이 높다. 

Note: The idiomatic expressions in the source sentences are: 
1. cut off one's nose (to) spite (one's) face 
2. full of (the) joys (of spring) 
3. buy (someone) the (farm) 

In the target sentences"
 I haven't seen you in a coon's age!,삼대 구 년 만에,"너를 오랜만에 본 것 같아!

Note: The idiomatic expressions in the source sentences are:

1. ""cut off one's nose in spite of their face"" (to deliberately harm oneself in order to harm someone else)
2. ""*joys of Spring*"" (a time of great happiness and celebration)
3.  ""a coons age""  (an extremely long time, a very long period of time)

The idi"
 When Pakistan imposed the border closing last fall it was confident that NATO would have to cry uncle fairly soon.,무릎 꿇다,"지난 가을 파키스탄이 국경을 닫았을 때는 나토가 얼마 안 가서 *아우성*을 지르게 될 거라고 자신있게 생각했다. 

Note: 
1. The translation of ""cut off one's nose in spite of his face"" in the first target sentence is not a direct translation but an idiomatic translation. 
2."
