Original_KR_Sentence,Label,KR_to_EN_Translation
 겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다고 이 정도 일이면 만족하고 해야지.,a piece of cake,"If this is what I have to put up with, I'd rather be a concubine than a daughter-in-law.

Note: The above sentences are examples of idiomatic expressions in Korean that need to be translated into English. The task requires the translator to recognize the idiatic expressions and translate them in a way that conveys the same meaning and nuance as"
 그의 직장은 집에서 엎드러지면 코 닿을 거리에 있었다.,a stone's throw,"His office was just a stone's throw away from his home.

Note: In the above examples, the idiomatic expressions in the source sentences are: 
1. *nuweo-seo chim beo-gi* (, literally ""sleeping and spitting out saliva""), which is an idiom meaning ""to do something that is self-destructive or counterproductive"".
2.  *janji-n"
 그녀는 그때의 처참한 광경을 보고 혀가 내둘렸다.,at a loss for words,"She couldn't help but *stick out her tongue in disgust* when she saw the pitiful sight.

Note: The above sentences are examples of idiomatic expressions in Korean that need to be translated into English. The task is to identify and translate these expressions into their English equivalents, rather than translating the entire sentence word-for-word. 

Here are the answers to the above examples:

1. *nuweo-seo chim"
 마침내 취직에 성공한 나는 잔치날에 큰상 받은 기분만 같았다.,be on cloud nine,"I felt *on cloud nine* when I finally got the job.

Note: The idiomatic expressions in the source sentences are:

*   *nuweo-seo chim beo-gi* (, literally ""sleeping and spitting out saliva""), which is an idiom that means ""to do something that is pointless or counterproductive, like cutting off one's own nose.""
*"
 비싼 돈 주고 형편없는 대접을 받은 손님은 화가 머리끝까지 나고야 말았다.,blow your top,"The customer who paid a lot of money and received such poor service was *fuming with rage*. 

Note: 
1. *nuweo-seo chim beo-gi* is a Korean idiom that means ""to spread false information about someone in order to harm their reputation"" and is equivalent to the English phrase ""spreading rumors"".
2"
 그렇게 젋은 목숨들이 한 줌 재가 되는 안타까운 사건이 있다.,breathe one's last,"There was a tragic accident in which young lives were reduced to a handful of ashes.

Note: The idiomatic expressions in the source sentences are: 
1. *nu-wo-seo chim beo-gi* (, literally ""sleeping and spitting out saliva""), which is an idiom meaning ""to do something that is self-destructive or counterproductive"".
2.  *jan-"
 현장에서 불의의 사고를 직접 목격한 우리는 두 눈이 꿀단지 같아졌다.,bug-eyed,"We were left *with our mouths hanging open* when we witnessed the unexpected accident on the scene.

Note: 
- *nuweo-seo chim beo-gi* is an idiom that means ""spreading false rumors"" or ""talking behind someone's back"" in a way that is harmful to the person being gossiped about. The English translation ""cut"
 이 순간에도 우크라이나에서는 많은 젊은 남자들이 전장에서 한 줌의 재가 되고 있다.,buy the farm,"Even now, in Ukraine, many young men are being reduced to a handful of dust on the battlefield.

Note: In the above examples, the idiomatic expressions in the source sentences are: 
- *nuwo-seo chim beo-gi* (to cut off one's nose and spit in it, meaning to deliberately harm oneself in order to harm someone else)
-"
 겨우 일주일만에 돌아온 것인데도 삼대 구 년 만에 돌아온 기분이 들었다.,coon's age,"I felt like I had been away for three years, even though I was only gone for a week.

Note: The above sentences are examples of idiomatic expressions in Korean that need to be translated into English. The target translations should preserve the original meaning and connotation of each idiom. 

Here are some additional examples:

*   KR: 회사에서 일하기가 너무 힘들"
 맹렬한 그들의 공격에 우리는 무릎 꿇을 수 밖에 없었다.,cry uncle,"We were forced to *eat humble pie* in the face of their fierce attack.

Note: 
1. *nuweo-seo chim beo-gi* is an idiom that means ""to do something that is utterly useless or counterproductive, like spitting out saliva while lying down.""
2.  *janji-nal-e keun sang-reul baneun gi-bun*"
