KR_Idiom,Meaning
가까운 집 며느리일수록 흉이 많다,"[idiom] 가까운 집 며느리일수록 흉이 많다
[meaning] People who are closest to you, such as family members, are often the most critical or judgmental of you. This idiom suggests that those who are closest to us may be more likely to find fault or criticize us, compared to those who are more distant."
간 졸이다,[meaning] to be extremely worried or anxious about something
간이 오그라들다,"[meaning] The idiom ""간이 오그라들다"" means to feel a strong sense of fear, anxiety, or distress. The literal translation of the idiom is ""one's liver shrinks,"" but the figurative meaning refers to the physical and emotional reaction of feeling extremely nervous or anxious about a situation."
간이 조마조마하다,"[meaning] The idiom ""간이 조마조마하다"" means to feel uneasy, anxious, or nervous about something. The literal translation of the words is ""the liver is trembling,"" but the figurative meaning refers to a feeling of unease or apprehension."
간이 콩알만 해지다,"[meaning] The idiom ""간이 콩알만 해지다"" means that someone's liver (간) has become as small as a bean (콩알), which is an expression used to describe a person who is extremely frightened or terrified.

The literal meaning of the words in this idiom is ""one's liver has become as small as a bean,"" but the figurative meaning conveys the idea that the person is so scared that their internal organs, represented by the liver, have shrunk in size due to intense fear or anxiety."
거미 줄 따르듯,"[meaning] to follow something closely or carefully, like following the path of a spider's web."
검은 머리 파 뿌리 되도록,"[meaning] ""검은 머리 파 뿌리 되도록"" means to live a very long life, until one's hair turns completely gray or white.

The idiom expresses the idea of living a full, long life, where one's hair eventually turns gray or white from aging. It suggests a desire for longevity and the ability to live a long, prosperous life."
게 등에 소금 치기,"[meaning] to do something harmful or unpleasant to someone who is already in a difficult or painful situation.

The idiom ""게 등에 소금 치기"" literally translates to ""sprinkling salt on a crab's back."" This is a metaphorical expression that suggests adding more pain or difficulty to someone who is already suffering. It implies that the action is cruel or insensitive, as crabs are already vulnerable creatures and adding salt to their backs would only cause them more distress.

So the figurative meaning of this idiom is to do something that further aggravates or worsens the situation for someone who is already in a difficult or unpleasant circumstance."
고슴도치 외 따 지듯,"[meaning] to do something carefully and slowly, like peeling a persimmon from a hedgehog.

The idiom ""고슴도치 외 따 지듯"" expresses the idea of doing something cautiously and meticulously, similar to the way one would carefully peel a persimmon from a hedgehog to avoid getting hurt by the sharp quills. It suggests a patient and deliberate approach when handling delicate or difficult situations."
고양이가 알 낳을 노릇이다,"[idiom] 고양이가 알 낳을 노릇이다
[meaning] This idiom means that it is completely impossible or absurd for someone to do something that is completely out of their capabilities or nature. It suggests that a situation is so unrealistic or improbable that it is comparable to a cat laying eggs, which is biologically impossible."
골 오르다,"[meaning] ""골 오르다"" is a Korean idiom that means ""to become angry or irritated"".

The literal translation of the idiom is ""to climb up the hill"", but the figurative meaning refers to a person's emotional state escalating into a state of anger or frustration. It suggests that the person's temper is rising, like climbing up a steep hill."
귀한 자식 매 한 대 더 때리고 미운 자식 떡 한 개 더 준다,"[meaning] The idiom ""귀한 자식 매 한 대 더 때리고 미운 자식 떡 한 개 더 준다"" expresses the idea that parents often treat their children unequally, being harsher on their favored child while being more lenient and indulgent towards the child they like less. It suggests that parents can be biased and unfair in how they discipline and reward their children."
금강산 상상봉에 물 밀어 배 띄워 평지 되거든,"The meaning of the Korean idiom ""금강산 상상봉에 물 밀어 배 띄워 평지 되거든"" is:

Even if it seems impossible, with effort and perseverance, a difficult situation can be overcome and become easy.

This idiom suggests that even the most challenging or seemingly insurmountable obstacles can be resolved through determination and hard work. It expresses the idea that with the right mindset and approach, what appears to be an impossible task can be made achievable."
