Idiom,Meaning
가갸 뒷다리[뒤 자]도 모른다,"반절본문의 첫 글자인 ‘가’와 ‘갸’의 세로획조차도 쓸 줄 모른다는 뜻으로, 글자를 전혀 깨치지 못하여 무식하거나, 사리에 몹시 어두운 사람을 놀림조로 이르는 말. "
가게 기둥에 입춘[주련],"추하고 보잘것없는 가겟집 기둥에 ‘입춘대길’이라 써 붙인다는 뜻으로, 제격에 맞지 않음을 비유적으로 이르는 말. "
가까운 남이 먼 일가보다 낫다,이웃끼리 서로 친하게 지내다 보면 먼 곳에 있는 일가보다 더 친하게 되어 서로 도우며 살게 된다는 것을 이르는 말. 
가까운 데를 가도 점심밥을 싸 가지고 가거라,"십 리밖에 안 되는 가까운 데를 가더라도 점심밥을 싸 가지고 다닌다는 뜻으로, 무슨 일에나 준비를 든든히 할 것을 비유적으로 이르는 말. "
가까운 데 집은 깎이고 먼 데 절[집]은 비친다,"가까운 데 있는 절이나 집은 자잘한 흠도 잘 드러나서 좋지 않아 보이고 먼 곳에 윤곽만 보이는 절이나 집은 좋아 보인다는 뜻으로, 늘 가까이에 있는 것은 그 뛰어남이 보이지 않는 반면 멀리 있는 것은 실제보다 더 돋보이기 쉬움을 비유적으로 이르는 말. "
가까운 무당보다 먼 데 무당이 영하다,흔히 사람은 자신이 잘 알고 가까이 있는 것보다는 잘 모르고 멀리 있는 것을 더 좋은 것인 줄로 생각한다는 말. 
가까운 집 며느리일수록 흉이 많다,늘 가까이 있고 잘 아는 사이일수록 상대편의 결점이 눈에 더 많이 띈다는 말. 
가꾸로 박히다,머리를 땅으로 향한 채 떨어지다. 
가난들다,「1」가난하게 되다. 「2」필요하거나 쓸 만한 것이 드물어 구하기 어렵게 되다. 「3」농작물의 수확이 여느 해보다 아주 적게 되다. 
가난 구제는 나라[나라님/임금]도 못한다[어렵다],"남의 가난한 살림을 도와주기란 끝이 없는 일이어서, 개인은 물론 나라의 힘으로도 구제하지 못한다는 말. "
가난 구제는 지옥 늧이라,"가난한 사람을 구제하는 것은 지옥에 떨어질 징조라는 뜻으로, 그 일이 결국에 가서는 자신에게 해롭게 되고 고생거리가 되니 아예 가난한 사람을 구제할 생각도 하지 말라는 것을 비유적으로 이르는 말. "
가난도 비단 가난,"아무리 가난하여도 몸을 함부로 가지지 않고, 본래의 지체와 체통을 더럽히지 않는다는 말. "
가난은 나라 못 당한다,"남의 가난한 살림을 도와주기란 끝이 없는 일이어서, 개인은 물론 나라의 힘으로도 구제하지 못한다는 말. "
가난이 소 아들이라,소처럼 죽도록 일해도 가난에서 벗어날 수 없음을 이르는 말. 
가난이 싸움이다,"모든 싸움의 원인이 가난에 있다는 뜻으로, 가난하면 작은 이해를 놓고도 자연히 서로 다투게 되어 불화가 된다는 말. "
가난이 원수,가난하기 때문에 억울한 경우나 고통을 당하게 되니 가난이 원수같이 느껴진다는 말. 
가난이 죄다,"가난하기 때문에 여러 가지 범죄를 저지르거나, 불행과 고통을 당하게 된다는 말. "
가난이 질기다,"가난하여 곧 굶어 죽을 것 같으나 잘 견디어 낸다는 뜻으로, 가난 속에서도 갖은 고생을 하며 그럭저럭 살아감을 비유적으로 이르는 말. "
가난이 파고들다,더욱더 가난해지다. 
가난한 상주 방갓 대가리 같다,"「1」사람의 몰골이 허술하여 볼품없어 보임을 놀림조로 이르는 말. 「2」무슨 물건이 탐탁하지 못하고 어색해 보이며 값없어 보임을 이르는 말. 「3」머리가 모시처럼 희게 되었다는 뜻으로, 오랜 세월이 지났다는 말. "
가난한 양반 씻나락 주무르듯,"가난한 양반이 털어먹자니 앞날이 걱정스럽고 그냥 두자니 당장 굶는 일이 걱정되어서 볍씨만 한없이 주무르고 있다는 뜻으로, 어떤 일에 닥쳐 우물쭈물하기만 하면서 선뜻 결정을 내리지 못하고 있는 모양을 이르는 말. "
가난한 양반 향청에 들어가듯,"「1」가난한 양반이 주눅이 들어 향청에 들어갈 때처럼, 행색이 떳떳하지 못하고 머뭇거리면서 쩔쩔매는 모습을 비유적으로 이르는 말. 「2」하기 싫은 일을 마지못하여 기운 없이 함을 비유적으로 이르는 말. "
가난한 집 신주 굶듯,"가난한 집에서는 산 사람도 배를 곯는 형편이므로 신주까지도 제사 음식을 제대로 받아 보지 못하게 된다는 뜻으로, 줄곧 굶기만 한다는 말. "
가난한 집에 자식이 많다,"가난한 집에는 먹고 살아 나갈 걱정이 큰데 자식까지 많다는 뜻으로, 이래저래 부담되는 것이 많음을 이르는 말. "
가난한 집 제사[제삿날/젯날] 돌아오듯,"살아가기도 어려운 가난한 집에 제삿날이 자꾸 돌아와서 그것을 치르느라 매우 어려움을 겪는다는 뜻으로, 힘든 일이 자주 닥쳐옴을 비유적으로 이르는 말. "
가난할수록 기와집 짓는다,"「1」당장 먹을 것이나 입을 것이 넉넉지 못한 가난한 살림일수록 기와집을 짓는다는 뜻으로, 실상은 가난한 사람이 남에게 업신여김을 당하기 싫어서 허세를 부리려는 심리를 비유적으로 이르는 말. 「2」가난하다고 주저앉고 마는 것이 아니라 어떻게든 잘살아 보려고 용단을 내어 큰일을 벌인다는 말. "
가는[가던] 날이 장날,"일을 보러 가니 공교롭게 장이 서는 날이라는 뜻으로, 어떤 일을 하려고 하는데 뜻하지 않은 일을 공교롭게 당함을 비유적으로 이르는 말. "
가는 날이 생일,"일을 보러 가니 공교롭게 생일이라는 뜻으로, 어떤 일을 하려고 하는데 뜻하지 않은 일을 공교롭게 당함을 비유적으로 이르는 말. "
가는 년이 물 길어다 놓고 갈까,이미 일이 다 틀어져 그만두는 터에 뒷일을 생각하고 돌아다볼 리 만무함을 비유적으로 이르는 말. 
가는 떡이 커야 오는 떡이 크다,자기가 남에게 말이나 행동을 좋게 하여야 남도 자기에게 좋게 한다는 말. 
가는 말에도 채찍을 치랬다,형편이나 힘이 한창 좋을 때라도 더욱 마음을 써서 힘써야 함을 비유적으로 이르는 말. 
가는 말에 채찍질,「1」열심히 하고 있는데도 더 빨리하라고 독촉함을 비유적으로 이르는 말. 「2」형편이나 힘이 한창 좋을 때라도 더욱 마음을 써서 힘써야 함을 비유적으로 이르는 말. 
가는 말이 고와야 오는 말이 곱다,자기가 남에게 말이나 행동을 좋게 하여야 남도 자기에게 좋게 한다는 말. 
가는 며느리가 보리방아 찧어 놓고 가랴,이미 일이 다 틀어져 그만두는 터에 뒷일을 생각하고 돌아다볼 리 만무함을 비유적으로 이르는 말. 
가는 방망이 오는 홍두깨,"「1」이쪽에서 방망이로 저쪽을 때리면 저쪽에서는 홍두깨로 이쪽을 때린다는 뜻으로, 자기가 한 일보다 더 가혹한 갚음을 받게 되는 경우를 비유적으로 이르는 말. 「2」남을 해치려고 하다가 제가 도리어 더 큰 화를 입게 됨을 비유적으로 이르는 말. "
가는베 낳겠다,"가늘고 고운 베를 잘도 짜겠다는 뜻으로, 솜씨가 없고 무딤을 비웃는 말. "
가는 세월 오는 백발,세월이 가면 나이를 먹고 늙는다는 말. 
가는 손님은 뒤꼭지가 예쁘다,손님 대접하기가 어려운 터에 손님이 속을 알아주어 빨리 돌아가니 고맙게 여긴다는 것을 비유적으로 이르는 말. 
가는 정이 있어야 오는 정이 있다,자기가 남에게 말이나 행동을 좋게 하여야 남도 자기에게 좋게 한다는 말. 
가는 토끼 잡으려다 잡은 토끼 놓친다,"다른 토끼도 잡겠다고 욕심을 부리던 나머지 잡은 토끼를 잘못 간수한 탓으로 놓친다는 뜻으로, 지나치게 욕심을 부리다가 이미 차지한 것까지 잃어버리게 됨을 비유적으로 이르는 말. "
가늘게 먹고 가는 똥 싸라,너무 욕심을 부리다가는 봉변을 당하기 쉬우니 제힘에 맞게 적당히 취하라는 것을 비유적으로 이르는 말. 
가늘게 먹고 가늘게 살아라,"검소하게 먹으면서 소박하게 살라는 뜻으로, 분수에 맞지 않게 호화로운 생활을 추구하거나 분에 넘치는 행동을 하지 말라는 것을 비유적으로 이르는 말. "
가늠보다,「1」목표를 겨누어 보다. 「2」형편이나 시세 따위를 살피다. 「3」물건의 무게를 달 때에 저울눈이 바른지 아니한지를 보다. 
가늠잡다,「1」목표를 겨누어 보다. 「2」형편이나 시세 따위를 살피다. 「3」물건의 무게를 달 때에 저울눈이 바른지 아니한지를 보다. 
가늠이 가다,짐작이나 헤아림이 이루어지거나 미치다. 
가닥을 잡다,"분위기, 상황, 생각 따위를 이치나 논리에 따라 바로잡다. "
가닥이 잡히다,"분위기, 상황, 생각 따위가 이치나 논리에 따라 바로잡히다. "
가도 오도 못하다,한곳에서 자리를 옮기거나 움직일 수 없는 상태가 되다. 
가락떼다,「1」흥이 나는 일에 첫 동작을 실행하다. 「2」풍류를 치다. 
가락나다,일하는 기운이나 능률이 오르다. 
가락맞다,「1」율동이나 장단이 잘 어울리다. 「2」행동이 서로 잘 들어맞다. 
가락꼬치 아니면 송곳,"날카로워서 잘 꿰뚫는다는 뜻으로, 판단이 아주 정확함을 비유적으로 이르는 말. "
가락 바로잡는 집에 가져다가 세워 놨다 와도 좀 낫다,"휜 물렛가락을 가락 고치는 집에 가져다 놓았다가 다시 가져오기만 하여도 휜 것이 바로잡힌 것처럼 느껴진다는 뜻으로, 좋은 환경의 영향을 조금만 받아도 정신적으로 위안이 됨을 비유적으로 이르는 말. "
가락을 내다,"윷놀이를 할 때, 윷가락을 잘 던져서 원하는 대로 엎기도 하고 잦히기도 한다. "
가락을 받다,「1」가락을 따라서 치다. 「2」남의 소리나 노래의 뒤를 이어 부르다. 
가랑니가 더 문다,같잖고 시시한 것이 더 괴롭히거나 애를 먹임을 비유적으로 이르는 말. 
가랑비에 옷 젖는 줄 모른다,"가늘게 내리는 비는 조금씩 젖어 들기 때문에 여간해서도 옷이 젖는 줄을 깨닫지 못한다는 뜻으로, 아무리 사소한 것이라도 그것이 거듭되면 무시하지 못할 정도로 크게 됨을 비유적으로 이르는 말. "
가랑이찢어지다[째지다],「1」몹시 가난한 살림살이를 비유적으로 이르는 말. 「2」(비유적으로) 하는 일이 힘에 부치거나 일손이 부족하여 일해 나가기가 몹시 벅차다. 
가랑잎에 불붙듯[달리듯],"「1」바싹 마른 가랑잎에 불을 지르면 걷잡을 수 없이 잘 탄다는 뜻으로, 성미가 조급하고 도량이 좁아 걸핏하면 발끈하고 화를 잘 내는 것을 비유적으로 이르는 말. 「2」어떤 주장에 호응하거나, 자극에 대하여 빠르게 반응함을 비유적으로 이르는 말. "
가랑잎으로 눈가리고 아웅 한다,얕은수로 남을 속이려 한다는 말. 
가랑잎으로 눈 가리기,「1」자기의 존재나 허물을 숨기려고 미련하게 애쓰는 경우를 비유적으로 이르는 말. 「2」미련하여 아무리 애써도 제대로 일 처리를 하지 못함을 비유적으로 이르는 말. 
가랑잎으로 똥 싸 먹겠다,잘살던 사람이 별안간 몹시 가난해져서 어찌할 수 없는 신세가 됨을 비유적으로 이르는 말. 
