Idiom_from_diff,Matched_Idiom,Similarity_Score
가난이 죄,가난이 죄다,0.9090909090909091
가는 날이 장날,오는 날이 장날,0.875
가방끈이 길다,가방끈길다,0.8333333333333334
가방끈이 짧다,가방끈짧다,0.8333333333333334
가슴에 못을 박다,가슴에 손을 얹다,0.7777777777777778
가슴이 철렁하다,가슴이 뜨끔하다,0.75
가시방석에 앉다,돈방석에 앉다,0.8
간에 붙었다 쓸개에 붙었다 한다,간에 붙었다 쓸개[염통]에 붙었다 한다,0.8947368421052632
간이 크다,간덩이크다,0.8
간 떨리다,간이 떨리다,0.9090909090909091
간이 작다,간덩이작다,0.8
감투를 쓰다,감투를 벗다,0.8333333333333334
강 건너 불 구경하듯,강 건너 불구경,0.8421052631578947
개천에서 용 나다,개천에서 용 난다,0.8888888888888888
걱정도 팔자다,걱정도 팔자,0.9230769230769231
고무신 거꾸로 신다,고무신거꾸로 신다,0.9473684210526315
고배를 마시다,피를 마시다,0.7692307692307693
고생 끝에 낙이 온다,고생 끝에 낙이 온다[있다],0.8461538461538461
골치를 앓다,골치앓다,0.8
골탕 먹다,골탕먹다,0.8888888888888888
골탕 먹이다,골탕먹이다,0.9090909090909091
구렁이 담 넘어 가듯,구렁이 담 넘어가듯,0.9523809523809523
국수 먹다,국수먹다,0.8888888888888888
굿이나 보고 떡이나 먹으면 된다,굿이나 보고 떡이나 먹지[먹으면 된다],0.8947368421052632
귀신이 곡할 노릇이다,귀신이 곡할 노릇[일],0.782608695652174
귀에 못 박히도록 듣다,귀에 못이 박히다,0.7619047619047619
그러면 그렇지,그러면 그렇,0.9230769230769231
그림이 좋다,그림좋다,0.8
기를 꺾다,기미를 보다,0.7272727272727273
기가 막히다,가슴이 막히다,0.7692307692307693
기가 살다,기살다,0.75
기가 죽다,기색이 죽다,0.7272727272727273
기가 차다,기차다,0.75
기를 펴다,기펴다,0.75
길고 짧은 것은 대어 보아야 안다,길고 짧은 것은 대어[재어] 보아야 안다,0.9
꼬리가 잡히다,꼬리가 밟히다,0.8571428571428571
꼬리를 내리다,꼬리내리다,0.8333333333333334
꼬리를 치다,꼬리를 대다,0.8333333333333334
꼬리표가 붙다,꼬리표붙다,0.8333333333333334
꼬투리 잡다,꼬리잡다,0.8
꽁무니 빼다,꽁무니빼다,0.9090909090909091
남의 눈에 눈물 나게 하면 제 눈에는 피눈물 난다,남의 눈에 눈물 내면 제 눈에는 피눈물이 난다,0.8846153846153846
남의 떡이 더 커 보인다,남의 손의 떡은 커 보인다,0.7407407407407407
남의 잔치에 감 놓아라 배 놓아라 한다,사돈집 잔치에 감 놓아라 배 놓아라 한다,0.8837209302325582
내 코가 석자다,내 코가 석 자,0.875
녹초가 되다,재가 되다,0.7272727272727273
놀고 있네,놀고 앉았네,0.7272727272727273
눈 감아 주다,눈 감고 아웅 한다,0.7058823529411765
눈독 들이다,조독들이다,0.7272727272727273
눈 앞이 캄캄하다,눈앞이 캄캄하다,0.9411764705882353
눈에는 눈 이에는 이,눈에는 눈이에는 이(를),0.8333333333333334
눈에 뵈는 게 없다,눈에 보이는 것이 없다,0.7272727272727273
눈에 불을 켜고,눈에 불을 켜다,0.875
눈에 안 차다,눈에 차다,0.8333333333333334
눈에 콩깍지가 씌다,눈에 콩깍지가 씌었다,0.9523809523809523
눈을 붙이다,한눈 붙이다,0.8333333333333334
눈이 높다,눈이 낮다,0.8
눈이 뒤집히다,눈알이 뒤집히다,0.9333333333333333
눈이 맞다,눈이 낮다,0.8
눈이 멀다,눈깔이 멀다,0.9090909090909091
눈이 빠지도록 기다리다,눈이 빠지게[빠지도록] 기다리다,0.8275862068965517
눈이 삐다,눈이 낮다,0.8
눈코 뜰 새 없다,눈코 뜰 사이 없다,0.8421052631578947
다름이 아니라,다름아니라,0.8333333333333334
다리를 놓다,다리를 잇다,0.8333333333333334
다리 뻗고 자다,다리뻗고[펴고] 자다,0.7368421052631579
담을 쌓다,담을 지다,0.8
더위를 먹다,더위먹다,0.8
돈 방석에 앉다,돈방석에 앉다,0.9333333333333333
돼먹지 않다,돼먹지 않다[못하다],0.7058823529411765
