Idiom,Meaning,Meaning_translated_KR
"1 o'clock ""sharp""",punctually at 1 o'clock; being exactly on time,정확히 1시에; 제시간에 도착하다
Bob's your uncle,used to mean that something will be successful or easy to achieve,무언가가 성공적이거나 달성하기 쉽다는 의미로 사용됨
Dutch courage,"false courage or bravery, often gained from consuming alcohol","거짓 용기 또는 용감함, 종종 알코올을 소비함으로써 얻어지는"
Hand something to someone on a silver platter,to give or provide something to someone very easily or without any effort or struggle on their part,"누군가에게 매우 쉽게, 또는 그들의 노력이나 고생 없이 어떤 것을 주거나 제공하다"
Hobson's choice,a situation in which you are given no real choice at all,정말로 선택의 여지가 없는 상황
I'll eat my hat,"an expression of disbelief or doubt, often used when someone makes a statement that seems unlikely or impossible","믿기 어려움이나 의심을 표현하는 말, 종종 누군가가 불가능하거나 믿기 힘든 주장을 할 때 사용됨"
Indian summer,"a period of unusually warm, sunny weather in the autumn or early winter",가을이나 초겨울에 나타나는 비정상적으로 따뜻하고 맑은 날씨의 기간
Jekyll and Hyde,"someone with two distinct personalities, one good and one evil",선한 면과 악한 면을 가진 두 가지 뚜렷한 성격을 가진 사람
Pyrrhic victory,a victory that comes at such a great cost that it is ultimately a loss or defeat,대가가 너무 커서 결국에는 패배나 손실로 귀결되는 승리
_ place in _ sun,to have one's desired or deserved position or recognition,자신이 원하는 또는 마땅히 받는 위치나 인정을 얻다
_ word is law,"to emphasize the authority, importance, or unquestionable nature of something or someone's statement or decision","무언가 또는 누군가의 진술이나 결정을 강조하여 그 권위, 중요성 또는 의심할 여지가 없음을 나타내다."
a bad break,an unfortunate or unfair circumstance or event,불행한 또는 불공정한 상황이나 사건
a bad hair day,an unpleasant or difficult day; a day when everything seems to go wrong,불쾌하거나 힘든 날; 모든 것이 잘못되는 것처럼 느껴지는 날
a bad workman always blames his tools,someone who is unable to do their job well will always find an excuse or scapegoat for their own failings,자신의 일을 잘하지 못하는 사람은 항상 자신의 실패에 대한 변명이나 희생양을 찾게 된다.
a bed of roses,an easy or comfortable situation,쉬운 또는 편안한 상황
a big ask,something that is difficult or demanding to achieve or obtain,달성하거나 얻기 어려운 것이나 힘든 것
a bigger bang for your buck,"getting a greater value, benefit, or outcome in relation to the amount of money or effort invested","투자한 금액이나 노력에 비해 더 큰 가치, 이익 또는 결과를 얻는 것"
a bird in the hand is worth two in the bush,"it is better to hold onto something that you have for certain, than to risk losing it by trying to get something better","확실히 가지고 있는 것을 지키는 것이, 더 나은 것을 얻으려고 하다 잃어버릴 위험을 감수하는 것보다 낫다."
a bit much,excessive or unreasonable; more than one can handle or tolerate,과도하거나 비합리적인; 감당하거나 견딜 수 있는 것을 초과하는
a bit of fluff,"a person, especially a woman, who is considered to be attractive but not very intelligent or interesting",매력적이지만 그다지 지적이지 않거나 흥미롭지 않은 여성.
a bite to eat,a small meal or snack; something to eat,가벼운 식사 또는 간식; 먹을 것
a blessing in disguise,"something that seems bad or unlucky at first, but turns out to be beneficial in the end",처음에는 나쁘거나 불운처럼 보이지만 결국에는 유익한 것으로 드러나는 것
a breath of fresh air,"something or someone that is refreshing and new, providing a different and positive perspective or experience","신선하고 새로운 것 또는 누구, 다른 긍정적인 관점이나 경험을 제공하는."
a bull and cow,a couple; a pair,한 쌍; 한 쌍의 사람들
a bunch of fives,a forceful punch or hit with a closed fist,주먹으로 세게 때리기
a burnt child dreads the fire,someone who has been hurt or had a bad experience is extra cautious to avoid similar situations in the future,상처를 받았거나 나쁜 경험을 한 사람은 미래에 유사한 상황을 피하기 위해 더욱 조심스럽게 행동한다.
a chip on your shoulder,to have a grudge or to be easily angered or offended,원한을 가지다 또는 쉽게 화를 내거나 기분이 상하다
a clean bill of health,"official or formal statement confirming that someone or something is healthy, in good condition, or free from any negative or harmful factors","누군가 또는 무언가가 건강하고, 양호한 상태이며, 부정적이거나 유해한 요소가 없음을 확인하는 공식 또는 공식적인 진술"
a cut above,of higher quality or better than average,더 높은 품질이거나 평균보다 나은 
a diamond in the rough (a.k.a rough diamond ),"someone or something with potential, but lacking refinement or polish",잠재력이 있지만 다듬어지지 않거나 세련되지 않은 사람이나 사물
a dime a dozen,something that is very common or easy to obtain,아주 흔하거나 쉽게 얻을 수 있는 것
a dime's worth,a very small or insignificant amount; something of little value or importance,매우 작거나 중요하지 않은 양; 가치나 중요성이 적은 것
a dish fit for the gods,an exceptionally delicious or impressive dish,특별히 맛있거나 인상 깊은 요리
a doubting Thomas,"someone who is skeptical or doubtful, particularly in regards to religious matters",특히 종교 문제에 대해 회의적이거나 의심이 많은 사람
a drop in the bucket (or ocean),something that is very small or insignificant in comparison to something much larger or more significant,훨씬 더 크거나 중요한 것에 비해 매우 작거나 중요하지 않은 것
a fact of life,something that is inevitable or unavoidable; a basic or fundamental truth or reality,피할 수 없거나 피할 수 없는 것; 기본적이거나 근본적인 진리 또는 현실
a fate worse than death,an extremely bad or undesirable outcome or situation,매우 나쁘거나 바람직하지 않은 결과 또는 상황
a feather in one's cap,an achievement or accomplishment that one can be proud of,자랑스러운 성취 또는 업적
a fish out of water,feeling uncomfortable or out of place in a certain situation,특정 상황에서 불편함을 느끼거나 어색함을 느끼다.
a flash in the pan,something or someone that initially shows great promise but fails to meet expectations in the long run,초기에는 큰 잠재력을 보이지만 결국 기대에 미치지 못하는 것 또는 사람
