KR_Sentence,Sentence,Idiom
"가족끼리 모여서 이야기할 때, 가까운 집 며느리일수록 흉이 많다는 말이 맞아. 매일 보다 보니 작은 단점들도 쉽게 눈에 띄네.","When families gather and talk, familiarity breeds contempt as we tend to notice even the smallest flaws in those we see every day.","familiarity breeds contempt"
"시험 결과가 발표되기 전이라서 간이 졸아 밤잠을 설쳤다.","I was shaking in my shoes and couldn't sleep all night, waiting for the exam results to be announced.","shake in one's shoes"
"갑자기 나타난 고양이에 간이 오그라들었어.","I was quaking in my boots when a cat suddenly appeared out of nowhere.","quake in _ boots"
"시험 결과를 기다리는 내내 간이 조마조마해서 일할 수가 없었다.","I was on pins and needles the whole time waiting for the test results, unable to focus on work.","on pins and needles"
"혼자서 어두운 길을 걸으니 간이 콩알만 해졌다.","Walking alone on a dark path, I felt like I was quaking in my boots.","quake in one's boots"
"그들은 거미 줄 따르듯 항상 함께 다니며 모든 일을 같이 해결하는 소중한 친구이다.","They are close friends who go hand in hand, always staying together and solving everything side by side.","go hand in hand"
"우리 할머니는 검은 머리 파 뿌리 되도록 건강하게 사셨다.","My grandmother lived to a ripe old age, staying healthy until her very last days.","to a ripe old age"
"그 문제를 해결하기 위해 노력했지만, 결국 게 등에 소금 치기일 뿐이었다.","I tried my best to solve the issue, but it turned out to be nothing more than a wild goose chase.","wild goose chase"
"그는 고슴도치 외 따 지듯이 빚을 턱없이 많이 지고 있어 걱정이다.","He's in the hole with an overwhelming amount of debt, like a hedgehog carrying an excessive load.","in the hole"
"그 친구가 다음 주에 태양 아래서 뛰어다닐 거라고 했는데, 그건 고양이가 알 낳을 노릇이다.","My friend claimed he would be running under the blazing sun next week, but that's just a load of codswallop.","a load of codswallop"
"그의 무례한 말에 골이 올라서 바로 반박하고 싶었다.","I wanted to respond immediately as his rude words triggered a fit of anger in me.","fit of anger"
"때론 귀한 자식에게 매 한 대 더 때리며 가르치는 것이 그 아이에게 진정한 사랑이라는 것을 잊지 말아야 해.","Sometimes, sparing the rod spoils the child; disciplining them is a way of showing true love.","spare the rod and spoil the child"
"그 프로젝트를 성공시키려면 금강산 상상봉에 물 밀어 배 띄워 평지 되거든, 불가능한 일이야.","The project will succeed when hell freezes over; it's just impossible.","when hell freezes over"
"시험 때문에 너무 급히 공부하니까 급히 먹는 밥이 목이 멘다고, 잘 이해가 되지 않더라.","Haste makes waste; I studied so quickly for the test that nothing really sank in.","haste makes waste"
"그 프로젝트는 기암절벽 천층석이 눈비 맞아 썩어지거든, 현실성이 없어서 도저히 성공할 것 같지 않아.","The project will only succeed when hell freezes over; it's entirely unrealistic.","when hell freezes over"
"좀 늦었다고 길 죄서 가니, 땀이 난다.","I was running late, so I had to leg it, and now I'm sweating.","leg it"
"그 기회는 너무 늦어서 꺼내 먹은 김치독이 되어버렸다.","The opportunity came too late and ended up being good for nothing, like an empty kimchi jar.","good for nothing"
"그는 항상 비정직한 일을 해왔기 때문에 이제는 꼬리표 붙는 게 불가피해 됐다.","He always acted dishonestly, so now his name is mud, and he can't avoid a bad reputation.","your name is mud"
"요즘 이 프로젝트는 너무 힘들어서 마치 꽃 없는 나비처럼 느껴진다.","This project feels so useless and exhausting these days, like a butterfly without flowers.","good for nothing"
"그는 프로젝트를 하면서 추가 수익을 올려 꿩 먹고 알 먹고 둥지 털어 불을 땄다.","He managed to get the best of both worlds by earning extra income while working on the project.","get the best of both worlds"
"열심히 일하지 않는다면 나간 놈의 몫은 있어도 자는 놈의 몫은 없다는 걸 깨달아야 해.","If you snooze, you lose; remember that those who don't work hard miss out on opportunities.","you snooze, you lose"
"우리는 다음 주에 결혼식 날을 잡기로 했다.","We decided to name the day for our wedding next week.","name the day"
"그는 낮이고 밤이고 항상 운동을 하고 있다.","He exercises every minute, day and night, without fail.","every minute"
"그는 낮이나 밤이나 열심히 운동하여 건강을 유지하고 있다.","He works out hard every minute to stay healthy, whether it's day or night.","every minute"
"이번 프로젝트는 너 나 할 것 없이 모두가 참여해야 성공할 수 있다.","Everyone, all and sundry, needs to participate in this project for it to succeed.","all and sundry"
"이 문제는 누운 소 타기처럼 간단하니까 걱정하지 않아도 돼.","This problem is a piece of cake, so no need to worry.","a piece of cake"
"그녀가 내 친구를 괴롭히자 나는 눈에 불을 달고 면담을 요청했다.","When she harassed my friend, I blew my top and asked for a meeting.","blow one's top"
"그의 거짓말에 눈에 쌍심지가 나서 큰소리로 항의했다.","I blew my top and raised my voice against his lies.","blow one's top"
