Idiom,Sentence,KRIdiom,KRSentence
"a piece of cake","Learning to ride a bike is a piece of cake for most kids.","겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다","아이들에게 자전거 배우기는 겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다."
"a stone's throw","The library is just a stone's throw from my apartment.","엎드러지면 코 닿을 데","도서관은 우리 집에서 엎드러지면 코 닿을 데에 있어요."
"at a loss for words","When he proposed, she was at a loss for words.","혀가 내둘리다","그의 깜짝 선물에 모두 혀가 내둘렸다."
"be on cloud nine","After hearing the good news, she's been on cloud nine all day.","잔치날에 큰상 받는 기분","그는 상을 받아 잔치날에 큰상 받는 기분이었다."
"blow your top","If you break the vase, Mom will blow her top.","화가 머리끝까지 나다","그는 친구의 배신에 화가 머리끝까지 났다."
"breathe one's last","The old tree breathed its last after standing for centuries.","한 줌 재가 되다","수백 년 된 나무가 한 줌 재가 되었다."
"bug-eyed","They were bug-eyed when they saw the surprise party.","두 눈이 꿀단지 같다","그는 놀라운 광경에 두 눈이 꿀단지 같아졌다."
"buy the farm","The character buys the farm at the end of the movie.","한 줌 재가 되다","영화의 주인공이 한 줌 재가 되었다."
"coon's age","It's been a coon's age since I last visited my hometown.","삼대 구 년 만에","삼대 구 년 만에 고향을 찾았다."
"cry uncle","No matter how hard they pushed, he wouldn't cry uncle.","무릎 꿇다","그는 끝까지 무릎 꿇지 않았다."
"dog's age","That singer hasn't released an album in a dog's age.","삼대 구 년 만에","그 가수가 삼대 구 년 만에 새 앨범을 발표했다."
"donkey's years","We've been waiting donkey's years for this moment.","삼대 구 년 만에","우리는 삼대 구 년 만에 만나 즐겁게 대화했다."
"duck soup","For a seasoned programmer, coding this app is duck soup.","겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다","이 문제는 그에게 겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉬운 일이다."
"easy-peasy","Baking cookies is easy-peasy with this recipe.","주먹으로 물 찧기","이 요리는 주먹으로 물 찧기예요."
"fit of anger","She quit her job in a fit of anger.","골 오르다","그는 골 올라 문을 쾅 닫았다."
"full of the joys of spring","He walked in full of the joys of spring after his vacation.","잔치날에 큰상 받는 기분","그녀는 상을 받고 잔치날에 큰상 받는 기분이었다."
"get it in the neck","If you're late again, you'll get it in the neck from the boss.","혼뜨검 만나다","그는 규칙을 어겨 혼뜨검 만났다."
"go down the pan","Their plans went down the pan due to unexpected costs.","닭 쫓던 개 울타리 넘겨다보듯","우리의 기대는 닭 쫓던 개 울타리 넘겨다보듯 사라졌다."
"go home in a box","Soldiers feared they might go home in a box during the war.","한 줌 재가 되다","전쟁에서 많은 이들이 한 줌 재가 되었다."
"go west","The legendary explorer went west during his final journey.","한 줌 재가 되다","그는 마지막 여행에서 한 줌 재가 되었다."
"haste makes waste","Take your time fixing it; haste makes waste.","급히 먹는 밥이 목이 멘다","급히 먹는 밥이 목이 멘다고 서두르지 마라."
"hit the ceiling","The coach hit the ceiling when the team lost.","이 갈리다","그는 실수로 인해 이 갈리고 있었다."
"hit the panic button","Investors hit the panic button after the sudden market drop.","뒤웅박 신고 얼음판에 선 것 같다","그녀는 불안한 소식에 뒤웅박 신고 얼음판에 선 것 같았다."
"in the hole","After the holiday shopping, I'm really in the hole.","고슴도치 외 따 지듯","그는 고슴도치 외 따 지듯 빚을 졌다."
"A bad workman blames his tools","He complained about the slow computer, but a bad workman blames his tools.","쓸 줄 모르는 것이 책부터 나무란다","쓸 줄 모르는 것이 책부터 나무란다고 그의 불평은 이어졌다."
"kick the bucket","The novel's main character kicks the bucket unexpectedly.","한 줌 재가 되다","소설의 주인공이 한 줌 재가 되었다."
"meet one's death","The adventurer met his death in the icy mountains.","한 줌 재가 되다","그는 산에서 한 줌 재가 되었다."
"name is mud","After the incident, his name is mud around here.","꼬리표 붙다","그의 실수로 꼬리표가 붙었다."
"name the day","They've decided to name the day for their grand opening.","날 잡다","드디어 날 잡은 아들을 보니 기분이 좋다."
"on top of the world","Winning the championship left them on top of the world.","잔치날에 큰상 받는 기분","그는 성공하여 잔치날에 큰상 받는 기분이었다."
"out of the frying pan into the fire","Leaving one bad situation, he jumped out of the frying pan into the fire.","엎친 데 덮치다","문제가 해결되나 싶더니 엎친 데 덮쳤다."
"go over one's head","The joke went over his head entirely.","외 얽고 벽 친다","외 얽고 벽친 친구들하고 말을 하려면 속이 터져서 견딜 수가 없거든."
"over the moon","She was over the moon with her exam results.","입이 가로 터지다","그는 나에게 선물을 받고 입이 가로 터졌다."
"pass away","A respected community leader passed away yesterday.","한 줌 재가 되다","그분이 어제 한 줌 재가 되었다."
"press the panic button","Don't press the panic button; we have a backup plan.","뒤웅박 신고 얼음판에 선 것 같다","그는 걱정으로 뒤웅박 신고 얼음판에 선 기분이었다."
"quake in one's boots","The students quaked in their boots during the tough exam.","간이 오그라들다","그녀는 발표를 앞두고 간이 오그라들었다."
"ripe old age","She continued painting into her ripe old age.","검은 머리 파 뿌리 되도록","그는 검은 머리 파 뿌리 되도록 건강하게 지냈다."
"say uncle","No matter how hard they tried, she wouldn't say uncle.","무릎 꿇다","그녀는 절대 무릎 꿇지 않았다."
"shake in one's boots","He was shaking in his boots before the job interview.","간이 오그라들다","그는 면접 때문에 간이 오그라들었다."
"shuffle off this mortal coil","The poet wrote about shuffling off this mortal coil peacefully.","한 줌 재가 되다","그는 한 줌 재가 되기 전에 많은 작품을 남겼다."
"sleep like a log","After working all day, I slept like a log.","발 뻗고 자다","모든 일을 마치고 발 뻗고 잤다."
"spit blood","She was spitting blood over the unfair decision.","이 갈리다","그는 부당함에 이 갈리고 있었다."
"tea leaf","There are tea leaves targeting tourists in that area.","밤이슬 맞는 놈","그 지역에 밤이슬 맞는 놈들이 있다니 조심해야겠다."
"tear-jerking","The documentary was so tear-jerking that many viewers cried.","눈뿌리가 뜨겁다","그 이야기에 모두 눈뿌리가 뜨거워졌다."
"the best of both worlds","By working part-time, she gets the best of both worlds—career and family time.","굿도 볼 겸 떡도 먹을 겸","산책도 할 겸 운동도 할 겸 밖으로 나갔다."
"throw in the towel","After years of trying, he didn't want to throw in the towel just yet.","무릎 꿇다","우리는 포기하지 않고 무릎 꿇지 않을 것이다."
"to the nth degree","They tested the new product to the nth degree before release.","될 수 있는 대로","될 수 있는 대로 최선을 다했다."
"up the river","He ended up up the river for his crimes.","콩밥 맛을 보다","그는 잘못으로 콩밥 맛을 보았다."
"walking on air","She was walking on air after receiving the scholarship.","입이 가로 터지다","그녀는 합격 소식에 입이 가로 터졌다."
None,The weather is pleasant today.,None,오늘 날씨가 좋습니다.
None,She loves reading books in her free time.,None,그녀는 여가 시간에 책 읽는 것을 좋아합니다.
None,They went for a walk by the river yesterday.,None,그들은 어제 강가로 산책을 갔습니다.
None,My friend cooked a delicious meal for us.,None,내 친구가 우리를 위해 맛있는 식사를 요리했어요.
None,He started learning how to play the guitar.,None,그는 기타 연주를 배우기 시작했어요.
None,The children are playing outside.,None,아이들이 밖에서 놀고 있습니다.
None,We watched a movie together last night.,None,우리는 어젯밤 함께 영화를 봤습니다.
None,She is preparing for her exams next month.,None,그녀는 다음 달 시험을 준비하고 있습니다.
None,They visited a museum over the weekend.,None,그들은 주말에 박물관을 방문했어요.
None,I enjoy drinking coffee in the morning.,None,나는 아침에 커피 마시는 것을 즐깁니다.
None,He likes to exercise every day.,None,그는 매일 운동하는 것을 좋아해요.
None,She painted a beautiful picture yesterday.,None,그녀는 어제 아름다운 그림을 그렸어요.
None,We had a fun time at the amusement park.,None,우리는 놀이공원에서 즐거운 시간을 보냈어요.
None,He bought a new laptop for work.,None,그는 일을 위해 새 노트북을 샀어요.
None,The flowers in the garden are blooming.,None,정원의 꽃들이 피어나고 있습니다.
None,She always keeps her desk neat and organized.,None,그녀는 항상 책상을 깔끔하게 정리해요.
None,They went to the beach to relax.,None,그들은 휴식을 취하러 해변에 갔어요.
None,He wrote a letter to his family.,None,그는 가족에게 편지를 썼습니다.
None,She enjoys walking her dog in the park.,None,그녀는 공원에서 강아지를 산책시키는 것을 좋아해요.
None,We had dinner together at a nice restaurant.,None,우리는 멋진 레스토랑에서 함께 저녁을 먹었어요.
None,The city lights look beautiful at night.,None,밤에 도시의 불빛이 아름다워요.
None,She is learning to cook new recipes.,None,그녀는 새로운 요리법을 배우고 있어요.
None,He loves spending time with his family.,None,그는 가족과 시간을 보내는 것을 좋아해요.
None,They bought groceries for the week.,None,그들은 주간 장을 봤어요.
None,She went for a jog early in the morning.,None,그녀는 이른 아침에 조깅을 갔습니다.
None,He likes to listen to music while working.,None,그는 일할 때 음악을 듣는 것을 좋아해요.
None,We spent the weekend cleaning the house.,None,우리는 주말에 집을 청소하며 보냈어요.
None,She enjoys watching the sunset by the sea.,None,그녀는 바닷가에서 해지는 것을 보는 걸 좋아해요.
None,He always brings snacks to share with friends.,None,그는 항상 친구들과 나눌 간식을 가져와요.
