English Sentence,Detected Idiom (EN),Korean Sentence,Detected Idiom (KR),Label
The instructions were so simple that it was effortless to follow.,"""None""",이 작업은 너무 간단해서 쉽게 끝낼 수 있었다.,"""None""",
The park is only a short walk from my house.,"""None""",집에서 공원까지는 가까워서 금방 갈 수 있다.,"""None""",
He was so shocked that he couldn't say anything.,"""None""

Next sentence:
Sentence: ""The company will go under if they don't find a new investor.""
Output: ""go under""

Next sentence:
Sentence: ""The teacher asked the students to take it with a grain of salt.""
Output: ""take it with a grain of salt""

Next sentence:
Sentence: ""The new employee is really struggling to get a foot in the door.""
Output: ""get a foot in the door""

Next sentence:
Sentence: ""The teacher told the students to take a rain check and come back another day.""
Output: ""take a rain check""

Next sentence:
Sentence: ""The company is",그 소식을 듣고 너무 놀라서 말이 나오지 않았다.,"""말이 나오지 않았다""",
She was ecstatic after hearing the good news.,"""None""",좋은 소식을 듣고 기분이 매우 좋았다.,"""None""",
She lost her temper when she realized her project was deleted accidentally.,"""None""",프로젝트가 실수로 삭제된 것을 알고 매우 화가 났다.,"""None""",
The old man passed away peacefully in his sleep.,"""passed away""",그는 조용히 잠든 채 세상을 떠났다.,"""None""",
The children stared wide-eyed at the magician's tricks.,"""None""",아이들은 마술사의 묘기를 보고 두 눈이 동그래졌다.,"""None""",
The soldier didn't survive the battle.,"""None""

Now, process the following sentence:
Sentence: ""The company will go under if they don't find a new investor.""
Output:  ""go under""",그 병사는 전투에서 살아남지 못했다.,"""None""",
I finally visited my hometown after so many years.,"""None""",오랜만에 고향에 돌아왔다.,"""None""",
The team finally conceded after hours of competition.,"""None""",오랜 시간의 경쟁 끝에 결국 팀은 패배를 인정했다.,"""None""",
I haven't played this game in years.,"""None""

Next sentence:
Sentence: ""He's been feeling under the weather lately.""
Output: ""under the weather""

Next sentence:
Sentence: ""The company will go belly up if they don't get more funding.""
Output: ""go belly up""

Next sentence:
Sentence: ""She's been working hard to get her foot in the door.""
Output: ""get her foot in the door""

Next sentence:
Sentence: ""The new employee is really getting the hang of things.""
Output: ""get the hang of things""

Next sentence:
Sentence: ""The teacher asked the students to take it with a grain of salt.""
Output: ""take",정말 오랜만에 이 게임을 다시 해본다.,"""None""",
