English Sentence,Detected Idiom (EN),Korean Sentence,Detected Idiom (KR)
 The exam was a piece of cake,"""piece of cake""

Sentence: ""The new employee is really struggling to learn the ropes.""
Output:  ""learn the ropes""

Sentence: ""The teacher asked the students to take out their books and turn to page twenty-seven.""
Output:  ""None""

Sentence: ""The company will go under unless we can turn over a new leaf.""
Output:  ""turn over a new leaf""

Sentence: ""The teacher asked the students to take out their books and turn to page twenty-seven.""
Output:  ""None""

Sentence: ""The company will go under unless we can turn over a new leaf.""
Output:  ""turn over a new leaf""

Sentence: ""The teacher asked the students to take out their books and turn to page twenty-seven.""", 겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다고 이 정도 일이면 만족하고 해야지.,"""겉보리 돈 사기""Sentence: ""그는 어린 시절부터 부유층에 속해 왔고, 부유층이란 겉보리 돈 사기라는 말도 있듯이 그는 겉보리 돈 사기였던 것이다.""
Output: ""겉보리 돈 사기""Sentence: ""그는 겉보리 돈 사기였던 것이다.""
Output: ""겉보리 돈 사기""Sentence: ""그"
 The apartment is just a stone's throw from the sea.,"""stone's throw""

Sentence: ""The new employee is really struggling to cut to the chase and get to the point.""
Output:  ""cut to the chase""

Sentence: ""The new policy is a real game-changer for our company.""
Output:  ""game-changer""

Sentence: ""The teacher asked the student to take it with a grain of salt.""
Output:  ""take it with a grain of salt""

Sentence: ""The new smartphone is a real lemon.""
Output:  ""lemon""

Sentence: ""The company is in a bit of a pickle and needs to make some tough decisions.""
Output:  ""pickle""

Sentence: ""The teacher told the students to take a rain check and come back another day", 그의 직장은 집에서 엎드러지면 코 닿을 거리에 있었다.,"""엎드러지면 코 닿을 거리에""Sentence: ""그는 10년 동안이나 그 회사에 다녔다.""
Output:  ""10년 동안이나""Sentence: ""그는 10년 동안이나 그 회사에 다녔다.""
Output:  ""10년 동안이나""Sentence: ""그는 10년 동안이나 그 회사에 다녔다.""
Output:  ""10년 동안이나""Sentence: ""그는 10년 동안이나 그 회사에 다녔다.""
Output:"
 She was at a loss for words when she saw the number of people who had come to grieve for her husband.,"""at a loss for words""

Sentence: ""The new employee was very nervous on his first day of work.""
Output:  ""None""

Sentence: ""The teacher asked the student to take it with a grain of salt.""
Output:  ""take it with a grain of salt""

Sentence: ""The company will go under unless something is done to save it.""
Output:  ""go under""

Sentence: ""The teacher asked the student to take it with a grain of salt.""
Output:  ""take it with a grain of salt""

Sentence: ""The company will go under unless something is done to save it.""
Output:  ""go under""

Sentence: ""The", 그녀는 그때의 처참한 광경을 보고 혀가 내둘렸다.,"""혀가 내둘렸다""

Sentence: ""그는 그때의 처참한 광경을 보고 혀가 내둘렸다.""
Output:  ""혀가 내둘렸다""

Sentence: ""그는 그때의 처참한 광경을 보고 혀가 내둘렸다.""
Output:  ""혀가 내둘렸다""

Sentence: ""그는 그때의 처참한 광경을 보고 혀가 내둘렸다.""
Output:  ""혀가 내둘렸다""

Sentence: ""그는 그때의 처"
 Was Helen pleased about getting that job? She was on cloud nine!,"""on cloud nine""

Sentence: ""I'm so tired, I feel like I'm burning the midnight oil.""
Output:  ""burning the midnight oil""

Sentence: ""I'm so tired, I feel like I'm burning the oil.""
Output:  ""None""

Sentence: ""I'm so tired, I feel like I'm burning the midnight.""
Output:  ""None""

Sentence: ""I'm so tired, I feel like I'm burning oil.""
Output:  ""None""

Sentence: ""I'm so tired, I feel like I'm burning the oil at midnight.""
Output:  ""None""

Sentence: ""I'm so tired, I feel like I'm burning the midnight oil at home.""
Output", 마침내 취직에 성공한 나는 잔치날에 큰상 받은 기분만 같았다.,"""잔치날에 큰상 받은""

 Sentence: ""그는 10년간의 노력 끝에 드디어 성공을 맛보았다.""
Output: ""드디어 성공을 맛보았다""

 Sentence: ""그는 10년간의 노력 끝에 드디어 성공을 맛보았다.""
Output: ""드디어 성공을 맛보았다""

 Sentence: ""그는 10년간의 노력 끝에 드디어 성공을 맛보았다.""
Output: ""드디어 성공을 맛보았다""

 Sentence: ""그"
 My father will blow his top when he sees what happened to the car.,"""blow his top""

Sentence: ""The new employee is really struggling to learn the ropes.""
Output:  ""learn the ropes""

Sentence: ""The new employee is really struggling to learn the ropes and get a handle on things.""
Output:  ""learn the ropes"" and ""get a handle on things""

Sentence: ""The new employee is really struggling to learn the ropes and get a handle on things, but he's also burning the midnight oil.""
Output:  ""learn the ropes"", ""get a handle on things"", and ""burning the midnight oil""

Sentence: ""The new employee is really struggling to learn the ropes and get a handle on things, but he's also burning the midnight oil and trying", 비싼 돈 주고 형편없는 대접을 받은 손님은 화가 머리끝까지 나고야 말았다.,"""머리끝까지""Sentence: ""그는 10년간의 노력 끝에 드디어 성공을 맛보았다.""
Output: ""드디어""Sentence: ""그는 10년간의 노력 끝에 드디어 성공을 맛보았다.""
Output: ""드디어""Sentence: ""그는 10년간의 노력 끝에 드디어 성공을 맛보았다.""
Output: ""드디어""Sentence: ""그는 10년간의 노력"
 Her eyes fluttered open for a moment and then she breathed her last.,"""breathe her last""

 Sentence: ""The new employee is really struggling to find his feet in the company.""
Output:  ""find his feet""

 Sentence: ""The new employee is really struggling to find his feet in the company, but he's determined to make a name for himself.""
Output:  ""find his feet"" and ""make a name for himself""

 Sentence: ""The new employee is really struggling to find his feet in the company, but he's determined to make a name for himself and cut to the chase.""
Output:  ""find his feet"", ""make a name for himself"", and ""cut to the chase""

 Sentence: ""The new employee is really struggling to find his feet in the", 그렇게 젋은 목숨들이 한 줌 재가 되는 안타까운 사건이 있다.,"""한 줌 재가 되는""

 Sentence: ""그는 한 줌 재가 될 때까지 일했다.""
Output: ""한 줌 재가 될 때까지""

 Sentence: ""그는 한 줌 재가 될 때까지 일했다.""
Output: ""한 줌 재가 될 때까지""

 Sentence: ""그는 한 줌 재가 될 때까지 일했다.""
Output: ""한 줌 재가 될 때까지""

 Sentence: ""그는 한 줌 재가 될 때까지 일했다."""
 We were bug-eyed in wonderment.,"""bug-eyed""

Sentence: ""The new employee is a real go-getter.""
Output:  ""go-getter""

Sentence: ""The new employee is a real go-getter and a real go-getter.""
Output:  ""go-getter""

Sentence: ""The new employee is a real go-getter and a real go-getter and a real go-getter.""
Output:  ""go-getter""

Sentence: ""The new employee is a real go-getter and a real go-getter and a real go-getter and a real go-getter.""
Output:  ""go-getter""

Sentence: ""The new employee is a real go-getter and a real go-getter and a real go-getter and a real go-get", 현장에서 불의의 사고를 직접 목격한 우리는 두 눈이 꿀단지 같아졌다.,"""None""

Sentence: ""그는 불의의 사고로 한 줌 재가 되어버렸다.""
Output: ""한 줌 재가 되어버렸다""

Sentence: ""그는 불의의 사고로 한 줌 재가 되어버렸다.""
Output: ""한 줌 재가 되어버렸다""

Sentence: ""그는 불의의 사고로 한 줌 재가 되어버렸다.""
Output: ""한 줌 재가 되어버렸다""

Sentence: ""그는 불"
 If you crash at 60 mph the odds are you'll buy the farm.,"""buy the farm""

Sentence: ""I'm going to the store to buy some milk.""
Output:  ""None""

Sentence: ""I'm going to the store to buy some milk and break a leg.""
Output:  ""break a leg""

Sentence: ""I'm going to the store to buy some milk and break a leg and kick the bucket.""
Output:  ""break a leg"" and ""kick the bucket""

Sentence: ""I'm going to the store to buy some milk and break a leg and kick the bucket and buy the farm.""
Output:  ""break a leg"" and ""kick the bucket"" and ""buy the farm""

Sentence: ""I'm going to the store to buy some", 이 순간에도 우크라이나에서는 많은 젊은 남자들이 전장에서 한 줌의 재가 되고 있다.,"""한 줌의 재가 되고 있다""

Sentence: ""그는 한 줌의 재가 되기 전에 마지막으로 한 번 더 이곳에 오고 싶다.""
Output: ""한 줌의 재가 되기 전에""

Sentence: ""그는 한 줌의 재가 되기 전에 마지막으로 한 번 더 이곳에 오고 싶다.""
Output: ""한 줌의 재가 되기 전에""

Sentence: ""그는 한 줌의 재가 되기"
 I haven't seen you in a coon's age!,"""coon's age""

Sentence: ""The new employee is really struggling to cut to the chase.""
Output:  ""cut to the chase""

Sentence: ""The new employee is really struggling to learn the ropes.""
Output:  ""learn the ropes""

Sentence: ""The new employee is really struggling to learn the job.""
Output:  ""None""

Sentence: ""The new employee is really struggling to get a handle on things.""
Output:  ""get a handle on things""

Sentence: ""The new employee is really struggling to get a handle on the job.""
Output:  ""get a handle on things""

Sentence: ""The new employee is really struggling to get a handle on the job and learn the ropes.""
Output:  """, 겨우 일주일만에 돌아온 것인데도 삼대 구 년 만에 돌아온 기분이 들었다.,"""삼대 구 년""

 Sentence: ""그는 10년 동안이나 그 회사에 다녔다.""
Output: ""None""

 Sentence: ""그는 10년 동안이나 그 회사에 다녔다.""
Output: ""None""

 Sentence: ""그는 10년 동안이나 그 회사에 다녔다.""
Output: ""None""

 Sentence: ""그는 10년 동안이나 그 회사에 다녔다.""
Output: ""None""

 Sentence: ""그는 10년 동안이나"
 When Pakistan imposed the border closing last fall it was confident that NATO would have to cry uncle fairly soon.,"""cry uncle""

Sentence: ""The new employee was very nervous on his first day of work.""
Output:  ""None""

Sentence: ""The company will turn over a new leaf and expand its business to other countries.""
Output:  ""turn over a new leaf""

Sentence: ""The teacher asked the student to take a seat and answer the question.""
Output:  ""None""

Sentence: ""The company's financial reports are in the black this quarter.""
Output:  ""in the black""

Sentence: ""The teacher asked the student to take a seat and answer the question.""
Output:  ""None""

Sentence: ""The company will turn over a new leaf and expand its business to", 맹렬한 그들의 공격에 우리는 무릎 꿇을 수 밖에 없었다.,"""무릎 꿇을 수 밖에 없었다"""
