English Sentence,Detected Idiom (EN),Korean Sentence,Detected Idiom (KR)
 The exam was a piece of cake,"""piece of cake""", 겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다고 이 정도 일이면 만족하고 해야지.,"""겉보리 돈 사기"""
 The apartment is just a stone's throw from the sea.,"""a stone's throw""", 그의 직장은 집에서 엎드러지면 코 닿을 거리에 있었다.,"""엎드러지면"""
 She was at a loss for words when she saw the number of people who had come to grieve for her husband.,"""at a loss for words""", 그녀는 그때의 처참한 광경을 보고 혀가 내둘렸다.,"""None"" 

(Note: The output is ""None"" because the sentence does not contain any idiomatic expressions.) 

Please process the following sentence:
Sentence: ""그는 그때의 처참한 광경을 보고 혀가 내둘렸다.""
Output: ""혀가 내둘리다"" 

(Note: The output is ""혀가 내둘리다"" because the sentence contains the idiomatic expression ""혀가 내둘리다"
 Was Helen pleased about getting that job? She was on cloud nine!,"""on cloud nine""", 마침내 취직에 성공한 나는 잔치날에 큰상 받은 기분만 같았다.,"""잔치날에 큰상 받은"""
 My father will blow his top when he sees what happened to the car.,"""blow his top""", 비싼 돈 주고 형편없는 대접을 받은 손님은 화가 머리끝까지 나고야 말았다.,"""화가 머리끝까지 나"""
 Her eyes fluttered open for a moment and then she breathed her last.,"""breathe her last""", 그렇게 젋은 목숨들이 한 줌 재가 되는 안타까운 사건이 있다.,"""한 줌 재가 되는"""
 We were bug-eyed in wonderment.,"""bug-eyed""", 현장에서 불의의 사고를 직접 목격한 우리는 두 눈이 꿀단지 같아졌다.,"""None"" 

Please respond with the output only. 
""두 눈이 꿀단지 같아졌다""The final answer is: ""두 눈이 꿀단지 같아졌다"""
 If you crash at 60 mph the odds are you'll buy the farm.,"""buy the farm""", 이 순간에도 우크라이나에서는 많은 젊은 남자들이 전장에서 한 줌의 재가 되고 있다.,"""한 줌의 재가"""
 I haven't seen you in a coon's age!,"""a coon's age""", 겨우 일주일만에 돌아온 것인데도 삼대 구 년 만에 돌아온 기분이 들었다.,"""삼대 구 년"""
 When Pakistan imposed the border closing last fall it was confident that NATO would have to cry uncle fairly soon.,"""cry uncle""", 맹렬한 그들의 공격에 우리는 무릎 꿇을 수 밖에 없었다.,"""무릎 꿇을"""
 I haven't seen you in a dog's age!,"""a dog's age""", 너 어디 갔었냐? 삼대 구 년 만에 보는 것 같다?,"""삼대 구 년"""
 I've been a vegetarian for donkey's years.,"""donkey's years""", 이 식당에도 삼대 구 년 만에 온 것 같은데 여전히 옛날 맛 그대로네?,"""삼대 구 년"""
 The trip was duck soup for experienced travelers.,"""duck soup""", 겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다고 이 정도 일이면 만족하고 해야지.,"""겉보리 돈 사기"""
 Ella thinks it's going to easy-peasy,"""easy-peasy""", 진정 능력있는 사람은 복잡한 일도 주먹으로 물 찧듯이 해내는 법이다.,"""주먹으로 물 찧듯이"""
