Original_EN_Sentence,Label,EN_to_KR_Translation
"After spending every summer together since childhood, they seemed to be joined at the hip.",구름 갈 제 비가 간다,"
Translate the following sentence into Korean.
This sentence contains the idiom 'be joined at the hip', which means 'to be extremely close or inseparable, often referring to two people who spend a lot of time together and do everything together'. The Korean idiom similar to 'be joined at the hip' is '구름 갈 제 비가 간다', which means'사람의 긴밀한 관계를 비유적으로 이르는 말.'.
Translate the entire sentence by naturally replacing the English idiomatic expression with this Korean idiomatic expression. For a natural translation, feel free to change the tense or voice of the idiom if necessary.
In other words, you can translate the given sentence as follows: 
'사람은 누구나 한 번쯤은 친구를 잃어 버리게 됨을 비꼬는 말.,어떤 일을 하다 보면 반드시 그와 반대되는 결과가 생기기 마련이라는 말.에 맞는 한국어 관용구를 알려주세요.'"
"After his trial, the judge sentenced him to five years behind bars for his crimes.",콩밥 먹이다,"
Translate the following sentence into Korean.
This sentence contains the idiom 'behind bars', which means 'to be in prison or jail'. The Korean idiom similar to 'behind bars' is '콩밥 먹이다', which means '감옥살이를 하게 감옥으로 보내다.'.
Translate the entire sentence by naturally replacing the English idiomatic expression with this Korean idiomatic expression. For a natural translation, feel free to change the tense or voice of the idiom if necessary.
'콩 밥을 먹다'의 의미는 다음과 같습니다: 1. 죄를 저질러서 법정에 끌려감을 비유적으로 이르는 말. 2. 잘못을 저지르다."
"After losing that final match, they really bit the dust and couldn't make it to the championship.",쓴잔을 안기다,"
Translate the following sentence into Korean.
This sentence contains the idiom 'bite the dust', which means 'to suffer defeat or failure'. The Korean idiom similar to 'bite the dust' is '쓴잔을 안기다', which means '실패나 패배 따위의 쓰라린 일을 당하게 하다.'.
Translate the entire sentence by naturally replacing the English idiomatic expression with this Korean idiomatic expression. For a natural translation, feel free to change the tense or voice of the idiom if necessary.
In this case, the translated sentence would be:
'그들은 결국 실패로 끝나게 됨을 비유적으로 이르는 말.'"
The detective almost blew his cover when he accidentally revealed his true profession to the suspect.,뒤가 드러나다,"
Translate the following sentence into Korean.
This sentence contains the idiom 'blow someone's cover', which means 'to reveal someone's secret or hidden identity or activities'. The Korean idiom similar to 'blow someone's cover' is '뒤가 드러나다', which means '비밀로 하거나 숨긴 일이 나타나거나 알려지다.'.
Translate the entire sentence by naturally replacing the English idiomatic expression with this Korean idiomatic expression. For a natural translation, feel free to change the tense or voice of the idiom if necessary.
In this case, the translated sentence would be:
'그의 정체가 알려져 버렸다.'.



Please let me know if you need further assistance."
"The investigative journalist managed to blow the lid off the corruption scandal, shocking the entire community.",뒤가 드러나다,"
Translate the following sentence into Korean.
This sentence contains the idiom 'blow the lid off', which means 'to reveal or expose something secret or scandalous'. The Korean idiom similar to 'blow the lid off' is '뒤가 드러나다', which means '비밀로 하거나 숨긴 일이 나타나거나 알려지다.'.
Translate the entire sentence by naturally replacing the English idiomatic expression with this Korean idiomatic expression. For a natural translation, feel free to change the tense or voice of the idiom if necessary.
In this case, the translated sentence would be:
'이 사실이 알려져 나면 큰 문제가 생길 수 있음을 비유적으로 이르는 말.'"
The investigation aimed to break open the corruption scandal that had plagued the city for years.,뒤가 드러나다,"
Translate the following sentence into Korean.
This sentence contains the idiom 'break open', which means 'to reveal or expose something that was previously hidden or secret'. The Korean idiom similar to 'break open' is '뒤가 드러나다', which means '비밀로 하거나 숨긴 일이 나타나거나 알려지다.'.
Translate the entire sentence by naturally replacing the English idiomatic expression with this Korean idiomatic expression. For a natural translation, feel free to change the tense or voice of the idiom if necessary.
In this case, the translation is: 
'그것은 결국 뒷통수에 맞게 될 것이었다는 말.'



The meaning of 'backhanded compliment' can be described as: an expression of praise or appreciation that is actually insulting or demeaning."
"In the final minutes of the game, the coach decided to go for broke and put their best players on the field.",삼수갑산에 가는 한이 있어도,"
Translate the following sentence into Korean.
This sentence contains the idiom 'go for broke', which means 'to take a big risk, to put everything on the line, to go all out in pursuit of something; to give maximum effort or commitment'. The Korean idiom similar to 'go for broke' is '삼수갑산에 가는 한이 있어도', which means '자신에게 닥쳐올 어떤 위험도 무릅쓰고라도 어떤 일을 단행할 때 하는 말.'.
Translate the entire sentence by naturally replacing the English idiomatic expression with this Korean idiomatic expression. For a natural translation, feel free to change the tense or voice of the idiom if necessary.
In this case, the translated sentence would be:
'자기가 할 수 있는 한 최선을 다하여야 한다는 말.,어떤 일을 하기 위하여 모든 것을 걸치는 경우를 비유적으로 이르는 말.을 표현하고 싶다면, 한국어 관용구 '모든 것을 다 걸치다'을 사용할 수 있습니다.'"
"After years of mismanagement, the once-thriving company eventually went to the wall.",쓴잔을 안기다,"
Translate the following sentence into Korean.
This sentence contains the idiom 'go to the wall', which means 'to face failure or ruin; to be defeated or destroyed'. The Korean idiom similar to 'go to the wall' is '쓴잔을 안기다', which means '실패나 패배 따위의 쓰라린 일을 당하게 하다.'.
Translate the entire sentence by naturally replacing the English idiomatic expression with this Korean idiomatic expression. For a natural translation, feel free to change the tense or voice of the idiom if necessary.
'If you want to succeed, you must be willing to take risks and face the possibility of failure.' translates to: '성공하기 위해서는 위험을 감수하고 실패의 가능성을 받아들여야 함을 비유적으로 이르는 말.'"
All our plans for the weekend went up in smoke when the storm hit the area.,닭 쫓던 개 울타리 넘겨다보듯,"
Translate the following sentence into Korean.
This sentence contains the idiom 'go up in smoke', which means 'to be completely destroyed or ruined; to fail utterly or come to nothing'. The Korean idiom similar to 'go up in smoke' is '닭 쫓던 개 울타리 넘겨다보듯', which means'애써 하던 일이 실패로 돌아가거나 남보다 뒤떨어져 어찌할 도리가 없이 됨을 비유적으로 이르는 말.'.
Translate the entire sentence by naturally replacing the English idiomatic expression with this Korean idiomatic expression. For a natural translation, feel free to change the tense or voice of the idiom if necessary.
In other words, how can I express'something that was once full of promise or potential, but has now failed or been ruined' in Korean?"
"After the merger, the company’s profits started to head south, prompting a complete overhaul of their strategy.",닭 쫓던 개 울타리 넘겨다보듯,"
Translate the following sentence into Korean.
This sentence contains the idiom 'head south', which means 'to deteriorate or go wrong; to decline or become unsuccessful'. The Korean idiom similar to 'head south' is '닭 쫓던 개 울타리 넘겨다보듯', which means'애써 하던 일이 실패로 돌아가거나 남보다 뒤떨어져 어찌할 도리가 없이 됨을 비유적으로 이르는 말.'.
Translate the entire sentence by naturally replacing the English idiomatic expression with this Korean idiomatic expression. For a natural translation, feel free to change the tense or voice of the idiom if necessary.
In other words, how can I express the meaning 'the situation is deteriorating; things are going wrong' in Korean?"
