Idiom,Meaning,Sentence,KR_Idiom,KR_Meaning
be joined at the hip,"to be extremely close or inseparable, often referring to two people who spend a lot of time together and do everything together","After spending every summer together since childhood, they seemed to be joined at the hip.",구름 갈 제 비가 간다, 사람의 긴밀한 관계를 비유적으로 이르는 말.
behind bars,to be in prison or jail,"After his trial, the judge sentenced him to five years behind bars for his crimes.",콩밥 먹이다,감옥살이를 하게 감옥으로 보내다.
bite the dust,to suffer defeat or failure,"After losing that final match, they really bit the dust and couldn't make it to the championship.",쓴잔을 안기다,실패나 패배 따위의 쓰라린 일을 당하게 하다.
blow someone's cover,to reveal someone's secret or hidden identity or activities,The detective almost blew his cover when he accidentally revealed his true profession to the suspect.,뒤가 드러나다,비밀로 하거나 숨긴 일이 나타나거나 알려지다.
blow the lid off,to reveal or expose something secret or scandalous,"The investigative journalist managed to blow the lid off the corruption scandal, shocking the entire community.",뒤가 드러나다,비밀로 하거나 숨긴 일이 나타나거나 알려지다.
break open,to reveal or expose something that was previously hidden or secret,The investigation aimed to break open the corruption scandal that had plagued the city for years.,뒤가 드러나다,비밀로 하거나 숨긴 일이 나타나거나 알려지다.
go for broke,"to take a big risk, to put everything on the line, to go all out in pursuit of something; to give maximum effort or commitment","In the final minutes of the game, the coach decided to go for broke and put their best players on the field.",삼수갑산에 가는 한이 있어도,자신에게 닥쳐올 어떤 위험도 무릅쓰고라도 어떤 일을 단행할 때 하는 말.
go to the wall,to face failure or ruin; to be defeated or destroyed,"After years of mismanagement, the once-thriving company eventually went to the wall.",쓴잔을 안기다,실패나 패배 따위의 쓰라린 일을 당하게 하다.
go up in smoke,to be completely destroyed or ruined; to fail utterly or come to nothing,All our plans for the weekend went up in smoke when the storm hit the area.,닭 쫓던 개 울타리 넘겨다보듯, 애써 하던 일이 실패로 돌아가거나 남보다 뒤떨어져 어찌할 도리가 없이 됨을 비유적으로 이르는 말.
head south,to deteriorate or go wrong; to decline or become unsuccessful,"After the merger, the company’s profits started to head south, prompting a complete overhaul of their strategy.",닭 쫓던 개 울타리 넘겨다보듯, 애써 하던 일이 실패로 돌아가거나 남보다 뒤떨어져 어찌할 도리가 없이 됨을 비유적으로 이르는 말.
