Idiom,Meaning,KR_Idiom,KR_Meaning,KR_Sentence
be joined at the hip,"to be extremely close or inseparable, often referring to two people who spend a lot of time together and do everything together",구름 갈 제 비가 간다,사람의 긴밀한 관계를 비유적으로 이르는 말.,우리는 어려서부터 항상 함께 지내왔으니 구름 갈 제 비가 간다고 할 수 있어.
the best of both worlds,having the advantages or benefits of two different things at the same time,굿도 볼 겸 떡도 먹을 겸,한 가지 일을 하여 두 가지 이상의 이익을 보게 됨을 비유적으로 이르는 말.,이번 여행에서 친구도 만나고 좋은 음식을 먹을 수 있으니 굿도 볼 겸 떡도 먹을 겸 잘 다녀오려 해.
tear-jerking,"emotionally moving or highly emotional, often causing tears to be shed",눈뿌리가 뜨겁다,슬프거나 깊은 감동을 받아 눈물이 핑 돌면서 가슴에 강한 자극이 일어나다.,그의 감동적인 이야기를 듣고 나니 눈뿌리가 뜨겁고 눈물이 나올 것 같았다.
in the long run,in the long term; over a period of time; considering the ultimate outcome or result,두고 보다,어떤 결과가 될지를 일정 기간 동안 살펴보다.,"그의 사업이 어떻게 될지 두고 보자, 어쩌면 성공할 수도 있을 거야."
break open,to reveal or expose something that was previously hidden or secret,뒤가 드러나다,비밀로 하거나 숨긴 일이 나타나거나 알려지다.,그의 부정적인 과거가 결국 뒤가 드러나고 말았다.
she'll be apples,everything will be alright; there is no need to worry,뒤가 무사하다,어떤 일의 뒤끝에 대하여 걱정할 만한 것이 전혀 없거나 걱정을 하지 않아도 되다.,그는 이 사업이 끝난 후에도 뒤가 무사하다고 확신하고 있다.
break someone's heart,to cause someone great sadness or emotional pain,멍 지다,"일이 속으로 탈이 생기다.,마음속에 쓰라린 고통의 흔적이 남다.",그 일로 인해 마음이 멍이 들어서 지금도 힘들게 지내고 있어.
be joined at the hip,"to be extremely close or inseparable, often referring to two people who spend a lot of time together and do everything together",바늘 가는 데 실 가고 바람 가는 데 구름 간다,사람의 긴밀한 관계를 비유적으로 이르는 말.,그들은 항상 함께 다니므로 바늘 가는 데 실 가고 바람 가는 데 구름 간다라고 할 수 있다.
be joined at the hip,"to be extremely close or inseparable, often referring to two people who spend a lot of time together and do everything together",바늘 가는 데 실 간다,사람의 긴밀한 관계를 비유적으로 이르는 말.,"우정이 깊은 친구들은 항상 바늘 가는 데 실 간다고, 서로의 곁을 지켜준다."
be joined at the hip,"to be extremely close or inseparable, often referring to two people who spend a lot of time together and do everything together",바늘 따라 실 간다,사람의 긴밀한 관계를 비유적으로 이르는 말.,그들은 언제나 함께 다니니까 바늘 따라 실 간다고 해도 과언이 아니다.
be joined at the hip,"to be extremely close or inseparable, often referring to two people who spend a lot of time together and do everything together",바람 간 데 범 간다,사람의 긴밀한 관계를 비유적으로 이르는 말.,그들은 너무 친하다 보니 바람 간 데 범 간다는 말이 딱 맞는 것 같아.
knock someone's block off,to punch or hit someone very hard,복날 개 잡듯,몹시 심하게 때리거나 맞는 모양을 비유적으로 이르는 말.,시험에서 떨어진 친구가 공부를 안 해서 부모님에게 복날 개 잡듯 혼났다고 하더라.
be joined at the hip,"to be extremely close or inseparable, often referring to two people who spend a lot of time together and do everything together",봉 가는 데 황 간다,사람의 긴밀한 관계를 비유적으로 이르는 말.,그들은 서로의 기쁨과 슬픔을 함께 나누는 사이여서 봉 가는 데 황 간다 할 만큼 깊은 우정을 나누고 있다.
make one's flesh crawl,"to cause a feeling of disgust, fear, or strong unease",속 뒤집히다,"비위가 상하여 욕지기가 날 듯하게 되다.,몹시 아니꼽게 느껴지다.",그의 거짓말을 듣고 속이 뒤집혔다.
be joined at the hip,"to be extremely close or inseparable, often referring to two people who spend a lot of time together and do everything together",실 가는 데 바늘도 간다,사람의 긴밀한 관계를 비유적으로 이르는 말.,"친구와의 우정은 실 가는 데 바늘도 간다고, 우리는 항상 서로를 믿고 의지한다."
over my head,not understanding something; beyond one's comprehension,외 얽고 벽 친다,사물을 이해하지 못함을 이르는 말.,그는 문제를 설명해도 외 얽고 벽 치듯 이해하지 못해 답답했다.
