Original_KR_Sentence,Label,KR_to_EN_Translation
우리는 어려서부터 항상 함께 지내왔으니 구름 갈 제 비가 간다고 할 수 있어.,be joined at the hip,"We have been together since we were young, so we can say that we are like two peas in a pod."
이번 여행에서 친구도 만나고 좋은 음식을 먹을 수 있으니 굿도 볼 겸 떡도 먹을 겸 잘 다녀오려 해.,the best of both worlds,This idiom means: to make the most of an opportunity or situation by doing multiple things at once.
그의 감동적인 이야기를 듣고 나니 눈뿌리가 뜨겁고 눈물이 나올 것 같았다.,tear-jerking,I was so moved by his story that I felt tears welling up in my eyes.
"그의 사업이 어떻게 될지 두고 보자, 어쩌면 성공할 수도 있을 거야.",in the long run,Let's wait and see how his business turns out; he might actually succeed.
그의 부정적인 과거가 결국 뒤가 드러나고 말았다.,break open,His negative past eventually caught up with him.
그는 이 사업이 끝난 후에도 뒤가 무사하다고 확신하고 있다.,she'll be apples,He is confident that everything will turn out all right in the end.
그 일로 인해 마음이 멍이 들어서 지금도 힘들게 지내고 있어.,break someone's heart,I'm still feeling the effects of that incident and it's been really tough for me.
그들은 항상 함께 다니므로 바늘 가는 데 실 가고 바람 가는 데 구름 간다라고 할 수 있다.,be joined at the hip,"They are always together, so it can be said that they are like a needle and thread or the wind and clouds."
"우정이 깊은 친구들은 항상 바늘 가는 데 실 간다고, 서로의 곁을 지켜준다.",be joined at the hip,Friends who are very close to each other will always look out for one another.
그들은 언제나 함께 다니니까 바늘 따라 실 간다고 해도 과언이 아니다.,be joined at the hip,"They are always together, so it is no exaggeration to say that they are as close as a needle and thread."
그들은 너무 친하다 보니 바람 간 데 범 간다는 말이 딱 맞는 것 같아.,be joined at the hip,They are so close that they are like two peas in a pod.
시험에서 떨어진 친구가 공부를 안 해서 부모님에게 복날 개 잡듯 혼났다고 하더라.,knock someone's block off,"To scold or punish someone severely, especially a child, for not studying or performing well on a test."
그들은 서로의 기쁨과 슬픔을 함께 나누는 사이여서 봉 가는 데 황 간다 할 만큼 깊은 우정을 나누고 있다.,be joined at the hip,"They are so close that they share each other's joys and sorrows, and their friendship is so strong that it can't be broken."
그의 거짓말을 듣고 속이 뒤집혔다.,make one's flesh crawl,To be deceived or misled by someone's false or misleading statement.
"친구와의 우정은 실 가는 데 바늘도 간다고, 우리는 항상 서로를 믿고 의지한다.",be joined at the hip,Friendship is a bond that can never be broken; we always trust and rely on each other.
그는 문제를 설명해도 외 얽고 벽 치듯 이해하지 못해 답답했다.,over my head,He was frustrated because he couldn't understand the problem even when it was explained to him.
