Original_EN_Sentence,Label,EN_to_KR_Translation
"After spending every summer together since childhood, they seemed to be joined at the hip.",구름 갈 제 비가 간다,"e translation of this sentence in Korean would be:

어린 시절부터 매년 여름을 함께 보냈던 두 사람 사이는 서로가 너무나 잘 어울리다 보니 서로를 떠나지 못하는 모양을 비꼬는 말."
"After his trial, the judge sentenced him to five years behind bars for his crimes.",콩밥 먹이다,=> 그는 범죄를 저질렀다는 이유로 법정에서 5년간의 징역을 선고받았다.
"After losing that final match, they really bit the dust and couldn't make it to the championship.",쓴잔을 안기다,"=> 그 마지막 경기를 잃은 후, 그들은 정말 쓴 잔을 앓게 됨을 비유적으로 이르는 말.,그들이 결승전에 못 들어가게 된 것을 비꼬는 말.에 맞는 한국어 관용구를 사용하고 싶다면, '결승에 안 들어간다'을(를) 사용할 수 있습니다."
The detective almost blew his cover when he accidentally revealed his true profession to the suspect.,뒤가 드러나다,The Korean translation of this sentence would be: '탐정은 의도치 않게 자신의 진정한 직업을 범인에게 밝히고 말았다는 것을 깨닫게 되었다.'
"The investigative journalist managed to blow the lid off the corruption scandal, shocking the entire community.",뒤가 드러나다,"The Korean translation of this sentence would be:
'수사 저널리스트가 부패 스캔들을 뒤가드러내어 온 사회를 충격에 빠뜨렸다.'"
The investigation aimed to break open the corruption scandal that had plagued the city for years.,뒤가 드러나다,The Korean translation of this sentence would be: '이 조사에서는 여러 해 동안 도시를 괴롭혔던 부패 스캔들을 뒤로 숨기던 사람들의 뒷배를 뒤지기 위함이었다.'
"In the final minutes of the game, the coach decided to go for broke and put their best players on the field.",삼수갑산에 가는 한이 있어도,"The Korean translation of this sentence would be:
'게임의 마지막 분위기에서, 코치님은 삼수 갑산을 가겠다고 하여 최고의 선수들을 모두 출전시켰다.'"
"After years of mismanagement, the once-thriving company eventually went to the wall.",쓴잔을 안기다,'어느 날 갑자기'을 표현하고 싶다면 어떤 한국어 관용구를 사용할 수 있을까요?
All our plans for the weekend went up in smoke when the storm hit the area.,닭 쫓던 개 울타리 넘겨다보듯,닥치는 대로 비가 내리다 보니 이번 주말에 계획하던 모든 일들이 다툼없이 어지러워져 버렸다.
"After the merger, the company’s profits started to head south, prompting a complete overhaul of their strategy.",닭 쫓던 개 울타리 넘겨다보듯,"e Korean translation would be:
'합병 후 회사의 이익은 닭을 쌌던 강아지처럼 급격히 줄어들었고, 그에 따라 그들의 전략은 완전히 바뀌어야 함을 깨달았다.'"
