Idiom,Meaning,KR_Idiom,KR_Meaning,Similarity,Sentence,KR_Sentence
a piece of cake,something that is very easy to do or accomplish,겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다, 아주 하기 쉬운 일을 비유적으로 이르는 말.,0.8, The exam was a piece of cake, 겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다고 이 정도 일이면 만족하고 해야지.
a stone's throw,a short distance away; within close proximity,엎드러지면 코 닿을 데,매우 가까운 거리를 비유적으로 이르는 말.,0.82, The apartment is just a stone's throw from the sea., 그의 직장은 집에서 엎드러지면 코 닿을 거리에 있었다.
at a loss for words,"unable to speak or express oneself, typically due to shock, surprise, or confusion",혀가 내둘리다,몹시 놀라거나 어이없어서 말을 못 하게 되다.,0.82, She was at a loss for words when she saw the number of people who had come to grieve for her husband., 그녀는 그때의 처참한 광경을 보고 혀가 내둘렸다.
be on cloud nine,to be extremely happy or joyful,잔치날에 큰상 받는 기분,대단히 기쁘고 흡족함을 비유적으로 이르는 말.,0.83, Was Helen pleased about getting that job? She was on cloud nine!, 마침내 취직에 성공한 나는 잔치날에 큰상 받은 기분만 같았다.
blow your top,to become extremely angry,화가 머리끝까지 나다,극도로 화가 나다.,0.86, My father will blow his top when he sees what happened to the car., 비싼 돈 주고 형편없는 대접을 받은 손님은 화가 머리끝까지 나고야 말았다.
breathe one's last,to die,한 줌 재가 되다,‘죽다’를 비유적으로 이르는 말.,0.82, Her eyes fluttered open for a moment and then she breathed her last., 그렇게 젋은 목숨들이 한 줌 재가 되는 안타까운 사건이 있다.
bug-eyed,"to have bulging or wide-open eyes, often from surprise or shock",두 눈이 꿀단지 같다,매우 놀랄 만한 것을 보거나 긴장하여 두 눈이 커지다.,0.81, We were bug-eyed in wonderment., 현장에서 불의의 사고를 직접 목격한 우리는 두 눈이 꿀단지 같아졌다.
buy the farm,to die,한 줌 재가 되다,‘죽다’를 비유적으로 이르는 말.,0.82, If you crash at 60 mph the odds are you'll buy the farm., 이 순간에도 우크라이나에서는 많은 젊은 남자들이 전장에서 한 줌의 재가 되고 있다.
coon's age,a very long time,삼대 구 년 만에,매우 오랜만에.,0.9, I haven't seen you in a coon's age!, 겨우 일주일만에 돌아온 것인데도 삼대 구 년 만에 돌아온 기분이 들었다.
cry uncle,to admit defeat or surrender,무릎 꿇다,항복하거나 굴복하다.,0.88, When Pakistan imposed the border closing last fall it was confident that NATO would have to cry uncle fairly soon., 맹렬한 그들의 공격에 우리는 무릎 꿇을 수 밖에 없었다.
